model,alpha,split,pearson,spearman,mse,rmse,seed
B0_train_mean,,val,0.0,0.0,0.003960211285692765,0.06293020964284773,
B0_train_mean,,test,0.0,0.0,0.004123658169267055,0.06421571590558697,
B1_additive_gene,30.0,train,0.4012193448501291,0.4051933499252949,0.0033518841758925846,0.05789545902652975,
B1_additive_gene,30.0,val,0.4009589852950516,0.4040410912426171,0.0033218576813828253,0.05763555917472151,
B1_additive_gene,30.0,test,0.40039859389788607,0.4059474105042136,0.0034603186146263654,0.05882447292263965,
B2_additive_plus_pair,30.0,train,0.4075786197590195,0.4135930441336618,0.003330747437150351,0.057712628056174595,
B2_additive_plus_pair,30.0,val,0.4081941303095829,0.4110637194688341,0.0032986036106815364,0.057433471170403205,
B2_additive_plus_pair,30.0,test,0.40566150957864067,0.41153521314245983,0.00344237172617479,0.05867172850849709,
B4_query_pair_only,0.01,train,0.38035579560832844,0.3478567264704793,0.0034149053587429028,0.058437191571317854,
B4_query_pair_only,0.01,val,0.39305230788732054,0.3681317886364364,0.0033469628728222474,0.05785294178192019,
B4_query_pair_only,0.01,test,0.39009941175525353,0.36243270601832395,0.0034931882248420854,0.05910319978513926,
B3_hierarchical_mean,,val,0.3930515618613921,0.3681317886364364,0.0033469671383882524,0.0578529786475014,
B3_hierarchical_mean,,test,0.39009834061394316,0.36243270601832395,0.0034931917663773185,0.059103229745736556,
B5_gene_embedding_mlp,,train,0.4713158517540648,0.4463312547852779,0.0031114520993972355,0.055780391710683025,0.0
B5_gene_embedding_mlp,,val,0.4252852506211974,0.41879626651109203,0.00324996729385189,0.057008484402340416,0.0
B5_gene_embedding_mlp,,test,0.42506556803437595,0.4174424655009449,0.003382416035621258,0.058158542241198395,0.0
B5_gene_embedding_mlp,,train,0.49362850940950326,0.46190608234631664,0.0030240443784216617,0.054991311844887474,1.0
B5_gene_embedding_mlp,,val,0.430175638197642,0.42253573035386466,0.0032559249151021745,0.05706071253587861,1.0
B5_gene_embedding_mlp,,test,0.427014434393852,0.42149983991613976,0.003395215993989954,0.05826848199489973,1.0
B5_gene_embedding_mlp,,train,0.48527280830775127,0.45353386342415486,0.003057213918347852,0.05529207826034261,2.0
B5_gene_embedding_mlp,,val,0.431132387676588,0.4196467968789986,0.0032286675567705803,0.056821365319486825,2.0
B5_gene_embedding_mlp,,test,0.4253336269218366,0.41918893840453053,0.0033814699355074985,0.05815040787051711,2.0
CGT_M01_lzs9pcj3,,val,0.4519626200199127,0.4220413179081717,0.0032441411167383194,0.056957364082336426,
CGT_M01_lzs9pcj3,,test,0.44344866275787354,0.4264081455274575,0.0034003600012511015,0.05831260606646538,
CGT_M02_yv4r30bi,,val,0.447154700756073,0.41593419119755104,0.003258721437305212,0.05708521232008934,
CGT_M02_yv4r30bi,,test,0.4379381537437439,0.4241057843924716,0.0034386692568659782,0.058640167117118835,
CGT_M03_c7671wgj,,val,0.46188127994537354,0.42520550287619224,0.0031634620390832424,0.05624466389417648,
CGT_M03_c7671wgj,,test,0.4551418423652649,0.42622639331018447,0.0033148762304335833,0.057574961334466934,
