pair,pearson_all,overlap_top10,overlap_top100,overlap_top1000,overlap_top10000
M01_lzs9pcj3 vs M02_yv4r30bi,0.5306432875638291,0.0,0.14,0.185,0.2692
M01_lzs9pcj3 vs M03_c7671wgj,0.4999138683772649,0.0,0.04,0.164,0.1927
M02_yv4r30bi vs M03_c7671wgj,0.5438393451446759,0.0,0.06,0.248,0.2355
