array_gene,array_allele,array_perturbation_type,triple,order,order_idx,gene_1,gene_2,gene_3,route,f_wt,f_single,f_double,f_triple,se_single,se_double,se_triple,sd_triple,source_single,source_double,f_array_single_in_screen,tau,tau_p_value,monotone,monotone_within_se,monotone_after_first,step_1,step_2,step_3,min_rung,valley_depth,endpoint_gain
YHR003C,tcd1_delta,KanMX_deletion,YER059W+YIL050W+YHR003C,YER059W>YIL050W>YHR003C,0,YER059W,YIL050W,YHR003C,paralog double,1.0,0.9153,0.9063,0.9005,0.0025,0.04025,0.0055,0.011,SmfKuzmin2020,TmfKuzmin2020 query strain,0.965,0.47175,0.05955,False,False,False,-0.0847,-0.009000000000000008,-0.005800000000000027,0.9005,0.0937,-0.09950000000000003
YHR003C,tcd1_delta,KanMX_deletion,YER059W+YIL050W+YHR003C,YER059W>YHR003C>YIL050W,1,YER059W,YHR003C,YIL050W,mixed double,1.0,0.9153,0.4473,0.9005,0.0025,0.21775,0.0055,0.011,SmfKuzmin2020,DmfKuzmin2020,0.965,0.47175,0.05955,False,False,False,-0.0847,-0.468,0.4532,0.4473,0.5527,-0.09950000000000003
YHR003C,tcd1_delta,KanMX_deletion,YER059W+YIL050W+YHR003C,YIL050W>YER059W>YHR003C,2,YIL050W,YER059W,YHR003C,paralog double,1.0,0.89558,0.9063,0.9005,0.0025,0.04025,0.0055,0.011,SmfKuzmin2020,TmfKuzmin2020 query strain,0.965,0.47175,0.05955,False,False,False,-0.10441999999999996,0.010719999999999952,-0.005800000000000027,0.89558,0.10441999999999996,-0.09950000000000003
YHR003C,tcd1_delta,KanMX_deletion,YER059W+YIL050W+YHR003C,YIL050W>YHR003C>YER059W,3,YIL050W,YHR003C,YER059W,mixed double,1.0,0.89558,1.0369,0.9005,0.0025,0.04125,0.0055,0.011,SmfKuzmin2020,DmfKuzmin2020,0.965,0.47175,0.05955,False,False,False,-0.10441999999999996,0.1413199999999999,-0.13639999999999997,0.89558,0.10441999999999996,-0.09950000000000003
YHR003C,tcd1_delta,KanMX_deletion,YER059W+YIL050W+YHR003C,YHR003C>YER059W>YIL050W,4,YHR003C,YER059W,YIL050W,mixed double,1.0,0.91263,0.4473,0.9005,0.00175,0.21775,0.0055,0.011,SmfKuzmin2020,DmfKuzmin2020,0.965,0.47175,0.05955,False,False,False,-0.08736999999999995,-0.4653300000000001,0.4532,0.4473,0.5527,-0.09950000000000003
YHR003C,tcd1_delta,KanMX_deletion,YER059W+YIL050W+YHR003C,YHR003C>YIL050W>YER059W,5,YHR003C,YIL050W,YER059W,mixed double,1.0,0.91263,1.0369,0.9005,0.00175,0.04125,0.0055,0.011,SmfKuzmin2020,DmfKuzmin2020,0.965,0.47175,0.05955,False,False,False,-0.08736999999999995,0.12426999999999988,-0.13639999999999997,0.9005,0.08736999999999995,-0.09950000000000003
YBR084W,mis1_delta,KanMX_deletion,YER059W+YIL050W+YBR084W,YER059W>YIL050W>YBR084W,0,YER059W,YIL050W,YBR084W,paralog double,1.0,0.9153,0.9063,0.7809,0.0025,0.04025,0.0071,0.0142,SmfKuzmin2020,TmfKuzmin2020 query strain,0.941,-0.080068,0.000211,False,False,False,-0.0847,-0.009000000000000008,-0.12539999999999996,0.7809,0.0937,-0.21909999999999996
YBR084W,mis1_delta,KanMX_deletion,YER059W+YIL050W+YBR084W,YER059W>YBR084W>YIL050W,1,YER059W,YBR084W,YIL050W,mixed double,1.0,0.9153,0.9748,0.7809,0.0025,0.03185,0.0071,0.0142,SmfKuzmin2020,DmfKuzmin2020,0.941,-0.080068,0.000211,False,False,False,-0.0847,0.0595,-0.19389999999999996,0.7809,0.0847,-0.21909999999999996
YBR084W,mis1_delta,KanMX_deletion,YER059W+YIL050W+YBR084W,YIL050W>YER059W>YBR084W,2,YIL050W,YER059W,YBR084W,paralog double,1.0,0.89558,0.9063,0.7809,0.0025,0.04025,0.0071,0.0142,SmfKuzmin2020,TmfKuzmin2020 query strain,0.941,-0.080068,0.000211,False,False,False,-0.10441999999999996,0.010719999999999952,-0.12539999999999996,0.7809,0.10441999999999996,-0.21909999999999996
YBR084W,mis1_delta,KanMX_deletion,YER059W+YIL050W+YBR084W,YIL050W>YBR084W>YER059W,3,YIL050W,YBR084W,YER059W,mixed double,1.0,0.89558,0.9154,0.7809,0.0025,0.03215,0.0071,0.0142,SmfKuzmin2020,DmfKuzmin2020,0.941,-0.080068,0.000211,False,False,False,-0.10441999999999996,0.01981999999999995,-0.13449999999999995,0.7809,0.10441999999999996,-0.21909999999999996
YBR084W,mis1_delta,KanMX_deletion,YER059W+YIL050W+YBR084W,YBR084W>YER059W>YIL050W,4,YBR084W,YER059W,YIL050W,mixed double,1.0,0.9722,0.9748,0.7809,0.0761,0.03185,0.0071,0.0142,SmfCostanzo2016,DmfKuzmin2020,0.941,-0.080068,0.000211,False,False,False,-0.027800000000000047,0.0026000000000000467,-0.19389999999999996,0.7809,0.027800000000000047,-0.21909999999999996
YBR084W,mis1_delta,KanMX_deletion,YER059W+YIL050W+YBR084W,YBR084W>YIL050W>YER059W,5,YBR084W,YIL050W,YER059W,mixed double,1.0,0.9722,0.9154,0.7809,0.0761,0.03215,0.0071,0.0142,SmfCostanzo2016,DmfKuzmin2020,0.941,-0.080068,0.000211,False,False,False,-0.027800000000000047,-0.05679999999999996,-0.13449999999999995,0.7809,0.08460000000000001,-0.21909999999999996
YJR070C,lia1_delta,KanMX_deletion,YER059W+YIL050W+YJR070C,YER059W>YIL050W>YJR070C,0,YER059W,YIL050W,YJR070C,paralog double,1.0,0.9153,0.9063,0.8562,0.0025,0.04025,0.00765,0.0153,SmfKuzmin2020,TmfKuzmin2020 query strain,0.924,0.04768,0.2142,False,False,False,-0.0847,-0.009000000000000008,-0.05010000000000003,0.8562,0.0937,-0.14380000000000004
YJR070C,lia1_delta,KanMX_deletion,YER059W+YIL050W+YJR070C,YER059W>YJR070C>YIL050W,1,YER059W,YJR070C,YIL050W,mixed double,1.0,0.9153,0.9094,0.8562,0.0025,0.05525,0.00765,0.0153,SmfKuzmin2020,DmfKuzmin2020,0.924,0.04768,0.2142,False,False,False,-0.0847,-0.005900000000000016,-0.053200000000000025,0.8562,0.09060000000000001,-0.14380000000000004
YJR070C,lia1_delta,KanMX_deletion,YER059W+YIL050W+YJR070C,YIL050W>YER059W>YJR070C,2,YIL050W,YER059W,YJR070C,paralog double,1.0,0.89558,0.9063,0.8562,0.0025,0.04025,0.00765,0.0153,SmfKuzmin2020,TmfKuzmin2020 query strain,0.924,0.04768,0.2142,False,False,False,-0.10441999999999996,0.010719999999999952,-0.05010000000000003,0.8562,0.10441999999999996,-0.14380000000000004
YJR070C,lia1_delta,KanMX_deletion,YER059W+YIL050W+YJR070C,YIL050W>YJR070C>YER059W,3,YIL050W,YJR070C,YER059W,mixed double,1.0,0.89558,0.9097,0.8562,0.0025,0.0224,0.00765,0.0153,SmfKuzmin2020,DmfKuzmin2020,0.924,0.04768,0.2142,False,False,False,-0.10441999999999996,0.01411999999999991,-0.05349999999999999,0.8562,0.10441999999999996,-0.14380000000000004
YJR070C,lia1_delta,KanMX_deletion,YER059W+YIL050W+YJR070C,YJR070C>YER059W>YIL050W,4,YJR070C,YER059W,YIL050W,mixed double,1.0,0.914,0.9094,0.8562,0.0656,0.05525,0.00765,0.0153,SmfCostanzo2016,DmfKuzmin2020,0.924,0.04768,0.2142,False,False,False,-0.08599999999999997,-0.0046000000000000485,-0.053200000000000025,0.8562,0.09060000000000001,-0.14380000000000004
YJR070C,lia1_delta,KanMX_deletion,YER059W+YIL050W+YJR070C,YJR070C>YIL050W>YER059W,5,YJR070C,YIL050W,YER059W,mixed double,1.0,0.914,0.9097,0.8562,0.0656,0.0224,0.00765,0.0153,SmfCostanzo2016,DmfKuzmin2020,0.924,0.04768,0.2142,False,False,False,-0.08599999999999997,-0.0043000000000000815,-0.05349999999999999,0.8562,0.09030000000000005,-0.14380000000000004
YPR003C,ypr003c_delta,KanMX_deletion,YER059W+YIL050W+YPR003C,YER059W>YIL050W>YPR003C,0,YER059W,YIL050W,YPR003C,paralog double,1.0,0.9153,0.9063,0.8699,0.0025,0.04025,0.0078,0.0156,SmfKuzmin2020,TmfKuzmin2020 query strain,0.991,0.02891,0.1177,False,False,False,-0.0847,-0.009000000000000008,-0.03639999999999999,0.8699,0.0937,-0.1301
YPR003C,ypr003c_delta,KanMX_deletion,YER059W+YIL050W+YPR003C,YER059W>YPR003C>YIL050W,1,YER059W,YPR003C,YIL050W,mixed double,1.0,0.9153,0.9398,0.8699,0.0025,0.04395,0.0078,0.0156,SmfKuzmin2020,DmfKuzmin2020,0.991,0.02891,0.1177,False,False,False,-0.0847,0.024499999999999966,-0.06989999999999996,0.8699,0.0847,-0.1301
YPR003C,ypr003c_delta,KanMX_deletion,YER059W+YIL050W+YPR003C,YIL050W>YER059W>YPR003C,2,YIL050W,YER059W,YPR003C,paralog double,1.0,0.89558,0.9063,0.8699,0.0025,0.04025,0.0078,0.0156,SmfKuzmin2020,TmfKuzmin2020 query strain,0.991,0.02891,0.1177,False,False,False,-0.10441999999999996,0.010719999999999952,-0.03639999999999999,0.8699,0.10441999999999996,-0.1301
YPR003C,ypr003c_delta,KanMX_deletion,YER059W+YIL050W+YPR003C,YIL050W>YPR003C>YER059W,3,YIL050W,YPR003C,YER059W,mixed double,1.0,0.89558,0.9851,0.8699,0.0025,0.05735,0.0078,0.0156,SmfKuzmin2020,DmfKuzmin2020,0.991,0.02891,0.1177,False,False,False,-0.10441999999999996,0.08951999999999993,-0.11519999999999997,0.8699,0.10441999999999996,-0.1301
YPR003C,ypr003c_delta,KanMX_deletion,YER059W+YIL050W+YPR003C,YPR003C>YER059W>YIL050W,4,YPR003C,YER059W,YIL050W,mixed double,1.0,1.0163,0.9398,0.8699,0.0598,0.04395,0.0078,0.0156,SmfCostanzo2016,DmfKuzmin2020,0.991,0.02891,0.1177,False,False,False,0.01629999999999998,-0.07650000000000001,-0.06989999999999996,0.8699,0.06020000000000003,-0.1301
YPR003C,ypr003c_delta,KanMX_deletion,YER059W+YIL050W+YPR003C,YPR003C>YIL050W>YER059W,5,YPR003C,YIL050W,YER059W,mixed double,1.0,1.0163,0.9851,0.8699,0.0598,0.05735,0.0078,0.0156,SmfCostanzo2016,DmfKuzmin2020,0.991,0.02891,0.1177,False,False,False,0.01629999999999998,-0.031200000000000006,-0.11519999999999997,0.8699,0.014900000000000024,-0.1301
