screens,n_genes,median_enrichment,max_enrichment
1,88,0.5344631461299942,3.3774906871430277
2-9,18,0.9659344852083771,3.1338959276055123
10-49,498,0.7359550888494267,4.795718301756921
50+,1171,0.7377499265641829,5.559598728892766
