strategy,rank,as_listed,triple,M01_lzs9pcj3,M02_yv4r30bi,M03_c7671wgj,corrected_mean,corrected_sd,corrected_min,corrected_max,sign_agree,min_train_records,has_untrained_gene
capped,1,0.71142578125,YKL033W-A + YLR312C-B + YPL081W,-0.017456457588696392,-0.039236549713084906,-0.03405099081043756,-0.03024799937073962,0.011377177205024298,-0.039236549713084906,-0.017456457588696392,True,8,False
capped,2,0.7109375,YER079W + YLL012W + YLR312C-B,0.0012596472614480568,-0.0006443948491396071,-0.019727912915171293,-0.006370886834287615,0.011606634024719564,-0.019727912915171293,0.0012596472614480568,False,0,True
capped,3,0.701171875,YLR104W + YLR312C-B + YPL081W,-0.031255842819537936,-0.046832005143535554,-0.02557690472464213,-0.034554917562571875,0.011004896368181038,-0.046832005143535554,-0.02557690472464213,True,9,False
capped,4,0.69873046875,YBR203W + YLR312C-B + YPL081W,-0.0419650506752522,-0.06899670015318554,-0.044066642712621035,-0.05167613118035292,0.015036813307009966,-0.06899670015318554,-0.0419650506752522,True,9,False
capped,5,0.68408203125,YER079W + YLR104W + YLR312C-B,-0.008257971336901739,-0.008544838114548791,-0.00465359570383758,-0.007152135051762705,0.0021685472768369555,-0.008544838114548791,-0.00465359570383758,True,0,True
capped,6,0.68310546875,YGL087C + YLR312C-B + YPL081W,-0.03649499235119,-0.06921892101924987,-0.049820255872356056,-0.05184472308093197,0.01645562905139202,-0.06921892101924987,-0.03649499235119,True,9,False
capped,12,0.56787109375,YBR203W + YDR057W + YPL081W,-0.044750055210478965,-0.043980347923374415,-0.04783635431640196,-0.04552225248341845,0.002040689294581294,-0.04783635431640196,-0.043980347923374415,True,10,False
capped,13,0.54150390625,YDR057W + YKL033W-A + YPL081W,-0.03277055487400246,-0.02973629848312369,-0.032010121872856054,-0.031505658409994065,0.001578778166944043,-0.03277055487400246,-0.02973629848312369,True,8,False
capped,16,0.51953125,YDR057W + YGL087C + YPL081W,-0.05220082687794084,-0.05638052640177495,-0.04476941073388743,-0.051116921337867736,0.005880955719788799,-0.05638052640177495,-0.04476941073388743,True,10,False
capped,21,0.46435546875,YJR060W + YLL012W + YPL046C,-0.180417036495554,-0.13081461817973472,-0.08942290867214418,-0.13355152111581095,0.04555876208641854,-0.180417036495554,-0.08942290867214418,True,308,False
capped,24,0.452880859375,YBR203W + YLL012W + YPL046C,-0.0628378955327341,-0.006029286796263775,-0.037593588933382605,-0.03548692375412683,0.02846283603712848,-0.0628378955327341,-0.006029286796263775,True,493,False
capped,25,0.44921875,YDR057W + YKL033W-A + YLL012W,-0.020091060883364126,-0.01772982937528202,-0.013550534269894346,-0.01712380817618016,0.003312109352919564,-0.020091060883364126,-0.013550534269894346,True,8,False
capped,27,0.443603515625,YGL087C + YLL012W + YPL046C,-0.04391075401337505,0.07612297878583194,0.0002027811952657263,0.010805001989240871,0.06071515104774923,-0.04391075401337505,0.07612297878583194,False,307,False
capped,28,0.4384765625,YBR203W + YLR104W + YPL046C,-0.050975384308618366,-0.07420697854418361,-0.040635153137307464,-0.05527250533003649,0.017193481383709894,-0.07420697854418361,-0.040635153137307464,True,9,False
capped,29,0.43701171875,YBR203W + YKL033W-A + YPL046C,-0.0501889836838693,-0.06114552971354264,-0.037571503349785595,-0.04963533891573251,0.011796761065934242,-0.06114552971354264,-0.037571503349785595,True,8,False
capped,31,0.43310546875,YBR203W + YJR060W + YPL046C,-0.05875571647381133,-0.0733041204900663,-0.050279939183603524,-0.060779925382493716,0.011644797013589772,-0.0733041204900663,-0.050279939183603524,True,308,False
capped,33,0.422607421875,YJR060W + YLR104W + YPL046C,-0.06454957539651901,-0.10565203050217295,-0.060603262081592085,-0.07693495599342802,0.024947868114339918,-0.10565203050217295,-0.060603262081592085,True,9,False
capped,34,0.42041015625,YBR203W + YGL087C + YPL046C,-0.06754227944175202,-0.05171275697401482,-0.06440120944599695,-0.06121874862058793,0.008380900194376288,-0.06754227944175202,-0.05171275697401482,True,307,False
capped,38,0.410888671875,YBR203W + YDR057W + YLL012W,-0.04727648081287646,-0.02970196722209263,-0.043535627151944756,-0.04017135839563795,0.009257678444764543,-0.04727648081287646,-0.02970196722209263,True,10,False
capped,39,0.4091796875,YDR057W + YGL087C + YLL012W,-0.01933694303180438,-0.03141432771552399,0.005194531277436526,-0.015185579823297282,0.01865415507489756,-0.03141432771552399,0.005194531277436526,False,10,False
