group,n,mean,sd,sem,min,max,mean_best_epoch,min_best_epoch,max_best_epoch,mean_epoch_to_level,min_epoch_to_level,max_epoch_to_level,mean_epoch_to_99pct,mean_epochs_logged
9_1,5.0,0.3664095997810364,0.0009606184098488388,0.0004296016129719514,0.3651784658432007,0.3675904870033264,115.4,98.0,140.0,20.4,16.0,23.0,69.8,639.8
11_0,4.0,0.35566074401140213,0.0024713264078813266,0.0012356632039406633,0.3535841703414917,0.3591825366020202,135.0,76.0,304.0,28.25,27.0,30.0,90.0,284.25
12_0,5.0,0.35805013179779055,0.0022341740189869346,0.0009991529960037384,0.3544960021972656,0.3602030873298645,377.2,60.0,608.0,27.2,25.0,30.0,171.4,625.2
cgt,3.0,0.45370344320933026,0.007499178274271991,0.004329652595351927,0.4472014009952545,0.4619072675704956,24.333333333333332,24.0,25.0,2.0,2.0,2.0,18.0,59.0
dango_main_text,3.0,0.36701298753420514,0.0006115369355545871,0.00035307101436183973,0.3663723170757293,0.3675904870033264,109.33333333333333,98.0,121.0,20.333333333333332,16.0,23.0,66.66666666666667,631.3333333333334
