triple,array_gene,array_allele,array_perturbation_type,f_triple,se_triple,tau,tau_p_value,n_paths,n_monotone,n_monotone_within_se,n_monotone_after_first,max_valley_depth,min_valley_depth,best_min_rung,endpoint_gain,positive_call
YER059W+YIL050W+YCL014W,YCL014W,bud3_delta,KanMX_deletion,1.0245,0.0296,0.051411,0.4096,6,0,0,1,0.10441999999999996,-0.02200000000000002,1.0,0.024499999999999966,False
YER059W+YIL050W+YDR092W,YDR092W,ubc13_delta,KanMX_deletion,1.0238,0.0465,-0.046055,0.1669,6,0,1,1,0.10441999999999996,0.04200000000000004,0.958,0.023800000000000043,False
YER059W+YIL050W+YKL039W,YKL039W,ptm1_delta,KanMX_deletion,1.0213,0.02425,0.054207,0.07759,6,0,1,1,0.10441999999999996,-0.0022999999999999687,1.0,0.021300000000000097,False
YER059W+YIL050W+YGR072W,YGR072W,upf3_delta,KanMX_deletion,1.021,0.0269,0.063223,0.0517,6,0,2,3,0.10441999999999996,0.014800000000000035,0.9852,0.020999999999999908,False
YER059W+YIL050W+YPL265W,YPL265W,dip5_delta,KanMX_deletion,1.0202,0.04125,0.170057,0.3354,6,0,2,3,0.10441999999999996,-0.020100000000000007,1.0,0.020199999999999996,False
YER059W+YIL050W+YDR077W,YDR077W,sed1_delta,KanMX_deletion,1.0201,0.0357,-0.005557,0.3666,6,0,0,1,0.10441999999999996,0.07225000000000004,0.92775,0.020100000000000007,False
YER059W+YIL050W+YDR075W,YDR075W,pph3_delta,KanMX_deletion,1.0188,0.0296,0.085585,0.2221,6,0,1,3,0.10441999999999996,0.0014999999999999458,0.9985,0.018799999999999928,False
YER059W+YIL050W+YPL017C,YPL017C,irc15_delta,KanMX_deletion,1.0185,0.01755,0.037788,0.1428,6,0,1,1,0.10441999999999996,-0.005700000000000038,1.0,0.01849999999999996,False
YER059W+YIL050W+YOR109W,YOR109W,inp53_delta,KanMX_deletion,1.016,0.0451,-0.039298,0.1616,6,0,0,1,0.10441999999999996,0.051000000000000045,0.949,0.016000000000000014,False
YER059W+YIL050W+YJL159W,YJL159W,hsp150_delta,KanMX_deletion,1.0159,0.03545,0.043753,0.4999,6,0,0,1,0.10441999999999996,-0.040999999999999925,1.0,0.015900000000000025,False
YER059W+YIL050W+YKL132C,YKL132C,rma1_delta,KanMX_deletion,1.0115,0.0164,0.072937,0.234,6,0,1,2,0.10441999999999996,-0.02299999999999991,1.0,0.011500000000000066,False
YER059W+YIL050W+YOR213C,YOR213C,sas5_delta,KanMX_deletion,1.0107,0.0329,-0.007674,0.3759,6,0,0,1,0.10441999999999996,-0.06099999999999994,1.0,0.010699999999999932,False
YER059W+YIL050W+YLR216C,YLR216C,cpr6_delta,KanMX_deletion,1.0098,0.03805,0.036117,0.4395,6,0,1,1,0.10441999999999996,-0.02719999999999989,1.0,0.009800000000000031,False
YER059W+YIL050W+YPL194W,YPL194W,ddc1_delta,KanMX_deletion,1.0083,0.0252,0.008123,0.2145,6,0,0,1,0.10441999999999996,-0.0013000000000000789,1.0,0.008299999999999974,False
YER059W+YIL050W+YBR227C,YBR227C,mcx1_delta,KanMX_deletion,1.0078,0.0685,-0.061228,0.2809,6,0,1,1,0.10441999999999996,-0.03400000000000003,1.0,0.007800000000000029,False
YER059W+YIL050W+YOR195W,YOR195W,slk19_delta,KanMX_deletion,1.0077,0.0287,0.003902,0.3489,6,0,0,1,0.10441999999999996,-0.03649999999999998,1.0,0.00770000000000004,False
YER059W+YIL050W+YHR006W,YHR006W,stp2_delta,KanMX_deletion,1.0063,0.03765,0.037923,0.1647,6,0,2,1,0.10441999999999996,-0.035700000000000065,1.0,0.006299999999999972,False
YER059W+YIL050W+YMR127C,YMR127C,sas2_delta,KanMX_deletion,1.006,0.04915,-0.078611,0.4196,6,0,1,1,0.10441999999999996,-0.02079999999999993,1.0,0.006000000000000005,False
YER059W+YIL050W+YDR216W,YDR216W,adr1_delta,KanMX_deletion,1.0056,0.01355,0.043493,0.012,6,0,1,1,0.10441999999999996,-0.024499999999999966,1.0,0.005600000000000049,False
YER059W+YIL050W+YJR137C,YJR137C,met5_delta,KanMX_deletion,1.0045,0.02265,0.062037,0.1251,6,0,1,1,0.10441999999999996,-0.0020000000000000018,1.0,0.0044999999999999485,False
YER059W+YIL050W+YDL088C,YDL088C,asm4_delta,KanMX_deletion,1.0041,0.02455,-0.014679,0.2408,6,0,0,1,0.10441999999999996,-0.03390000000000004,1.0,0.0040999999999999925,False
YER059W+YIL050W+YMR219W,YMR219W,esc1_delta,KanMX_deletion,1.004,0.0473,0.377761,0.292,6,0,0,1,0.3286,-0.04200000000000004,1.0,0.0040000000000000036,False
