split,criterion,tau_cut,uses_p_value,model,k,precision,base_rate,enrichment,average_precision
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B1 additive ridge,10,0.0,0.005255753457383272,0.0,0.010978501710326775
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B1 additive ridge,30,0.03333333333333333,0.005255753457383272,6.342255892255892,0.010978501710326775
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B1 additive ridge,100,0.03,0.005255753457383272,5.708030303030303,0.010978501710326775
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B1 additive ridge,300,0.02666666666666667,0.005255753457383272,5.073804713804714,0.010978501710326775
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B1 additive ridge,1000,0.019,0.005255753457383272,3.6150858585858585,0.010978501710326775
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B1 additive ridge,3000,0.012333333333333333,0.005255753457383272,2.34663468013468,0.010978501710326775
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B1 additive ridge,10000,0.0086,0.005255753457383272,1.6363020202020202,0.010978501710326775
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B5 nonlinear MLP,10,0.0,0.005255753457383272,0.0,0.016559421639005072
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B5 nonlinear MLP,30,0.03333333333333333,0.005255753457383272,6.342255892255892,0.016559421639005072
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B5 nonlinear MLP,100,0.04,0.005255753457383272,7.610707070707071,0.016559421639005072
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B5 nonlinear MLP,300,0.04,0.005255753457383272,7.610707070707071,0.016559421639005072
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B5 nonlinear MLP,1000,0.025,0.005255753457383272,4.756691919191919,0.016559421639005072
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B5 nonlinear MLP,3000,0.021333333333333333,0.005255753457383272,4.059043771043771,0.016559421639005072
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,B5 nonlinear MLP,10000,0.0119,0.005255753457383272,2.2641853535353538,0.016559421639005072
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M01,10,0.1,0.005255753457383272,19.026767676767676,0.03338115583892022
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M01,30,0.1,0.005255753457383272,19.026767676767676,0.03338115583892022
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M01,100,0.13,0.005255753457383272,24.73479797979798,0.03338115583892022
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M01,300,0.07333333333333333,0.005255753457383272,13.952962962962962,0.03338115583892022
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M01,1000,0.046,0.005255753457383272,8.75231313131313,0.03338115583892022
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M01,3000,0.026,0.005255753457383272,4.946959595959595,0.03338115583892022
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M01,10000,0.0118,0.005255753457383272,2.2451585858585856,0.03338115583892022
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M02,10,0.0,0.005255753457383272,0.0,0.025729919254440792
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M02,30,0.03333333333333333,0.005255753457383272,6.342255892255892,0.025729919254440792
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M02,100,0.08,0.005255753457383272,15.221414141414142,0.025729919254440792
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M02,300,0.06333333333333334,0.005255753457383272,12.050286195286196,0.025729919254440792
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M02,1000,0.044,0.005255753457383272,8.371777777777776,0.025729919254440792
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M02,3000,0.024,0.005255753457383272,4.566424242424242,0.025729919254440792
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M02,10000,0.0119,0.005255753457383272,2.2641853535353538,0.025729919254440792
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M03,10,0.0,0.005255753457383272,0.0,0.03344834577785997
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M03,30,0.1,0.005255753457383272,19.026767676767676,0.03344834577785997
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M03,100,0.1,0.005255753457383272,19.026767676767676,0.03344834577785997
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M03,300,0.08,0.005255753457383272,15.221414141414142,0.03344834577785997
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M03,1000,0.049,0.005255753457383272,9.323116161616161,0.03344834577785997
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M03,3000,0.025666666666666667,0.005255753457383272,4.883537037037037,0.03344834577785997
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT M03,10000,0.0114,0.005255753457383272,2.1690515151515153,0.03344834577785997
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT ensemble,10,0.1,0.005255753457383272,19.026767676767676,0.03519193918471443
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT ensemble,30,0.1,0.005255753457383272,19.026767676767676,0.03519193918471443
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT ensemble,100,0.1,0.005255753457383272,19.026767676767676,0.03519193918471443
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT ensemble,300,0.08333333333333333,0.005255753457383272,15.855639730639728,0.03519193918471443
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT ensemble,1000,0.051,0.005255753457383272,9.703651515151515,0.03519193918471443
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT ensemble,3000,0.028666666666666667,0.005255753457383272,5.454340067340067,0.03519193918471443
random,K2020 positive tau>+0.08 & p<0.05,0.08,True,CGT ensemble,10000,0.0118,0.005255753457383272,2.2451585858585856,0.03519193918471443
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B1 additive ridge,10,0.0,0.0028933188224988717,0.0,0.008615660772002954
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B1 additive ridge,30,0.03333333333333333,0.0028933188224988717,11.52079510703364,0.008615660772002954
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B1 additive ridge,100,0.03,0.0028933188224988717,10.368715596330276,0.008615660772002954
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B1 additive ridge,300,0.02666666666666667,0.0028933188224988717,9.216636085626913,0.008615660772002954
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B1 additive ridge,1000,0.014,0.0028933188224988717,4.838733944954129,0.008615660772002954
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B1 additive ridge,3000,0.008,0.0028933188224988717,2.7649908256880735,0.008615660772002954
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B1 additive ridge,10000,0.0052,0.0028933188224988717,1.7972440366972477,0.008615660772002954
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B5 nonlinear MLP,10,0.0,0.0028933188224988717,0.0,0.014469896343660483
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B5 nonlinear MLP,30,0.03333333333333333,0.0028933188224988717,11.52079510703364,0.014469896343660483
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B5 nonlinear MLP,100,0.04,0.0028933188224988717,13.824954128440368,0.014469896343660483
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B5 nonlinear MLP,300,0.03666666666666667,0.0028933188224988717,12.672874617737003,0.014469896343660483
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B5 nonlinear MLP,1000,0.022,0.0028933188224988717,7.603724770642202,0.014469896343660483
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B5 nonlinear MLP,3000,0.015333333333333332,0.0028933188224988717,5.299565749235474,0.014469896343660483
random,stringent positive tau>+0.12 & p<0.05,0.12,True,B5 nonlinear MLP,10000,0.0073,0.0028933188224988717,2.523054128440367,0.014469896343660483
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M01,10,0.1,0.0028933188224988717,34.56238532110092,0.028084688204578236
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M01,30,0.06666666666666667,0.0028933188224988717,23.04159021406728,0.028084688204578236
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M01,100,0.11,0.0028933188224988717,38.01862385321101,0.028084688204578236
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M01,300,0.056666666666666664,0.0028933188224988717,19.585351681957185,0.028084688204578236
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M01,1000,0.031,0.0028933188224988717,10.714339449541285,0.028084688204578236
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M01,3000,0.015333333333333332,0.0028933188224988717,5.299565749235474,0.028084688204578236
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M01,10000,0.0067,0.0028933188224988717,2.3156798165137618,0.028084688204578236
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M02,10,0.0,0.0028933188224988717,0.0,0.020857686814582593
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M02,30,0.03333333333333333,0.0028933188224988717,11.52079510703364,0.020857686814582593
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M02,100,0.06,0.0028933188224988717,20.73743119266055,0.020857686814582593
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M02,300,0.05333333333333334,0.0028933188224988717,18.433272171253826,0.020857686814582593
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M02,1000,0.03,0.0028933188224988717,10.368715596330276,0.020857686814582593
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M02,3000,0.014333333333333333,0.0028933188224988717,4.953941896024465,0.020857686814582593
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M02,10000,0.0066,0.0028933188224988717,2.2811174311926607,0.020857686814582593
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M03,10,0.0,0.0028933188224988717,0.0,0.03179683079178643
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M03,30,0.1,0.0028933188224988717,34.56238532110092,0.03179683079178643
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M03,100,0.09,0.0028933188224988717,31.106146788990827,0.03179683079178643
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M03,300,0.06333333333333334,0.0028933188224988717,21.889510703363918,0.03179683079178643
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M03,1000,0.034,0.0028933188224988717,11.751211009174314,0.03179683079178643
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M03,3000,0.016,0.0028933188224988717,5.529981651376147,0.03179683079178643
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT M03,10000,0.0069,0.0028933188224988717,2.3848045871559633,0.03179683079178643
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT ensemble,10,0.1,0.0028933188224988717,34.56238532110092,0.030438026098530968
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT ensemble,30,0.1,0.0028933188224988717,34.56238532110092,0.030438026098530968
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT ensemble,100,0.08,0.0028933188224988717,27.649908256880735,0.030438026098530968
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT ensemble,300,0.06333333333333334,0.0028933188224988717,21.889510703363918,0.030438026098530968
random,stringent positive tau>+0.12 & p<0.05,0.12,True,CGT ensemble,1000,0.035,0.0028933188224988717,12.096834862385323,0.030438026098530968
