index,gene,mutant_type
1,YAR035W,single
2,YDL036C,single
3,YDR213W,single
4,YDR363W-A,single
5,YGL240W,single
6,YGR288W,single
7,YIL124W,single
8,YJR149W,single
9,YJR153W,single
10,YMR182C,single
11,YOL016C,single
12,YPL046C,single
