fold,model,seed,pearson,spearman,mse,rmse,alpha
0,B0_train_mean,,0.0,0.0,0.003979957558846786,0.06308690481270092,
0,B1_additive_gene,,0.0926151008301566,0.10150153146489457,0.004046515295971731,0.06361222599447162,30.0
0,B2_additive_plus_pair,,0.09303942337952485,0.10318059608910085,0.0039524492679432225,0.06286850775979355,300.0
0,B4_query_pair_only,,0.0,0.0,0.003979957558846786,0.06308690481270092,0.01
0,B3_hierarchical_mean,,0.028045833745188705,0.049722512894212735,0.0041247009477056555,0.06422383473217444,
0,B5_gene_embedding_mlp,0.0,0.006867797665819165,0.016501973100028516,0.005969724184548311,0.07726399021891317,
0,B5_gene_embedding_mlp,1.0,0.005616414103301422,0.02356530682323715,0.008769551752262312,0.09364588486560588,
0,B5_gene_embedding_mlp,2.0,0.0073343934797840795,0.028808537943628486,0.009195130241804588,0.0958912417366914,
1,B0_train_mean,,0.0,0.0,0.004829425975556481,0.06949407151373764,
1,B1_additive_gene,,0.1508116660379359,0.15962304658613508,0.0047224697746460955,0.06872022827847776,100.0
1,B2_additive_plus_pair,,0.15606397333784242,0.1579801854769914,0.004721815350247549,0.06871546660139585,100.0
1,B4_query_pair_only,,0.0,0.0,0.004829425975556481,0.06949407151373764,0.01
1,B3_hierarchical_mean,,0.0866567493918089,0.12435309661648566,0.004880995471028748,0.06986412148613012,
1,B5_gene_embedding_mlp,0.0,0.08085315208743912,0.08556737764415417,0.005722357699664823,0.0756462669248445,
1,B5_gene_embedding_mlp,1.0,0.09427799051158237,0.09912525961381588,0.004902773950007972,0.07001981112519493,
1,B5_gene_embedding_mlp,2.0,0.0918510043864154,0.08978070901890736,0.0048296715256036455,0.06949583818908615,
2,B0_train_mean,,0.0,0.0,0.0037530330885531555,0.06126200362829439,
2,B1_additive_gene,,0.15144629619569872,0.14550012831580986,0.0037300301561094236,0.061073972820747655,30.0
2,B2_additive_plus_pair,,0.1347798904870386,0.13223694876052888,0.0036921423273845607,0.060763001303297724,100.0
2,B4_query_pair_only,,0.0,0.0,0.0037530330885531555,0.06126200362829439,0.01
2,B3_hierarchical_mean,,0.11891461565058829,0.1087635743409091,0.0037260439537871674,0.061041329882196765,
2,B5_gene_embedding_mlp,0.0,0.08157304881922697,0.0846163588067189,0.003972881475893286,0.06303079783640127,
2,B5_gene_embedding_mlp,1.0,0.09950460161517977,0.09901226146285781,0.003830780627822236,0.06189330034682458,
2,B5_gene_embedding_mlp,2.0,0.09003028445696958,0.0915898157628084,0.003841131875178831,0.061976865645003626,
3,B0_train_mean,,0.0,0.0,0.004027767577298252,0.06346469551883356,
3,B1_additive_gene,,0.08789620344936269,0.0852058932795183,0.004081566817957297,0.06388714125672941,30.0
3,B2_additive_plus_pair,,0.08208751857296444,0.07349248001351717,0.004039770739992386,0.06355919083808718,30.0
3,B4_query_pair_only,,0.0,0.0,0.004027767577298252,0.06346469551883356,0.01
3,B3_hierarchical_mean,,0.027537077486659244,0.01906188010819866,0.004113477776920633,0.06413639978140832,
3,B5_gene_embedding_mlp,0.0,0.026305763524955367,0.027317041944654525,0.004809288961720863,0.06934903720831936,
3,B5_gene_embedding_mlp,1.0,0.02295555419100059,0.019313730946565008,0.004775915642571603,0.06910799984496442,
3,B5_gene_embedding_mlp,2.0,0.024956252888384607,0.020546591480557774,0.004647374677172671,0.06817165596619075,
4,B0_train_mean,,0.0,0.0,0.003421510094764657,0.05849367568177484,
4,B1_additive_gene,,0.15072999192850023,0.15327822156855034,0.0033651408529428756,0.05800983410545901,100.0
4,B2_additive_plus_pair,,0.1517092380244052,0.15068167932983229,0.003354086717466205,0.057914477615413275,100.0
4,B4_query_pair_only,,0.0,0.0,0.003421510094764657,0.05849367568177484,0.01
4,B3_hierarchical_mean,,0.06740671468338923,0.1272526932594183,0.003551770134952628,0.059596729230324615,
4,B5_gene_embedding_mlp,0.0,0.09224209193182352,0.08716131928136117,0.003744993719338951,0.06119635380755091,
4,B5_gene_embedding_mlp,1.0,0.061250017047201365,0.053774655456440154,0.0049231355950604015,0.07016505964552729,
4,B5_gene_embedding_mlp,2.0,0.08151020064400194,0.07847236778565059,0.003922689474777009,0.06263137771737909,
