model,alpha,split,pearson,spearman,mse,rmse,seed
B0_train_mean,,val,0.0,0.0,0.005159895347444345,0.07183241153855512,
B0_train_mean,,test,0.0,0.0,0.004949126354948049,0.07035002739834612,
B1_additive_gene,1.0,train,0.3236249363072658,0.29877745251495746,0.0034106424064102494,0.05840070553007257,
B1_additive_gene,1.0,val,0.1353615999139107,0.11468572123069118,0.004692239794296448,0.06849992550577298,
B1_additive_gene,1.0,test,0.1740342525235098,0.18749153194566331,0.004991645231443079,0.07065157628420671,
B2_additive_plus_pair,3.0,train,0.3282456155670195,0.30501787086528664,0.003399415525998475,0.05830450690983052,
B2_additive_plus_pair,3.0,val,0.13632005702798,0.11312773382966394,0.005033794883895697,0.07094924160197695,
B2_additive_plus_pair,3.0,test,0.17044042824749273,0.1757595341624167,0.005264869834671826,0.0725594227834802,
B4_query_pair_only,0.01,train,0.27603419977929516,0.19449561383003294,0.003519304872492132,0.05932372942164149,
B4_query_pair_only,0.01,val,0.0,0.0,0.005159895347444345,0.07183241153855512,
B4_query_pair_only,0.01,test,0.0,0.0,0.004949126354948049,0.07035002739834612,
B3_hierarchical_mean,,val,0.12043227377137433,0.10445791801567728,0.005172226189845238,0.07191819095225656,
B3_hierarchical_mean,,test,0.1733778928902458,0.1874486662956537,0.005052843586693929,0.07108335660823797,
B5_gene_embedding_mlp,,train,0.43439215773845985,0.35080754181075857,0.003091513318591905,0.055601378747220875,0.0
B5_gene_embedding_mlp,,val,0.16338294854315435,0.1555642240439935,0.0056943038098251535,0.07546061098232079,0.0
B5_gene_embedding_mlp,,test,0.14503359547965022,0.14876475010926077,0.00700961222030964,0.0837234269503443,0.0
B5_gene_embedding_mlp,,train,0.4326100791107634,0.35329264762478857,0.0031087389649324592,0.05575606661998728,1.0
B5_gene_embedding_mlp,,val,0.1882365119000189,0.15568222021609532,0.005070016585321903,0.0712040489391011,1.0
B5_gene_embedding_mlp,,test,0.1508763727403516,0.15818323491891734,0.0058180656399431235,0.07627624558106622,1.0
B5_gene_embedding_mlp,,train,0.44815654306703195,0.3628485600751679,0.0030620456896112793,0.0553357541704392,2.0
B5_gene_embedding_mlp,,val,0.16954639461551507,0.16427100246895243,0.0058032039303212305,0.07617876298760194,2.0
B5_gene_embedding_mlp,,test,0.1535428685887499,0.1558102270055891,0.006591625920702855,0.08118882879253066,2.0
