ffa_type,metabolite_id,metabolite_name,formula,compartment
C14:0,s_1161,myristate,C14H27O2,c
C14:0,s_1163,myristate,C14H27O2,e
C14:0,s_1166,myristate,C14H27O2,p
C14:0,s_2835,myristate,C14H27O2,erm
C14:0,s_2844,myristate,C14H27O2,lp
C16:0,s_1286,palmitate,C16H31O2,c
C16:0,s_1288,palmitate,C16H31O2,e
C16:0,s_1291,palmitate,C16H31O2,p
C16:0,s_2836,palmitate,C16H31O2,erm
C16:0,s_2846,palmitate,C16H31O2,lp
C16:0,s_2935,1-acyl-sn-glycerol 3-phosphate (16:0),C19H39O7P,erm
C16:0,s_2940,acylglycerone phosphate (16:0),C19H37O7P,erm
C16:0,s_2944,1-acyl-sn-glycerol 3-phosphate (16:0),C19H39O7P,lp
C16:0,s_2948,acylglycerone phosphate (16:0),C19H37O7P,lp
C16:0,s_2954,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,erm
C16:0,s_2955,"phosphatidate (1-16:0, 2-18:1)",C37H71O8P,erm
C16:0,s_2962,"phosphatidate (1-16:0, 2-18:1)",C37H71O8P,lp
C16:0,s_2967,"diglyceride (1-16:0, 2-16:1)",C35H66O5,erm
C16:0,s_2968,"diglyceride (1-16:0, 2-18:1)",C37H70O5,erm
C16:0,s_2975,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,vm
C16:0,s_2978,"diglyceride (1-16:0, 2-16:1)",C35H66O5,vm
C16:0,s_2979,"phosphatidate (1-16:0, 2-18:1)",C37H71O8P,vm
C16:0,s_2980,"diglyceride (1-16:0, 2-18:1)",C37H70O5,vm
C16:0,s_2993,"phosphatidate (1-16:0, 2-16:1)",C35H67O8P,gm
C16:0,s_2996,"diglyceride (1-16:0, 2-16:1)",C35H66O5,gm
C16:0,s_2997,"phosphatidate (1-16:0, 2-18:1)",C37H71O8P,gm
C16:0,s_2998,"diglyceride (1-16:0, 2-18:1)",C37H70O5,gm
C16:0,s_3011,"triglyceride (1-16:0, 2-16:1, 3-16:0)",C51H96O6,erm
C16:0,s_3012,"triglyceride (1-16:0, 2-18:1, 3-16:0)",C53H100O6,erm
C16:0,s_3013,"triglyceride (1-16:1, 2-16:1, 3-16:0)",C51H94O6,erm
C16:0,s_3014,"triglyceride (1-16:1, 2-18:1, 3-16:0)",C53H98O6,erm
C16:0,s_3015,"triglyceride (1-18:0, 2-16:1, 3-16:0)",C53H100O6,erm
C16:0,s_3016,"triglyceride (1-18:0, 2-18:1, 3-16:0)",C55H104O6,erm
C16:0,s_3017,"triglyceride (1-18:1, 2-16:1, 3-16:0)",C53H98O6,erm
C16:0,s_3018,"triglyceride (1-18:1, 2-18:1, 3-16:0)",C55H102O6,erm
C16:0,s_3019,"triglyceride (1-16:0, 2-16:1, 3-16:1)",C51H94O6,erm
C16:0,s_3020,"triglyceride (1-16:0, 2-18:1, 3-16:1)",C53H98O6,erm
C16:0,s_3027,"triglyceride (1-16:0, 2-16:1, 3-18:0)",C53H100O6,erm
C16:0,s_3028,"triglyceride (1-16:0, 2-18:1, 3-18:0)",C55H104O6,erm
C16:0,s_3035,"triglyceride (1-16:0, 2-16:1, 3-18:1)",C53H98O6,erm
C16:0,s_3036,"triglyceride (1-16:0, 2-18:1, 3-18:1)",C55H102O6,erm
C16:0,s_3043,"diglyceride (1-16:0, 2-16:1)",C35H66O5,lp
C16:0,s_3044,"triglyceride (1-16:0, 2-16:1, 3-16:0)",C51H96O6,lp
C16:0,s_3045,"diglyceride (1-16:0, 2-18:1)",C37H70O5,lp
C16:0,s_3046,"triglyceride (1-16:0, 2-18:1, 3-16:0)",C53H100O6,lp
C16:0,s_3048,"triglyceride (1-16:1, 2-16:1, 3-16:0)",C51H94O6,lp
C16:0,s_3050,"triglyceride (1-16:1, 2-18:1, 3-16:0)",C53H98O6,lp
C16:0,s_3052,"triglyceride (1-18:0, 2-16:1, 3-16:0)",C53H100O6,lp
C16:0,s_3054,"triglyceride (1-18:0, 2-18:1, 3-16:0)",C55H104O6,lp
C16:0,s_3056,"triglyceride (1-18:1, 2-16:1, 3-16:0)",C53H98O6,lp
