gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
FKH1:GCN5:MED4,trigenic,C140,0.672660301096702,1.9594431017256178,0.28447151649725344,0.018049733084037674,0.02927575084282429,0.672660301096702,True,True
FKH1:GCN5:OPI1,trigenic,C140,0.6494112971720319,1.914413476581109,0.27636815985382435,0.01878324599964205,0.03028568980398311,0.6494112971720319,True,True
FKH1:GCN5:RFX1,trigenic,C140,0.6526839020283322,1.9206888582430388,0.2763681598538245,0.01819398089519398,0.029431439683402026,0.6526839020283322,True,True
FKH1:GCN5:RGR1,trigenic,C140,1.2479522793539788,3.4832030229167485,0.27636815985382446,6.315476222109105e-06,1.6852618490264186e-05,1.2479522793539788,True,True
FKH1:GCN5:RPD3,trigenic,C140,0.5119539194564559,1.668548220759186,0.27636815985382424,0.0639634522132172,0.09046259670155003,0.5119539194564559,False,False
FKH1:GCN5:SPT3,trigenic,C140,0.3331211758194539,1.3953163668302462,0.276368159853824,0.22806707795136916,0.2763603514955391,0.3331211758194539,False,False
FKH1:GCN5:YAP6,trigenic,C140,0.4712484330272583,1.601992926194125,0.2763681598538246,0.08816694814421314,0.12022765656029065,0.4712484330272583,False,False
FKH1:GCN5:TFC7,trigenic,C140,0.8027819896270322,2.231740980511514,0.2763681598538241,0.0036753984387576755,0.006688684658768564,0.8027819896270322,True,True
FKH1:MED4:OPI1,trigenic,C140,1.7459904500441576,5.731575504247682,0.2680695695035755,7.356694635420013e-11,3.659863160334579e-10,1.7459904500441576,True,True
FKH1:MED4:RFX1,trigenic,C140,1.8938310110097034,6.6447761924907365,0.2680695695035758,1.6096368965799168e-12,1.0767165727122416e-11,1.8938310110097034,True,True
FKH1:MED4:RGR1,trigenic,C140,2.043081610649608,7.714345215885892,0.26806956950357613,2.508215740449987e-14,2.4108093039276573e-13,2.043081610649608,True,True
FKH1:MED4:RPD3,trigenic,C140,1.3311478639226881,3.785386002752323,0.2680695695035758,6.84605448256679e-07,2.0353134948171537e-06,1.3311478639226881,True,True
FKH1:MED4:SPT3,trigenic,C140,1.312902653910867,3.716947079945133,0.2680695695035757,9.70048208102236e-07,2.841265461601224e-06,1.312902653910867,True,True
FKH1:MED4:YAP6,trigenic,C140,1.5801845433159056,4.855851843557259,0.26806956950357597,3.754063647218416e-09,1.5155179054343926e-08,1.5801845433159056,True,True
FKH1:MED4:TFC7,trigenic,C140,1.757569083607556,5.798325005029405,0.26806956950357586,5.5125343253827636e-11,2.8572821895963017e-10,1.757569083607556,True,True
FKH1:OPI1:RFX1,trigenic,C140,1.955479936765295,7.067310071826995,0.26806956950357563,2.9938459795657486e-13,2.2976027285039465e-12,1.955479936765295,True,True
FKH1:OPI1:RGR1,trigenic,C140,2.4294979102844225,11.353180333642516,0.268069569503576,1.2698311759028766e-19,4.190442880479493e-18,2.4294979102844225,True,True
FKH1:OPI1:RPD3,trigenic,C140,1.762368978623345,5.826223257099219,0.276367527130845,1.8070454949440489e-10,8.726707512168821e-10,1.762368978623345,True,True
FKH1:OPI1:SPT3,trigenic,C140,1.584118153709231,4.874990490148951,0.26806956950357574,3.4345059414273925e-09,1.399243161322271e-08,1.584118153709231,True,True
FKH1:OPI1:YAP6,trigenic,C140,1.6121559649763288,5.013608748980287,0.26806956950357597,1.810606384130753e-09,7.660257779014724e-09,1.6121559649763288,True,True
FKH1:OPI1:TFC7,trigenic,C140,1.7560467518052794,5.789504745858241,0.26806956950357586,5.726310549255264e-11,2.9526288769597456e-10,1.7560467518052794,True,True
FKH1:RFX1:RGR1,trigenic,C140,2.389458088898655,10.907581401700366,0.2680695695035759,4.941316246965153e-19,1.2873429169725005e-17,2.389458088898655,True,True
FKH1:RFX1:RPD3,trigenic,C140,1.7513431690721681,5.762337273616071,0.26806956950357597,6.439342663973017e-11,3.2692047370939935e-10,1.7513431690721681,True,True
FKH1:RFX1:SPT3,trigenic,C140,1.8060412919355224,6.086305771125059,0.2680695695035757,1.6145547771687642e-11,9.239359707497553e-11,1.8060412919355224,True,True
FKH1:RFX1:YAP6,trigenic,C140,2.065338834446439,7.8879701609049135,0.2763671053147207,7.828458331388294e-14,6.681184265581389e-13,2.065338834446439,True,True
FKH1:RFX1:TFC7,trigenic,C140,2.2826391385556595,9.802516501261154,0.2680695695035757,1.664468901893412e-17,2.959041434312229e-16,2.2826391385556595,True,True
FKH1:RGR1:RPD3,trigenic,C140,2.474875150099508,11.880223775747838,0.268069569503576,2.650992327327297e-20,1.1410793061104453e-18,2.474875150099508,True,True
