gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
GCN5:RGR1,digenic,C140,-0.9112882340578049,0.4020060124796972,0.20111865337176618,5.867803855071123e-06,1.578566797967503e-05,0.9112882340578049,True,True
GCN5:RPD3,digenic,C140,-0.34001347778400665,0.7117607297405837,0.20111865337176596,0.09091105577308271,0.12312167608119273,0.34001347778400665,False,False
GCN5:SPT3,digenic,C140,-0.23837020690540056,0.7879109470208394,0.20111865337176602,0.23592977351453182,0.2841489972985237,0.23837020690540056,False,False
GCN5:YAP6,digenic,C140,-0.32883331941547833,0.7197629772630204,0.20111865337176615,0.1020445436445302,0.13633481539552617,0.32883331941547833,False,False
GCN5:TFC7,digenic,C140,-0.4283176587466395,0.6516043940843728,0.20111865337176602,0.03319833496612993,0.05071967842047628,0.4283176587466395,True,False
MED4:OPI1,digenic,C140,-0.9084227501487023,0.40315960625267105,0.1895538104257367,1.6477594762320268e-06,4.6741601188243744e-06,0.9084227501487023,True,True
MED4:RFX1,digenic,C140,-1.500892195657847,0.22293117316926978,0.18955381042573688,2.4130890345118924e-15,3.0604935233530184e-14,1.500892195657847,True,True
MED4:RGR1,digenic,C140,-1.4736985128518296,0.22907667346290647,0.18955381042573696,7.570681670737752e-15,8.61491362532227e-14,1.4736985128518296,True,True
MED4:RPD3,digenic,C140,-0.7535346437547352,0.47069985258634073,0.1895538104257368,7.028844144448902e-05,0.00016182687681405613,0.7535346437547352,True,True
MED4:SPT3,digenic,C140,-1.1024552792838087,0.3320547947408559,0.18955381042573696,6.02528533766549e-09,2.3484379859404865e-08,1.1024552792838087,True,True
MED4:YAP6,digenic,C140,-1.0512578065575082,0.3494978718138715,0.18955381042573682,2.923460463900385e-08,1.0299736153955093e-07,1.0512578065575082,True,True
MED4:TFC7,digenic,C140,-0.9217763162426197,0.3978117735901816,0.1895538104257369,1.156934366457836e-06,3.3786578843458927e-06,0.9217763162426197,True,True
OPI1:RFX1,digenic,C140,-0.5602639714563836,0.5710583008597695,0.18955381042573666,0.0031196157087863864,0.005767220897426985,0.5602639714563836,True,True
OPI1:RGR1,digenic,C140,-0.8534825212695336,0.4259290391856112,0.189553810425737,6.713126202848741e-06,1.786557779790391e-05,0.8534825212695336,True,True
OPI1:RPD3,digenic,C140,-0.34526721700549645,0.7080311302286743,0.18955381042573702,0.06853493180219754,0.09624054253074547,0.34526721700549645,False,False
OPI1:SPT3,digenic,C140,-0.2525058420587262,0.776851674412953,0.18955381042573685,0.18282523096545167,0.22512062021865317,0.2525058420587262,False,False
OPI1:YAP6,digenic,C140,-0.2706630133392837,0.7628735312978288,0.18955381042573716,0.15332196878674131,0.19336146382022154,0.2706630133392837,False,False
OPI1:TFC7,digenic,C140,-0.18693827582137224,0.829494934698821,0.18955381042573716,0.32403418215948154,0.3743218673720965,0.18693827582137224,False,False
RFX1:RGR1,digenic,C140,-1.1478543834241366,0.31731687984719065,0.1895538104257368,1.3993041189825818e-09,6.0230916425771995e-09,1.1478543834241366,True,True
RFX1:RPD3,digenic,C140,-0.7262552470084609,0.48371700339126117,0.1895538104257368,0.00012741950085754894,0.000286043777435314,0.7262552470084609,True,True
RFX1:SPT3,digenic,C140,-0.7078471275707977,0.49270378486766,0.18955381042573677,0.00018825247534342193,0.00041323714099775546,0.7078471275707977,True,True
RFX1:YAP6,digenic,C140,-0.7510895392380241,0.4718521711174393,0.18955381042573685,7.419759496330168e-05,0.0001696434619253318,0.7510895392380241,True,True
RFX1:TFC7,digenic,C140,-0.7965756898404228,0.45087024325687536,0.18955381042573663,2.641322097457886e-05,6.537272191208268e-05,0.7965756898404228,True,True
RGR1:RPD3,digenic,C140,-1.1705099502563536,0.31020870991271143,0.18955381042573713,6.612996251445461e-10,3.0031496738215623e-09,1.1705099502563536,True,True
RGR1:SPT3,digenic,C140,-0.8812701834071985,0.4142563957662521,0.1895538104257368,3.3325388478955466e-06,9.13909545544762e-06,0.8812701834071985,True,True
RGR1:YAP6,digenic,C140,-0.9981750177688216,0.3685514276099434,0.18955381042573713,1.3948975776781862e-07,4.512903927782367e-07,0.9981750177688216,True,True
RGR1:TFC7,digenic,C140,-0.8139017815593784,0.4431257090609948,0.18955381042573688,1.7565895507215723e-05,4.4362848347305016e-05,0.8139017815593784,True,True
RPD3:SPT3,digenic,C140,-0.30394500675425973,0.737901444930303,0.189553810425737,0.1088295791948536,0.14390195816894816,0.30394500675425973,False,False
RPD3:YAP6,digenic,C140,-0.4144412362006079,0.6607093580530492,0.18955381042573677,0.028786050869235566,0.044528422438348765,0.4144412362006079,True,True
RPD3:TFC7,digenic,C140,-0.34897678393361153,0.7054095069137966,0.1895538104257368,0.06561520491135625,0.09240263565041634,0.34897678393361153,False,False
SPT3:YAP6,digenic,C140,-0.30474391269203616,0.7373121665048131,0.18955381042573677,0.10790291961865141,0.14300386937411633,0.30474391269203616,False,False
SPT3:TFC7,digenic,C140,-0.4001977272472235,0.6701875186007521,0.1895538104257369,0.03474981178195846,0.052764284760949194,0.4001977272472235,True,False
YAP6:TFC7,digenic,C140,-0.26687976477127795,0.76576513787695,0.1895538104257368,0.15914981703306186,0.19969368677152247,0.26687976477127795,False,False
FKH1:GCN5,digenic,C160,0.9398431133225884,2.559579822853628,0.19680170096919514,1.7918620686054865e-06,5.0396120679529305e-06,0.9398431133225884,True,True
FKH1:MED4,digenic,C160,0.34117175753553086,1.4065948133742612,0.18548509395605547,0.06586392139789451,0.09262113946578916,0.34117175753553086,False,False
FKH1:OPI1,digenic,C160,0.9300053284894435,2.534522682759233,0.18548509395605528,5.333529853299351e-07,1.6296896773970238e-06,0.9300053284894435,True,True
FKH1:RFX1,digenic,C160,0.7582587508749108,2.1345561885897433,0.185485093956055,4.35151759254239e-05,0.0001048175770466415,0.7582587508749108,True,True
FKH1:RGR1,digenic,C160,0.8387756534937034,2.3135326764027093,0.18548509395605467,6.123924345567501e-06,1.6385635411113042e-05,0.8387756534937034,True,True
FKH1:RPD3,digenic,C160,1.2243609844386234,3.401991462572484,0.1854850939560551,4.0878172118274184e-11,2.1526271487814597e-10,1.2243609844386234,True,True
FKH1:SPT3,digenic,C160,0.7825749899168367,2.187096773002965,0.185485093956055,2.4530979302708236e-05,6.0866339623261036e-05,0.7825749899168367,True,True
FKH1:YAP6,digenic,C160,0.928282050834847,2.5301587576622264,0.18548509395605484,5.597289948988147e-07,1.699790505981063e-06,0.928282050834847,True,True
FKH1:TFC7,digenic,C160,0.935845718498882,2.5493685944718667,0.1854850939560549,4.5258343502332677e-07,1.400180002103417e-06,0.935845718498882,True,True
GCN5:MED4,digenic,C160,0.8947650110338699,2.4467607601207932,0.20756345226940295,1.6266327496669093e-05,4.118584199923888e-05,0.8947650110338699,True,True
GCN5:OPI1,digenic,C160,0.158150811327937,1.171342833155933,0.19680170096919586,0.42162519203859894,0.4732527665739376,0.158150811327937,False,False
GCN5:RFX1,digenic,C160,0.21381686475461548,1.2383958400991442,0.19680170096919522,0.2772762280312966,0.3275697681992645,0.21381686475461548,False,False
GCN5:RGR1,digenic,C160,0.1385972376612279,1.1486613692850567,0.19680170096919508,0.4812782378920579,0.5329591224979164,0.1385972376612279,False,False
GCN5:RPD3,digenic,C160,0.5692898214815003,1.767011711969158,0.19680170096919505,0.0038193640106355055,0.006912560092375047,0.5692898214815003,True,True
GCN5:SPT3,digenic,C160,0.352825577835518,1.4230829045845976,0.19680170096919528,0.07300532538087612,0.10165298470754904,0.352825577835518,False,False
GCN5:YAP6,digenic,C160,0.2923678664759901,1.3395957193660482,0.19680170096919533,0.13738595088078553,0.17640997583914095,0.2923678664759901,False,False
GCN5:TFC7,digenic,C160,1.1371155141372105,3.117762241303507,0.19680170096919525,7.560456860786182e-09,2.9123938880071285e-08,1.1371155141372105,True,True
MED4:OPI1,digenic,C160,1.5536382338209698,4.728642832871562,0.18548509395605522,5.4719102560518845e-17,8.598716116652962e-16,1.5536382338209698,True,True
MED4:RFX1,digenic,C160,1.12113081291005,3.06832194030487,0.1854850939560551,1.5004371487012257e-09,6.430444923005253e-09,1.12113081291005,True,True
MED4:RGR1,digenic,C160,1.2944752828486972,3.649080736457276,0.18548509395605509,2.975759263490093e-12,1.8544899976393832e-11,1.2944752828486972,True,True
MED4:RPD3,digenic,C160,1.5593238541443575,4.755604675432893,0.18548509395605522,4.2158558138415385e-17,6.731769767263101e-16,1.5593238541443575,True,True
MED4:SPT3,digenic,C160,1.1859627496068645,3.273837190182281,0.18548509395605528,1.6176650318478181e-10,7.850433242790882e-10,1.1859627496068645,True,True
MED4:YAP6,digenic,C160,1.236348192164464,3.443017241926382,0.18548509395605514,2.6379197158340026e-11,1.434912372898716e-10,1.236348192164464,True,True
MED4:TFC7,digenic,C160,1.3922319642709151,4.0238210626278414,0.18548509395605534,6.100949110550698e-14,5.298192648636133e-13,1.3922319642709151,True,True
OPI1:RFX1,digenic,C160,0.6060792699401434,1.8332296912743429,0.18548509395605503,0.001084879687921254,0.0021610279497827796,0.6060792699401434,True,True
OPI1:RGR1,digenic,C160,0.25937074926655845,1.2961142491676068,0.1854850939560551,0.1620117634038405,0.20277072790114042,0.25937074926655845,False,False
OPI1:RPD3,digenic,C160,1.0972483350434117,2.995910928411845,0.18548509395605528,3.307468714705836e-09,1.3530553832887512e-08,1.0972483350434117,True,True
OPI1:SPT3,digenic,C160,0.6219946386935825,1.8626396320573466,0.18548509395605522,0.0007984247761188121,0.0016264208402420246,0.6219946386935825,True,True
OPI1:YAP6,digenic,C160,0.5834286501198391,1.7921726416518762,0.18548509395605522,0.0016584816178642952,0.0032194054935012787,0.5834286501198391,True,True
OPI1:TFC7,digenic,C160,0.5360565326440723,1.7092531703750593,0.1854850939560555,0.0038521136253353004,0.0069406343386425665,0.5360565326440723,True,True
RFX1:RGR1,digenic,C160,0.4061498301198353,1.501027434730952,0.18548509395605495,0.028548693058915855,0.0442303695278978,0.4061498301198353,True,True
RFX1:RPD3,digenic,C160,1.0485364249577145,2.853471790333115,0.18548509395605503,1.5772480369348212e-08,5.804741845968302e-08,1.0485364249577145,True,True
RFX1:SPT3,digenic,C160,0.39562770290016785,1.4853162356755132,0.18548509395605503,0.032930034807605355,0.05038753394053988,0.39562770290016785,True,False
RFX1:YAP6,digenic,C160,0.3618371434170127,1.435965066552766,0.18548509395605506,0.051085447214705905,0.07383152225191073,0.3618371434170127,False,False
RFX1:TFC7,digenic,C160,0.4534625536400376,1.5737519628823426,0.18548509395605495,0.014495719524255695,0.023917937215021896,0.4534625536400376,True,True
RGR1:RPD3,digenic,C160,0.8928076712458755,2.441976301866068,0.18548509395605495,1.4840901987081673e-06,4.2463852506389764e-06,0.8928076712458755,True,True
RGR1:SPT3,digenic,C160,0.493738661968522,1.6384303206837607,0.18548509395605503,0.007770607317904027,0.013425656622556697,0.493738661968522,True,True
RGR1:YAP6,digenic,C160,0.4645715305716275,1.5913322055925576,0.18548509395605517,0.012257954987666625,0.020638393601683604,0.4645715305716275,True,True
RGR1:TFC7,digenic,C160,0.7670069836461578,2.1533117021745247,0.18548509395605509,3.547370410391741e-05,8.671349892068699e-05,0.7670069836461578,True,True
RPD3:SPT3,digenic,C160,0.918918105579577,2.5065770706913413,0.18548509395605503,7.265293629292403e-07,2.1470569232834264e-06,0.918918105579577,True,True
RPD3:YAP6,digenic,C160,0.9933530393583614,2.700273432984357,0.1854850939560549,8.535165288254923e-08,2.835507931333011e-07,0.9933530393583614,True,True
RPD3:TFC7,digenic,C160,1.0317095771009093,2.8058585683147483,0.1854850939560554,2.6635861722932314e-08,9.485432771835609e-08,1.0317095771009093,True,True
SPT3:YAP6,digenic,C160,0.6668813128347384,1.948152159575175,0.18548509395605503,0.00032397265107415445,0.0006882680784622595,0.6668813128347384,True,True
SPT3:TFC7,digenic,C160,0.7484618399085563,2.113746234733772,0.1854850939560551,5.456534186918507e-05,0.0001295436173872739,0.7484618399085563,True,True
YAP6:TFC7,digenic,C160,0.8971839126440253,2.4526863975407793,0.1854850939560551,1.318401871669129e-06,3.816426470621162e-06,0.8971839126440253,True,True
FKH1:GCN5,digenic,C180,0.725042019885064,2.0648178615528385,0.20230756232989205,0.0003385533435133238,0.0007131230001663629,0.725042019885064,True,True
FKH1:MED4,digenic,C180,0.3439528183247784,1.4105120836146507,0.1906743540425712,0.07125080796747567,0.09963036707316512,0.3439528183247784,False,False
FKH1:OPI1,digenic,C180,0.6404628930065385,1.8973589502517871,0.19067435404257096,0.0007824327353414194,0.0015971307381195984,0.6404628930065385,True,True
FKH1:RFX1,digenic,C180,0.31595175755272353,1.371564086421848,0.19067435404257144,0.09751485970166943,0.13081261667297117,0.31595175755272353,False,False
FKH1:RGR1,digenic,C180,0.5000086007207578,1.648735450952365,0.19067435404257113,0.008733415516650238,0.01493278300774393,0.5000086007207578,True,True
FKH1:RPD3,digenic,C180,0.8920865383957949,2.4402159473367004,0.19067435404257083,2.888587193573062e-06,7.987992518540032e-06,0.8920865383957949,True,True
FKH1:SPT3,digenic,C180,0.4339911437118864,1.543405199214839,0.19067435404257163,0.022840889228899385,0.03623794925738845,0.4339911437118864,True,True
FKH1:YAP6,digenic,C180,0.649762994515453,1.9150868891267925,0.19067435404257113,0.0006551036261407641,0.001351151228915326,0.649762994515453,True,True
FKH1:TFC7,digenic,C180,0.546175249742106,1.726636419424637,0.19067435404257108,0.004177472665450848,0.0074651587342894205,0.546175249742106,True,True
GCN5:MED4,digenic,C180,1.0186971628607313,2.7695840953986566,0.21337039187467524,1.803212128849021e-06,5.057167160228132e-06,1.0186971628607313,True,True
GCN5:OPI1,digenic,C180,0.4438897849957952,1.5587586775599744,0.20230756232989205,0.028225818822048363,0.04379868437904056,0.4438897849957952,True,True
GCN5:RFX1,digenic,C180,0.2542931640811343,1.289549798539691,0.20230756232989183,0.20876695578443305,0.2545311406731388,0.2542931640811343,False,False
GCN5:RGR1,digenic,C180,0.40308146912606735,1.4964287994441676,0.20230756232989194,0.046325083729907755,0.06774273691670411,0.40308146912606735,True,False
GCN5:RPD3,digenic,C180,1.0748751757670854,2.9296271892427375,0.2023075623298916,1.0779086989973055e-07,3.557098706691108e-07,1.0748751757670854,True,True
GCN5:SPT3,digenic,C180,0.5558937950071103,1.7434986189280666,0.20230756232989228,0.006000285723170133,0.010569898337968741,0.5558937950071103,True,True
GCN5:YAP6,digenic,C180,0.33766669947653893,1.4016732471142783,0.20230756232989186,0.09510231645045872,0.12827151673835713,0.33766669947653893,False,False
GCN5:TFC7,digenic,C180,1.337222753275576,3.8084517940063742,0.20230756232989186,3.84708187927905e-11,2.036690406677144e-10,1.337222753275576,True,True
MED4:OPI1,digenic,C180,1.3383283193527304,3.812664617464555,0.19067435404257088,2.2358738159728104e-12,1.4280742437503755e-11,1.3383283193527304,True,True
MED4:RFX1,digenic,C180,0.8479130637717704,2.33476924954229,0.19067435404257083,8.711139696538298e-06,2.299740879886111e-05,0.8479130637717704,True,True
MED4:RGR1,digenic,C180,1.0515003067623643,2.8619416891416622,0.1906743540425709,3.494957835371573e-08,1.2183127665555834e-07,1.0515003067623643,True,True
MED4:RPD3,digenic,C180,1.2914569423360398,3.6380831737802835,0.1906743540425709,1.2604958740778258e-11,7.427922115101473e-11,1.2914569423360398,True,True
MED4:SPT3,digenic,C180,0.91330806237454,2.4925544355997253,0.190674354042571,1.668776482960689e-06,4.72025348037452e-06,0.91330806237454,True,True
MED4:YAP6,digenic,C180,0.9857806169278076,2.6799030457993087,0.1906743540425709,2.3413205870224023e-07,7.405454891859995e-07,0.9857806169278076,True,True
MED4:TFC7,digenic,C180,1.090941299511293,2.9770750733775517,0.19067435404257105,1.055942341878865e-08,3.959783782045744e-08,1.090941299511293,True,True
OPI1:RFX1,digenic,C180,0.5942797019551046,1.811725492529026,0.1906743540425709,0.0018287149989509625,0.003522807591200162,0.5942797019551046,True,True
OPI1:RGR1,digenic,C180,0.261115143659134,1.298377156723799,0.19067435404257121,0.17086496259539752,0.21250793086613512,0.261115143659134,False,False
OPI1:RPD3,digenic,C180,1.0644361247744114,2.899203733904954,0.19067435404257077,2.371103320966288e-08,8.535971955478636e-08,1.0644361247744114,True,True
OPI1:SPT3,digenic,C180,0.6065363170268061,1.834067755066642,0.1906743540425709,0.0014676444974252522,0.002860173331596456,0.6065363170268061,True,True
OPI1:YAP6,digenic,C180,0.588344619552503,1.8010045986048606,0.19067435404257108,0.0020314250089619175,0.003875167430197954,0.588344619552503,True,True
OPI1:TFC7,digenic,C180,0.4646320000673667,1.5914284355580428,0.19067435404257102,0.014818574241041629,0.024409964224012,0.4646320000673667,True,True
RFX1:RGR1,digenic,C180,0.3593309126915315,1.432370712803558,0.19067435404257121,0.059493765667255144,0.08450334004387747,0.3593309126915315,False,False
RFX1:RPD3,digenic,C180,0.9981791054100086,2.713336627494756,0.19067435404257096,1.6499019496506719e-07,5.303256266734302e-07,0.9981791054100086,True,True
RFX1:SPT3,digenic,C180,0.3162763061610951,1.3720092978798601,0.1906743540425712,0.09717123175228463,0.13069302701444924,0.3162763061610951,False,False
RFX1:YAP6,digenic,C180,0.27875804947983984,1.3214875705813551,0.19067435404257096,0.1437525007960862,0.18386947776243584,0.27875804947983984,False,False
RFX1:TFC7,digenic,C180,0.36479824589326226,1.4402234078481475,0.1906743540425705,0.05572240538330391,0.0794887339041367,0.36479824589326226,False,False
RGR1:RPD3,digenic,C180,0.9480051286327309,2.580556642663967,0.19067435404257155,6.631549843093349e-07,1.9787769057556605e-06,0.9480051286327309,True,True
RGR1:SPT3,digenic,C180,0.46907497718731694,1.5985148464087324,0.1906743540425706,0.01389043999117038,0.023033762419080953,0.46907497718731694,True,True
RGR1:YAP6,digenic,C180,0.4829984863183915,1.6209274514421452,0.19067435404257105,0.011305652860936051,0.019132643303122546,0.4829984863183915,True,True
RGR1:TFC7,digenic,C180,0.7669816662687464,2.153257186659574,0.1906743540425712,5.75912514379751e-05,0.00013607479456705335,0.7669816662687464,True,True
RPD3:SPT3,digenic,C180,0.8573280943382391,2.3568549791572497,0.1906743540425707,6.914786935211406e-06,1.830384776967725e-05,0.8573280943382391,True,True
RPD3:YAP6,digenic,C180,0.9444777003033629,2.571469949807948,0.1906743540425708,7.294484645380341e-07,2.1492677972995645e-06,0.9444777003033629,True,True
RPD3:TFC7,digenic,C180,0.952180272431682,2.591353360970299,0.1906743540425704,5.921769470454056e-07,1.787363346265096e-06,0.952180272431682,True,True
SPT3:YAP6,digenic,C180,0.6601634198929897,1.9351085437950255,0.19067435404257083,0.0005356674439611839,0.0011117626195420798,0.6601634198929897,True,True
SPT3:TFC7,digenic,C180,0.7124456053353062,2.0389716861185403,0.19067435404257066,0.00018663492431147586,0.0004105968334852469,0.7124456053353062,True,True
YAP6:TFC7,digenic,C180,0.8313914522147519,2.2965120048267624,0.19067435404257108,1.2990272287800355e-05,3.323092910832649e-05,0.8313914522147519,True,True
FKH1:GCN5,digenic,C161,-0.050643501503808475,0.9506175038426289,0.15629581667897646,0.7459203205476065,0.7797899866337173,0.050643501503808475,False,False
FKH1:MED4,digenic,C161,-0.21445797419122825,0.806978724952858,0.14730840281800262,0.14543589977976704,0.18554322265717701,0.21445797419122825,False,False
FKH1:OPI1,digenic,C161,-0.12906464976409793,0.8789171419228992,0.14730840281800245,0.3809470452527334,0.43449029354862445,0.12906464976409793,False,False
FKH1:RFX1,digenic,C161,0.23772476510136809,1.268360047829478,0.1473084028180028,0.10657307609054627,0.1414307578145319,0.23772476510136809,False,False
FKH1:RGR1,digenic,C161,-0.16366403077283476,0.8490272209877398,0.1473084028180023,0.26655550653281745,0.31603587002094524,0.16366403077283476,False,False
FKH1:RPD3,digenic,C161,0.2179196450354839,1.2434871432391346,0.14730840281800237,0.13904868316862887,0.17831372582505514,0.2179196450354839,False,False
FKH1:SPT3,digenic,C161,0.1067515509983672,1.112657781421067,0.14730840281800242,0.4686479607904137,0.5213050350365276,0.1067515509983672,False,False
FKH1:YAP6,digenic,C161,-0.010707707368634134,0.9893494160611219,0.1473084028180026,0.9420535649752374,0.948761983037116,0.010707707368634134,False,False
FKH1:TFC7,digenic,C161,-0.20831861709129784,0.8119482948903424,0.14730840281800245,0.15731300425627004,0.1976394342813545,0.20831861709129784,False,False
GCN5:MED4,digenic,C161,-0.5784011840486284,0.5607942569961288,0.1648425756758674,0.00045011729921603404,0.0009401184097550079,0.5784011840486284,True,True
GCN5:OPI1,digenic,C161,-0.4785297374472958,0.6196938349865994,0.15629581667897627,0.002200893863017738,0.004174109050550883,0.4785297374472958,True,True
GCN5:RFX1,digenic,C161,-0.11588574676031826,0.890576968788856,0.15629581667897624,0.4584198096684141,0.5116523242071364,0.11588574676031826,False,False
GCN5:RGR1,digenic,C161,-0.38662888177758925,0.6793431647776054,0.15629581667897624,0.0133722124839702,0.022287020806617,0.38662888177758925,True,True
GCN5:RPD3,digenic,C161,-0.28909881681702787,0.7489381940574594,0.15629581667897594,0.06435823555552969,0.09076161424497776,0.28909881681702787,False,False
GCN5:SPT3,digenic,C161,-0.12499479132753799,0.8825014992338809,0.1562958166789764,0.42386599481388276,0.475229144808317,0.12499479132753799,False,False
GCN5:YAP6,digenic,C161,-0.16043517304832133,0.8517730396318687,0.15629581667897616,0.3046634474662314,0.354843309401846,0.16043517304832133,False,False
GCN5:TFC7,digenic,C161,0.07006383589201914,1.072576647955958,0.15629581667897624,0.6539532234016028,0.6953960162917151,0.07006383589201914,False,False
MED4:OPI1,digenic,C161,-0.22501538343701433,0.7985039349299048,0.14730840281800273,0.12663369423780263,0.16474028553932274,0.22501538343701433,False,False
MED4:RFX1,digenic,C161,-0.26147077490007015,0.7699183760370256,0.14730840281800275,0.0758997255794304,0.1053867157414251,0.26147077490007015,False,False
MED4:RGR1,digenic,C161,-0.4443469331846806,0.6412429137857798,0.14730840281800278,0.0025576197485033796,0.004795537028443837,0.4443469331846806,True,True
MED4:RPD3,digenic,C161,-0.034078091788071474,0.9664960262875686,0.14730840281800262,0.8170519084692762,0.8421158915079284,0.034078091788071474,False,False
MED4:SPT3,digenic,C161,-0.31548478136459096,0.7294351719637955,0.14730840281800275,0.03222070555747055,0.04953182997188796,0.31548478136459096,True,True
MED4:YAP6,digenic,C161,-0.2942785524700924,0.7450689217465634,0.1473084028180026,0.04574878466276782,0.06729551707735473,0.2942785524700924,True,False
MED4:TFC7,digenic,C161,-0.20943450644747275,0.8110427557650112,0.14730840281800256,0.155101235143356,0.1953565175469751,0.20943450644747275,False,False
OPI1:RFX1,digenic,C161,-0.16276138192044542,0.8497939404215614,0.14730840281800242,0.2692019585552514,0.3184109187212651,0.16276138192044542,False,False
OPI1:RGR1,digenic,C161,-0.4257426775430789,0.6532844252473395,0.14730840281800253,0.0038506388965871773,0.0069406343386425665,0.4257426775430789,True,True
OPI1:RPD3,digenic,C161,0.062001279000797604,1.0639637055375915,0.14730840281800242,0.6738322085910873,0.7142332831961203,0.062001279000797604,False,False
OPI1:SPT3,digenic,C161,-0.19793025277722776,0.8204270736521962,0.14730840281800264,0.17906309217949234,0.22159057657212178,0.19793025277722776,False,False
OPI1:YAP6,digenic,C161,-0.23617766445581778,0.7896403704429937,0.14730840281800253,0.10887127946317392,0.14390195816894816,0.23617766445581778,False,False
OPI1:TFC7,digenic,C161,-0.12700485170636155,0.8807293995463605,0.14730840281800245,0.38859410252328785,0.44219328907822414,0.12700485170636155,False,False
RFX1:RGR1,digenic,C161,-0.29855105784080527,0.7418924014589396,0.14730840281800248,0.042692325956526674,0.0633664208350246,0.29855105784080527,True,False
RFX1:RPD3,digenic,C161,0.15707936247702947,1.1700884713355957,0.1473084028180024,0.2862745132216876,0.3369937789411067,0.15707936247702947,False,False
RFX1:SPT3,digenic,C161,-0.07759472082792562,0.9253393713340521,0.14730840281800248,0.5983671161954647,0.6438950489494675,0.07759472082792562,False,False
RFX1:YAP6,digenic,C161,-0.10506192264090264,0.9002687738402303,0.14730840281800264,0.4757154132067475,0.5285432157749703,0.10506192264090264,False,False
RFX1:TFC7,digenic,C161,-0.05008111243489766,0.9511522710950391,0.14730840281800225,0.7338756708717626,0.7720902382179011,0.05008111243489766,False,False
RGR1:RPD3,digenic,C161,-0.21298081377099412,0.8081716428339563,0.14730840281800267,0.14822887804727297,0.18813665290615417,0.21298081377099412,False,False
RGR1:SPT3,digenic,C161,-0.3189691198324167,0.7268979956916853,0.14730840281800248,0.030363557131241635,0.04682230772574645,0.3189691198324167,True,True
RGR1:YAP6,digenic,C161,-0.3534492484622048,0.702261632541454,0.14730840281800256,0.01642273600428532,0.026829222185218594,0.3534492484622048,True,True
RGR1:TFC7,digenic,C161,-0.29475547557933524,0.7447136658814034,0.1473084028180024,0.04539870988362905,0.06698170310699367,0.29475547557933524,True,False
RPD3:SPT3,digenic,C161,0.0076061390501100945,1.0076351392055118,0.1473084028180027,0.9588202355383703,0.9627099728022176,0.0076061390501100945,False,False
RPD3:YAP6,digenic,C161,-0.15182403888942425,0.859139442571886,0.14730840281800228,0.30270296232634397,0.35297518575156717,0.15182403888942425,False,False
RPD3:TFC7,digenic,C161,-0.264926028298737,0.7672627036042499,0.14730840281800228,0.0721065516858728,0.100542938266217,0.264926028298737,False,False
SPT3:YAP6,digenic,C161,-0.1553880166695351,0.8560829385799918,0.14730840281800264,0.2914947154900175,0.342324754845928,0.1553880166695351,False,False
SPT3:TFC7,digenic,C161,-0.10494115918884339,0.9003774999700797,0.1473084028180025,0.47622277623360965,0.5285432157749703,0.10494115918884339,False,False
YAP6:TFC7,digenic,C161,-0.1482949550001016,0.862176774083848,0.14730840281800234,0.31408031349331034,0.3632470915401603,0.1482949550001016,False,False
