run	library	round	condition	replicate
SRR8293138	Ff1a	1	after	1
SRR8293131	Ff2a	1	after	2
SRR8293132	Ff3a	1	after	3
SRR8293135	Ff1b	1	before	1
SRR8293136	Ff2b	1	before	2
SRR8293137	Ff3b	1	before	3
SRR8293130	2Ff1a	2	after	1
SRR8293142	2Ff2a	2	after	2
SRR8293143	2Ff3a	2	after	3
SRR8293133	2Ff1b	2	before	1
SRR8293134	2Ff2b	2	before	2
SRR8293129	2Ff3b	2	before	3
SRR8293147	3Ff1a	3	after	1
SRR8293148	3Ff2a	3	after	2
SRR8293149	3Ff3a	3	after	3
SRR8293144	3Ff1b	3	before	1
SRR8293145	3Ff2b	3	before	2
SRR8293146	3Ff3b	3	before	3
SRR8293139	ecLibA	0	plasmid_library	1
SRR8293140	ecLibI	0	plasmid_library	1
SRR8293141	ecLibD	0	plasmid_library	1
