arm,modulation,alpha,gene,orf,f
enzyme,linear,0.1,FAA1,YOR317W,0.9999999981435269
enzyme,linear,0.1,FAA2,YER015W,0.9999999981435269
enzyme,linear,0.1,FAA3,YIL009W,0.9999999981435269
enzyme,linear,0.1,FAA4,YMR246W,0.9999999981435269
enzyme,linear,0.1,FAS1,YKL182W,0.9999999981435269
enzyme,linear,0.1,FAS2,YPL231W,0.9999999981435269
enzyme,linear,0.1,POX1,YGL205W,0.9999999981435269
enzyme,linear,0.1,SLC1,YDL052C,0.9999999981435269
regulator,linear,0.05,FKH1,YIL131C,0.9999999981432803
regulator,linear,0.05,GCN5,YGR252W,0.9999999981432455
regulator,linear,0.05,MED4,YOR174W,0.9999999981439521
regulator,linear,0.05,OPI1,YHL020C,0.9999999981420439
regulator,linear,0.05,RFX1,YLR176C,0.9999999981428125
regulator,linear,0.05,RGR1,YLR071C,0.999999998143283
regulator,linear,0.05,RPD3,YNL330C,0.9999999981462612
regulator,linear,0.05,SPT3,YDR392W,0.9999999981430826
regulator,linear,0.05,TFC7,YOR110W,0.9999999981424422
regulator,linear,0.05,YAP6,YDR259C,0.9999999981433602
enzyme,linear,0.05,ELO2,YCR034W,0.9999999981462975
enzyme,linear,0.05,ELO3,YLR372W,0.9999999981438928
enzyme,linear,0.05,FAA1,YOR317W,0.9999999981438928
enzyme,linear,0.05,FAA2,YER015W,0.9999999981438928
enzyme,linear,0.05,FAA3,YIL009W,0.9999999981438928
enzyme,linear,0.05,FAA4,YMR246W,0.9999999981438928
enzyme,linear,0.05,FAS1,YKL182W,0.9999999981438928
enzyme,linear,0.05,FAS2,YPL231W,0.9999999981438928
enzyme,linear,0.05,POX1,YGL205W,0.9999999981438928
enzyme,linear,0.05,SLC1,YDL052C,0.9999999981438928
regulator,linear,0.01,FKH1,YIL131C,0.9999999981436095
regulator,linear,0.01,GCN5,YGR252W,0.9999999981432123
regulator,linear,0.01,MED4,YOR174W,0.9999999981483592
regulator,linear,0.01,OPI1,YHL020C,0.9999999981465861
regulator,linear,0.01,RFX1,YLR176C,0.9999999981443816
regulator,linear,0.01,RGR1,YLR071C,0.9999999981392059
regulator,linear,0.01,RPD3,YNL330C,0.9999999981474204
regulator,linear,0.01,SPT3,YDR392W,0.9999999981440479
regulator,linear,0.01,TFC7,YOR110W,0.9999999981473615
regulator,linear,0.01,YAP6,YDR259C,0.9999999981375963
enzyme,linear,0.01,ELO2,YCR034W,0.9999999981405663
enzyme,linear,0.01,ELO3,YLR372W,0.9999999981462279
enzyme,linear,0.01,FAA1,YOR317W,0.9999999981462279
enzyme,linear,0.01,FAA2,YER015W,0.9999999981462279
enzyme,linear,0.01,FAA3,YIL009W,0.9999999981462279
enzyme,linear,0.01,FAA4,YMR246W,0.9999999981462279
enzyme,linear,0.01,FAS1,YKL182W,0.9999999981462279
enzyme,linear,0.01,FAS2,YPL231W,0.9999999981462279
enzyme,linear,0.01,POX1,YGL205W,0.9999999981462279
enzyme,linear,0.01,SLC1,YDL052C,0.9999999981462279
regulator,linear,0.005,FKH1,YIL131C,0.40694339791534995
regulator,linear,0.005,GCN5,YGR252W,0.406943397912836
regulator,linear,0.005,MED4,YOR174W,0.40694339792041906
regulator,linear,0.005,OPI1,YHL020C,0.40694339791499806
regulator,linear,0.005,RFX1,YLR176C,0.40694339793247863
regulator,linear,0.005,RGR1,YLR071C,0.40694339790927275
regulator,linear,0.005,RPD3,YNL330C,0.9983346599771254
regulator,linear,0.005,SPT3,YDR392W,0.40694339791929585
regulator,linear,0.005,TFC7,YOR110W,0.40694339791526285
regulator,linear,0.005,YAP6,YDR259C,0.4069433979184474
enzyme,linear,0.005,ELO2,YCR034W,0.9999999981324522
enzyme,linear,0.005,ELO3,YLR372W,0.9999999981264648
enzyme,linear,0.005,FAA1,YOR317W,0.9999999981264648
enzyme,linear,0.005,FAA2,YER015W,0.9999999981264648
enzyme,linear,0.005,FAA3,YIL009W,0.9999999981264648
enzyme,linear,0.005,FAA4,YMR246W,0.9999999981264648
enzyme,linear,0.005,FAS1,YKL182W,0.9999999981264648
enzyme,linear,0.005,FAS2,YPL231W,0.9999999981264648
enzyme,linear,0.005,POX1,YGL205W,0.9999999981264648
enzyme,linear,0.005,SLC1,YDL052C,0.9999999981264648
regulator,linear,0.002,FKH1,YIL131C,0.0
regulator,linear,0.002,GCN5,YGR252W,0.0
regulator,linear,0.002,MED4,YOR174W,0.0
regulator,linear,0.002,OPI1,YHL020C,0.0
regulator,linear,0.002,RFX1,YLR176C,0.0
regulator,linear,0.002,RGR1,YLR071C,0.0
regulator,linear,0.002,RPD3,YNL330C,0.0
regulator,linear,0.002,SPT3,YDR392W,0.0
regulator,linear,0.002,TFC7,YOR110W,0.0
regulator,linear,0.002,YAP6,YDR259C,0.0
enzyme,linear,0.002,ELO2,YCR034W,0.9999999981401687
enzyme,linear,0.002,ELO3,YLR372W,0.9999999981192299
enzyme,linear,0.002,FAA1,YOR317W,0.9999999981192299
enzyme,linear,0.002,FAA2,YER015W,0.9999999981223204
enzyme,linear,0.002,FAA3,YIL009W,0.9999999981192299
enzyme,linear,0.002,FAA4,YMR246W,0.9999999981192299
enzyme,linear,0.002,FAS1,YKL182W,0.9999999981192299
enzyme,linear,0.002,FAS2,YPL231W,0.9999999981192299
enzyme,linear,0.002,POX1,YGL205W,0.9999999981192299
enzyme,linear,0.002,SLC1,YDL052C,0.9999999981192299
regulator,binary,0.0,FKH1,YIL131C,0.0
regulator,binary,0.0,GCN5,YGR252W,0.0
regulator,binary,0.0,MED4,YOR174W,0.0
regulator,binary,0.0,OPI1,YHL020C,0.0
regulator,binary,0.0,RFX1,YLR176C,0.0
regulator,binary,0.0,RGR1,YLR071C,0.0
regulator,binary,0.0,RPD3,YNL330C,0.0
regulator,binary,0.0,SPT3,YDR392W,0.0
regulator,binary,0.0,TFC7,YOR110W,0.0
regulator,binary,0.0,YAP6,YDR259C,0.0
enzyme,binary,0.0,ELO2,YCR034W,0.9999999981431965
enzyme,binary,0.0,ELO3,YLR372W,0.9999999981431855
enzyme,binary,0.0,FAA1,YOR317W,0.9999999981431855
enzyme,binary,0.0,FAA2,YER015W,0.9999999981431855
enzyme,binary,0.0,FAA3,YIL009W,0.9999999981431855
enzyme,binary,0.0,FAA4,YMR246W,0.9999999981431855
enzyme,binary,0.0,FAS1,YKL182W,0.0
enzyme,binary,0.0,FAS2,YPL231W,0.0
enzyme,binary,0.0,POX1,YGL205W,0.9999999981432047
enzyme,binary,0.0,SLC1,YDL052C,0.9999787019003511
