arm,modulation,alpha,gene_i,gene_j,gene_k,f_i,f_j,f_k,f_ijk,tau,mean_hops,max_hops
regulator,linear,0.75,FKH1,GCN5,MED4,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,GCN5,OPI1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,GCN5,RFX1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,GCN5,RGR1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,GCN5,RPD3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,GCN5,SPT3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,GCN5,TFC7,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,GCN5,YAP6,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.0,2.0
regulator,linear,0.75,FKH1,MED4,OPI1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,MED4,RFX1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,MED4,RGR1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,MED4,RPD3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,MED4,SPT3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,MED4,TFC7,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,MED4,YAP6,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,OPI1,RFX1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,OPI1,RGR1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,OPI1,RPD3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,OPI1,SPT3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,OPI1,TFC7,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,OPI1,YAP6,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,RFX1,RGR1,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,RFX1,RPD3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,RFX1,SPT3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,RFX1,TFC7,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,RFX1,YAP6,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.3333333333333335,3.0
regulator,linear,0.75,FKH1,RGR1,RPD3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,RGR1,SPT3,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
regulator,linear,0.75,FKH1,RGR1,TFC7,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.0000000000000018,1.7763568394002505e-15,2.6666666666666665,3.0
