table,form,n,pearson,spearman,slope,rmse,median_abs_residual,frac_abs_residual_below_1e-3
S1,controls within the row's table,215569,0.9999998303084451,0.9999996557948225,0.9999950011882512,3.53408254947864e-05,2.679999999989635e-05,1.0
S1,controls pooled over both tables,215576,0.9854995684036378,0.9851201305815773,0.9750977460357977,0.010271306378945367,2.8000000000055758e-05,0.9523045236946599
S1,"within-table controls, f_k averaged over tables",215569,0.889688270159178,0.8415943445838056,0.9927146398828683,0.031191626128491228,0.01609975000000008,0.03937022484680079
S3,controls within the row's table,41235,0.9999998497141842,0.9999996411991487,0.9999958146554588,3.9450995540890736e-05,2.8850000000038567e-05,1.0
S3,controls pooled over both tables,41235,0.9443565878579742,0.928563479639821,0.9352555652836888,0.023442787313864333,4.0899999999934045e-05,0.7505274645325573
S3,"within-table controls, f_k averaged over tables",41235,0.9813166050850173,0.9739726298857472,1.0009896686256305,0.013892939897125565,4.0899999999934045e-05,0.7541894022068631
both,controls within the row's table,256804,0.9999998325648999,0.999999655150704,0.9999960021469718,3.6032406014886415e-05,2.6999999999994476e-05,1.0
both,controls pooled over both tables,256811,0.9770026827880897,0.9749214964544154,0.9668833629060264,0.013296661352913375,2.950000000005032e-05,0.91990607878946
both,"within-table controls, f_k averaged over tables",256804,0.9063844547711039,0.8632900025295249,0.9948993255012657,0.029115089714140167,0.013378199999999986,0.15414868927275277
