arm,label,open_exchanges,glucose_bound,amino_acid_exchanges,wt_growth,frac_wt_like_single,frac_wt_like_double,frac_wt_like_triple,frac_lethal_triple,n_tau_nonzero,pearson_r_tau,spearman_rho_tau,pearson_r_fitness,pearson_r_fitness_covered,doubles_inconsistent,triples_above_min_double
frozen_baseline,"Yeast9 default (frozen run, 2025-09-15)",16,1.0,0,0.0858439697264682,0.9769573835480674,0.9695737437056671,0.9314291044888403,0.04897792141745884,231,0.0018745278074905362,0.0029137202132126163,0.1508572469039994,0.25386714810442335,253,173
yeast9_default,Yeast9 default (rerun),16,1.0,0,0.0858439710016899,0.977205153617443,0.9697380605392356,0.9314682242343815,0.04893579246072227,182,0.003394169271060816,-0.004125746932463269,0.15105945318831887,0.25421078038858624,157,127
sm_glucose_3.3,"SM: ammonium, glucose 3.3",25,3.3,0,0.3137814574016433,0.9809217046580773,0.9728662230624051,0.9332045390941672,0.04364559917908718,27,-0.0005078113372165916,0.007592183873418369,0.1602978398683295,0.26907098017429476,0,0
screen_medium,Screen medium: SD/MSG -His/Arg/Lys/Ura,42,3.3,17,0.4966052056276385,0.9848860257680873,0.9800163088296495,0.943186092629539,0.03450662477844683,30,-0.0007028070051054648,0.02648231849047804,0.17318968770784318,0.28939224224072996,0,0
