epoch,val/loss,train/loss,val/gene_interaction/Pearson,val/gene_interaction/MSE,val/gene_interaction/RMSE,train/gene_interaction/Pearson,val/point_loss,val/dist_loss,val/graph_reg_loss,train/point_loss
0,654796.8125,655320.4978448276,-0.01280645839869976,0.004017111379653215,0.06338068842887878,-0.004580035340040922,1.0036929845809937,0.47732028365135193,654795.9375,1.0489574198065132
1,83148.0625,236751.90807291667,0.2648903429508209,0.0036840145476162434,0.060696084052324295,0.0802098736166954,0.9204832911491394,0.28613847494125366,83147.0859375,1.05448783437411
2,50538.64453125,64750.70447198276,0.38333600759506226,0.003388470271602273,0.05821056663990021,0.3147175908088684,0.8466826677322388,0.2473745048046112,50537.76171875,0.8933052872789318
3,40644.87890625,46951.476953125,0.39563989639282227,0.0033528872299939394,0.05790412053465843,0.36328861117362976,0.8377812504768372,0.24156993627548218,40644.00390625,0.9006485342979431
4,37012.71875,40062.74447737069,0.4013006389141083,0.0033324118703603745,0.05772704631090164,0.38120314478874207,0.8326228260993958,0.25370076298713684,37011.87109375,0.8389256370478663
5,34166.98828125,36446.46627604167,0.4062919020652771,0.0033397541847079992,0.057790607213974,0.3900679051876068,0.834531307220459,0.22078903019428253,34166.12890625,0.8403099834918976
6,32547.298828125,34182.11799568965,0.40447840094566345,0.003325046505779028,0.057663217186927795,0.40284037590026855,0.8308261632919312,0.22867679595947266,32546.443359375,0.8079577006142715
7,30843.625,32294.881901041666,0.41296038031578064,0.0032853521406650543,0.05731799080967903,0.4080425500869751,0.8208582997322083,0.2260735183954239,30842.763671875,0.8488116165002187
8,29564.6875,30729.969962284482,0.41085633635520935,0.003309709019958973,0.05753007158637047,0.42003193497657776,0.826975405216217,0.20605476200580597,29563.828125,0.797909862008588
9,28794.07421875,29621.8009765625,0.41455137729644775,0.0033302889205515385,0.057708654552698135,0.43403181433677673,0.8321338891983032,0.19386203587055206,28793.232421875,0.8381924947102865
10,28039.90625,28740.355064655174,0.41617560386657715,0.0033300002105534077,0.05770615488290787,0.4412057399749756,0.8320503830909729,0.1821378767490387,28039.060546875,0.7903929948806763
11,27649.92578125,28070.367122395834,0.39942193031311035,0.0033812599722296,0.05814860388636589,0.4565984010696411,0.8448522686958313,0.1934463530778885,27649.060546875,0.8076867739359538
12,26920.89453125,27462.349542025862,0.4143056273460388,0.003352868603542447,0.0579039603471756,0.46017566323280334,0.8377193808555603,0.17617198824882507,26920.048828125,0.77171666252202
13,26318.552734375,26852.507486979168,0.42311862111091614,0.003272644244134426,0.057207029312849045,0.4648405611515045,0.8176660537719727,0.19257621467113495,26317.703125,0.8013776818911235
