run_id,arm,seed,state,n_epochs,rows_short_by,pearson_last,sd_ratio_last,url,roll_max_le_500,epoch_at_le_500,roll_max_le_1000,epoch_at_le_1000,roll_max_le_1399,epoch_at_le_1399,roll_max_le_1400,epoch_at_le_1400,roll_max_full
9b32dc1t,H_pergene,3,finished,1399,0,0.13419616222381592,0.5045031309127808,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/9b32dc1t,0.14359351992607117,493,0.14359351992607117,493,0.149808606505394,1203,0.149808606505394,1203,0.149808606505394
ethkld5d,H_pergene_basis64,1,finished,1399,0,0.16992121934890747,0.5350230932235718,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/ethkld5d,0.17663537859916686,290,0.17663537859916686,290,0.1820760428905487,1084,0.1820760428905487,1084,0.1820760428905487
i494qkse,H_pergene_basis64,2,finished,1399,0,0.2072153389453888,0.5206395983695984,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/i494qkse,0.1865501046180725,495,0.20343466103076935,873,0.20343466103076935,873,0.20343466103076935,873,0.20343466103076935
pnh0q60m,H_pergene_basis64,3,finished,1399,0,0.055295031517744064,0.02406150847673416,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/pnh0q60m,0.05892565846443176,128,0.05892565846443176,128,0.05892565846443176,128,0.05892565846443176,128,0.05892565846443176
9pujw6j2,H_ref,1,finished,1399,0,0.15398286283016205,0.4364601671695709,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/9pujw6j2,0.1227946475148201,471,0.1627769500017166,990,0.16717052459716797,1353,0.16717052459716797,1353,0.16717052459716797
hbasiul1,H_ref,2,finished,1399,0,0.18348951637744904,0.4770493507385254,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/hbasiul1,0.12694977968931198,224,0.15633875727653504,992,0.183704149723053,1387,0.183704149723053,1387,0.183704149723053
2x0f30vk,H_ref,3,finished,1399,0,0.17063237726688385,0.4359765946865082,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/2x0f30vk,0.13408555388450621,478,0.17657787203788758,993,0.17657787203788758,993,0.17657787203788758,993,0.17657787203788758
1acw1jm4,H_state,1,finished,1399,0,0.16061918437480927,0.579268217086792,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/1acw1jm4,0.16121141612529755,240,0.16819283962249756,901,0.17280945479869841,1125,0.17280945479869841,1125,0.17280945479869841
3ba6vxof,H_state,2,finished,1399,0,0.15359370410442352,0.5341136455535889,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/3ba6vxof,0.15252330899238586,276,0.15447812974452974,968,0.1648796856403351,1266,0.1648796856403351,1266,0.1648796856403351
n3pibzjx,H_state,3,finished,1399,0,0.16720333695411682,0.4999908208847046,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/n3pibzjx,0.16870169937610627,266,0.17273924350738526,763,0.17377066016197204,1240,0.17377066016197204,1240,0.17377066016197204
