run_id,arm,seed,state,n_epochs,rows_short_by,pearson_last,sd_ratio_last,url,roll_max_le_500,epoch_at_le_500,roll_max_le_1000,epoch_at_le_1000,roll_max_le_1399,epoch_at_le_1399,roll_max_le_1400,epoch_at_le_1400,roll_max_full
7ujqc79f,H_basis64,1,finished,1399,0,0.18031220138072968,0.45199698209762573,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/7ujqc79f,0.13632968664169312,499,0.20256701111793518,907,0.20256701111793518,907,0.20256701111793518,907,0.20256701111793518
31rlnnhv,H_basis64,2,finished,1399,0,0.1816617101430893,0.480063259601593,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/31rlnnhv,0.14674308598041536,467,0.16976842284202576,945,0.1808796316385269,1373,0.1808796316385269,1373,0.1808796316385269
mouh4wt5,H_basis64,3,finished,1399,0,0.16341063380241394,0.44227075576782227,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/mouh4wt5,0.12074953615665436,390,0.1734861582517624,949,0.1734861582517624,949,0.1734861582517624,949,0.1734861582517624
nntagt30,H_concat,1,finished,1399,0,0.17112384736537933,0.43899595737457275,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/nntagt30,0.14087710082530974,489,0.16974061727523804,860,0.1815130203962326,1348,0.1815130203962326,1348,0.1815130203962326
h9yinpqo,H_concat,2,finished,1399,0,0.1900659054517746,0.4691622257232666,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/h9yinpqo,0.11864548027515412,490,0.1771572083234787,995,0.19439710378646852,1264,0.19439710378646852,1264,0.19439710378646852
kt9l3x9f,H_concat,3,finished,1399,0,0.17933304607868195,0.46489307284355164,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/kt9l3x9f,0.1513620138168335,495,0.17732743918895721,1000,0.18820987939834594,1260,0.18820987939834594,1260,0.18820987939834594
kc8ylwp5,H_gears,1,finished,1399,0,-8.612247581751831e-10,0.0,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/kc8ylwp5,0.05757069513201714,141,0.05757069513201714,141,0.05757069513201714,141,0.05757069513201714,141,0.05757069513201714
9fqfw5ht,H_gears,2,finished,1399,0,0.1291978657245636,0.5179422497749329,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/9fqfw5ht,0.14587979316711425,450,0.14591939151287078,571,0.14591939151287078,571,0.14591939151287078,571,0.14591939151287078
spc3squv,H_gears,3,finished,1399,0,0.17927052080631256,0.22907879948616028,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/spc3squv,0.1584579199552536,453,0.16251760125160217,543,0.1720225542783737,1330,0.1720225542783737,1330,0.1720225542783737
237uplu9,H_linear,1,finished,1399,0,0.18578381836414337,0.47304707765579224,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/237uplu9,0.12362847179174423,164,0.1828998327255249,942,0.18324145972728728,1128,0.18324145972728728,1128,0.18324145972728728
5plm3rkm,H_linear,2,finished,1399,0,0.18234260380268097,0.43675047159194946,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/5plm3rkm,0.11447886973619462,433,0.1775372177362442,999,0.18281515538692475,1291,0.18281515538692475,1291,0.18281515538692475
2xh14jrk,H_linear,3,finished,1399,0,0.15975457429885864,0.43872079253196716,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/2xh14jrk,0.12238157391548157,155,0.15999476313591005,854,0.16794672310352327,1304,0.16794672310352327,1304,0.16794672310352327
ahgltcx6,H_pergene,1,finished,1399,0,0.1549510806798935,0.4956618547439575,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/ahgltcx6,0.1780596226453781,267,0.18299701511859895,591,0.18299701511859895,591,0.18299701511859895,591,0.18299701511859895
8i0bh0sa,H_pergene,2,finished,1399,0,0.1642511487007141,0.5279467105865479,https://wandb.ai/zhao-group/torchcell_019_expr_v12/runs/8i0bh0sa,0.15228635370731353,305,0.153691166639328,870,0.16939562559127808,1393,0.16939562559127808,1393,0.16939562559127808
