epoch,val/loss,train/loss,val/gene_interaction/Pearson,val/gene_interaction/MSE,val/gene_interaction/RMSE,train/gene_interaction/Pearson,val/point_loss,val/dist_loss,val/graph_reg_loss,train/point_loss
0,163694.46875,163781.453125,0.022806955501437187,0.0037839501164853573,0.06151381880044937,-0.010385177098214626,0.945417582988739,0.4510243535041809,163693.46875,0.8896262645721436
1,144923.234375,156110.3359375,0.010080470703542233,0.0038404667284339666,0.061971500515937805,0.0032872187439352274,0.9595534205436707,0.439232736825943,144922.21875,0.9940056204795837
2,110277.9375,128922.55859375,0.0036320786457508802,0.003743452951312065,0.06118376553058624,0.0023030065931379795,0.9353207945823669,0.4631730318069458,110276.9609375,0.8854576945304871
3,66572.8203125,87801.51171875,-0.021291254088282585,0.003760488936677575,0.06132282689213753,0.004400070756673813,0.9395738244056702,0.46538740396499634,66571.84375,0.8183603286743164
4,41344.53515625,54244.541015625,0.0018768816953524947,0.003811552422121167,0.061737772077322006,-0.01174193900078535,0.9522457718849182,0.4715329110622406,41343.53515625,0.9143496155738831
5,28903.615234375,35869.185546875,0.06400787830352783,0.003747316775843501,0.06121532991528511,-0.015354650095105171,0.9362913370132446,0.46389564871788025,28902.634765625,0.867228627204895
6,22417.02734375,26688.826171875,0.10840687155723572,0.003776908852159977,0.06145656108856201,0.0017683415208011866,0.9437161684036255,0.46757403016090393,22416.037109375,0.7995947003364563
7,18899.916015625,21547.1865234375,0.1413055807352066,0.0037471805699169636,0.06121421977877617,-0.004727240186184645,0.9362466931343079,0.46416187286376953,18898.93359375,0.8812591433525085
8,16812.216796875,18600.4775390625,0.15843796730041504,0.0037550795823335648,0.061278704553842545,-0.018062252551317215,0.938246488571167,0.46512773633003235,16811.232421875,0.8421144783496857
9,15683.3818359375,16523.08984375,0.1004074215888977,0.0037554826121777296,0.061281993985176086,-0.018102899193763733,0.9383220672607422,0.46560049057006836,15682.3984375,0.697226365407308
10,14990.8681640625,15459.5126953125,0.12432683259248734,0.0037597641348838806,0.06131691485643387,-0.006564097944647074,0.9393925666809082,0.46617645025253296,14989.880859375,0.8938164710998535
11,14400.0146484375,14856.46923828125,0.11173831671476364,0.0037545484956353903,0.06127437204122543,0.017091065645217896,0.9381042718887329,0.46552368998527527,14399.029296875,1.1457305550575256
12,13854.8271484375,14306.19482421875,0.08411221206188202,0.0037524839863181114,0.06125752255320549,-0.01534914318472147,0.9375846982002258,0.46525347232818604,13853.8408203125,0.8374495208263397
13,13362.4697265625,13797.68408203125,0.1398538053035736,0.003741744440048933,0.06116979941725731,0.006348554976284504,0.9348996877670288,0.46392980217933655,13361.4892578125,0.9968644082546234
14,12907.7275390625,13330.70703125,0.13706381618976593,0.0037634039763361216,0.061346590518951416,-0.004483986645936966,0.9403007626533508,0.4665983319282532,12906.740234375,1.0677925050258636
15,12509.66796875,12908.119140625,0.14378292858600616,0.003741579595953226,0.061168450862169266,0.0063307024538517,0.9348676800727844,0.463856041431427,12508.685546875,0.9638372361660004
16,12157.7685546875,12539.15380859375,0.15652000904083252,0.003741838503628969,0.06117057055234909,0.007240393664687872,0.9349234104156494,0.4638710021972656,12156.7880859375,0.9003148078918457
17,11850.2998046875,12209.09912109375,0.15025542676448822,0.0037407847121357918,0.06116195395588875,-0.003288924926891923,0.9346369504928589,0.4636524021625519,11849.3193359375,0.8790305256843567
18,11567.6474609375,11916.31201171875,0.1677495390176773,0.0037455426063388586,0.061200838536024094,0.009868566878139973,0.9358440637588501,0.4641936719417572,11566.6640625,0.8437138795852661
19,11310.7177734375,11584.0439453125,0.17473775148391724,0.0037518825847655535,0.06125261262059212,-0.011796380393207073,0.9374440908432007,0.46491730213165283,11309.7353515625,0.9604453841845194
