epoch,val/loss,train/loss,val/gene_interaction/Pearson,val/gene_interaction/MSE,val/gene_interaction/RMSE,train/gene_interaction/Pearson,val/point_loss,val/dist_loss,val/graph_reg_loss,train/point_loss
0,163683.734375,163810.91163793104,0.00817068014293909,0.003964303061366081,0.06296271085739136,0.002476845169439912,0.9905155301094055,0.468024343252182,163682.671875,1.0535084707983609
1,13151.7060546875,43323.5978515625,0.3491959869861603,0.003478767815977335,0.05898107960820198,0.15559087693691254,0.8691667318344116,0.2667998969554901,13150.8115234375,1.040456521511078
2,9660.763671875,11204.004781788793,0.3845204710960388,0.003376992419362068,0.05811189487576485,0.3492901921272278,0.8437753319740295,0.25617533922195435,9659.8955078125,0.8739180441560417
3,8465.4794921875,9066.925553385418,0.39932185411453247,0.0033511521760374308,0.05788913741707802,0.3708951473236084,0.8373380899429321,0.23745344579219818,8464.6220703125,0.8979535341262818
4,7779.8466796875,8191.106950431034,0.4059317409992218,0.0033113565295934677,0.05754438787698746,0.3824523389339447,0.8273904919624329,0.24006938934326172,7778.99658203125,0.83701367008275
5,7325.208984375,7641.520166015625,0.4077179431915283,0.003313899040222168,0.05756647512316704,0.3904343843460083,0.8279845118522644,0.22863417863845825,7324.35888671875,0.8380371153354644
6,6951.60400390625,7189.533001077586,0.4133955240249634,0.003282497636973858,0.057293087244033813,0.39886581897735596,0.8201621770858765,0.24080170691013336,6950.7626953125,0.8133823542759336
7,6782.4267578125,6918.656510416667,0.42251184582710266,0.0032551877666264772,0.05705425143241882,0.41565385460853577,0.8133071660995483,0.216128870844841,6781.5927734375,0.8453405519326528
8,6645.9853515625,6755.702518857759,0.4200969636440277,0.003267464926466346,0.05716174468398094,0.424103319644928,0.8164321780204773,0.21617276966571808,6645.14453125,0.7961280160936816
9,6505.759765625,6607.112434895834,0.42648300528526306,0.003289512824267149,0.05735427513718605,0.42871859669685364,0.8219353556632996,0.1917707324028015,6504.9208984375,0.842121547460556
10,6383.23046875,6466.582889951509,0.4276972711086273,0.0032844117376953363,0.05730978772044182,0.44034600257873535,0.8206570744514465,0.18574151396751404,6382.39111328125,0.7932641937814909
11,6319.0556640625,6374.53134765625,0.41933587193489075,0.0032818210311233997,0.05728717893362045,0.44568148255348206,0.8199675679206848,0.1927761435508728,6318.21728515625,0.8089396238327027
12,6198.16796875,6275.118517645474,0.4352955222129822,0.0032482666429132223,0.05699356645345688,0.45253822207450867,0.8116112351417542,0.18499699234962463,6197.33935546875,0.7778981389670536
13,6141.48486328125,6198.662093098958,0.431410551071167,0.0032297915313392878,0.05683125555515289,0.4628124237060547,0.806959867477417,0.20995017886161804,6140.65625,0.8068076034386953
14,6077.93798828125,6132.9413052262935,0.43103036284446716,0.00324034015648067,0.05692398548126221,0.4753054976463318,0.8095980882644653,0.1911652386188507,6077.109375,0.7832613464059501
15,6023.5146484375,6063.843912760417,0.4381343126296997,0.0032546082511544228,0.05704917386174202,0.49252191185951233,0.8131909370422363,0.16457399725914001,6022.68603515625,0.7318025290966034
16,5979.02197265625,6023.781384698276,0.4329969882965088,0.003286586608737707,0.057328760623931885,0.4982455372810364,0.8211587071418762,0.16252221167087555,5978.18603515625,0.7594112548334845
17,5917.390625,5971.589306640625,0.44294971227645874,0.003276600269600749,0.05724159628152847,0.5022432208061218,0.8186922669410706,0.15033762156963348,5916.55859375,0.7454088866710663
18,5885.96826171875,5927.850552262931,0.4441884458065033,0.0032074071932584047,0.056633975356817245,0.5213844180107117,0.8013667464256287,0.18567734956741333,5885.14990234375,0.7220636750089711
19,5924.1103515625,5888.951285807291,0.4485376179218292,0.00320219318382442,0.05658792331814766,0.5333762168884277,0.8000596165657043,0.16549009084701538,5923.29541015625,0.7080932796001435
20,5823.6201171875,5863.791066136853,0.44351622462272644,0.0032234000973403454,0.05677499622106552,0.5433671474456787,0.805316150188446,0.16547048091888428,5822.7978515625,0.723590846719413
21,5809.82421875,5834.238102213541,0.44862058758735657,0.003196865553036332,0.0565408319234848,0.5488787889480591,0.7987093329429626,0.18384315073490143,5809.0048828125,0.6895389477411906
22,5783.20263671875,5797.946457435345,0.44444575905799866,0.003320705611258745,0.05762556567788124,0.5653717517852783,0.8295992016792297,0.13665223121643066,5782.35888671875,0.6777907527726272
23,5750.69873046875,5781.281689453125,0.4494456648826599,0.0032128600869327784,0.05668209493160248,0.5685922503471375,0.8027002215385437,0.15396983921527863,5749.87890625,0.6707341492176055
24,5741.3642578125,5756.204960264009,0.4520016610622406,0.0032439138740301132,0.05695536732673645,0.5820302963256836,0.8104589581489563,0.1486814022064209,5740.5361328125,0.6628207276607382
25,5719.99365234375,5733.816341145834,0.45136529207229614,0.003226744243875146,0.056804437190294266,0.5941855311393738,0.8061581254005432,0.15219716727733612,5719.171875,0.6340076883633932
26,5711.31982421875,5719.218228044181,0.4462541937828064,0.0032191877253353596,0.056737884879112244,0.6021630764007568,0.8042729496955872,0.15911291539669037,5710.5,0.6232720428499682
27,5673.17431640625,5704.179296875,0.4477044641971588,0.003240375081077218,0.05692429095506668,0.6066539883613586,0.8095443844795227,0.14238540828227997,5672.3486328125,0.6390176375706991
28,5666.0478515625,5685.796184671336,0.4463527798652649,0.003259087447077036,0.05708841606974602,0.6169687509536743,0.8142008185386658,0.14731907844543457,5665.21923828125,0.6057842517721241
29,5662.24609375,5671.942073567709,0.4484873116016388,0.003318719333037734,0.05760832875967026,0.6229063272476196,0.8290808200836182,0.12277395278215408,5661.40576171875,0.6075974822044372
30,5646.0830078125,5660.175932785561,0.45030447840690613,0.003292190143838525,0.057377610355615616,0.629692554473877,0.8224714994430542,0.12297756224870682,5645.24951171875,0.5996719105490322
31,5631.29736328125,5650.364404296875,0.44662195444107056,0.0032557188533246517,0.0570589080452919,0.636764645576477,0.8133817315101624,0.14228996634483337,5630.46923828125,0.5845965027809144
32,5625.86865234375,5638.021029768319,0.4489116668701172,0.0033352600876241922,0.05775171145796776,0.6412051320075989,0.8332716822624207,0.12088753283023834,5625.02587890625,0.5813750994616541
33,5616.94140625,5629.416715494792,0.4497774839401245,0.003286108374595642,0.05732458829879761,0.6483252644538879,0.8210016489028931,0.1281990259885788,5616.10888671875,0.5780000646909078
