run_id,dist,seed,dropout,n_epochs,rows_short_by,epoch_loss_min,loss_min,loss_final,loss_final_rel_excess,epoch_pearson_peak,pearson_roll_max,pearson_final,pearson_roll_at_loss_min,loss_at_pearson_peak_rel_excess,loss_rel_excess_at_50,pearson_roll_at_50,loss_rel_excess_at_100,pearson_roll_at_100,loss_rel_excess_at_200,pearson_roll_at_200,loss_rel_excess_at_500,pearson_roll_at_500,loss_rel_excess_at_1000,pearson_roll_at_1000,loss_rel_excess_at_2000,pearson_roll_at_2000,first_epoch_within_0.01_of_loss_min,first_epoch_within_0.001_of_loss_min,collapsed
lljkhhck,crps,0,0.1,1995,0,318,0.4610258638858795,0.4901072382926941,0.0630797026476876,1967,0.16387978792190552,0.15405818819999695,0.10730992406606674,0.058164857844756196,0.077577234268214,0.004763479018583894,0.047179019359498045,0.038655579835176465,0.010382003613441994,0.11052194386720657,0.009743519829165347,0.09970208406448364,0.028867586272075026,0.14175266921520233,,,169,292,False
nx5dwhp8,crps,1,0.1,2039,0,444,0.4825550317764282,0.48315972089767456,0.0012530987792631605,86,0.020043178275227547,-2.0955233381858562e-10,-2.6354744775414218e-11,0.01002102290904195,0.025681175603049926,0.005324952607043088,0.007674844026566435,-0.0035051466431468723,0.002734028085717144,-0.006157583865569904,0.0017011016646636026,4.74052752608145e-10,0.001264277235598628,6.822787890214954e-10,0.0022573688260644547,-7.379380127792157e-11,78,183,True
hzumvs8y,crps,2,0.1,2032,0,1784,0.4821808338165283,0.4842014014720917,0.004190476920391631,193,0.020675949472934007,-0.038550037890672684,1.2457955361755424e-10,0.0016837559885147099,0.048354861247430665,-0.00015136773786609826,0.025075306082387724,-0.0023999102413654327,0.004162416380828249,9.340853821918627e-05,0.003941084239470375,0.0024302099696316554,0.0045852405023108535,5.683174209014652e-11,0.0031809773770243763,2.7876152497441354e-10,85,213,False
c981k5n1,laplace_crps,0,0.1,1995,0,284,0.46168252825737,0.49730733036994934,0.077162985238029,1990,0.1875652551651001,0.17841307818889618,0.127375827729702,0.06299011167095235,0.08304537425212996,0.0036650165915489198,0.04768403565956675,0.02163250930607319,0.009373078582796561,0.09769891053438187,0.014285451468692983,0.11294063627719879,0.025007851082158306,0.16364890933036805,,,184,284,False
ia6312dv,laplace_crps,1,0.1,2039,0,787,0.45956331491470337,0.4848335385322571,0.05498746918527202,1410,0.2172978013753891,0.20617133378982544,0.19219744801521302,0.04010373021790765,0.06956181252531551,0.009980478463694454,0.05173729114173925,0.023021325841546057,0.01536038073236299,0.10960576981306076,0.014394581302958304,0.13182447701692582,0.01951676177237068,0.19227333068847657,0.05292143789396712,0.19895464777946473,230,787,False
lz8gq5ui,laplace_crps,2,0.1,2031,0,894,0.46234145760536194,0.49314773082733154,0.06663099904889934,2027,0.17319115102291108,0.1743273288011551,0.12988010197877883,0.06821515695417023,0.09687206809764719,0.0005128046730533242,0.0473296825592762,0.022718146489933134,0.007727153037607958,0.11259184628725052,0.012551563611423651,0.10537945032119751,0.037121803732917014,0.144950732588768,0.06301095071068266,0.16527647972106935,182,894,False
iiqohck6,point,0,0.1,2039,0,1337,1.0445115566253662,1.0565229654312134,0.01149954610809087,0,0.03031060378998518,1.2527208437251858e-10,-3.248568497538073e-11,0.05395801277288582,0.04633783299197283,0.007073282642162282,0.01717119771084175,0.0015268110670149325,0.010496464390884362,-0.008128300128737465,0.00784204698517393,-2.323200909426504e-10,0.0057962807113172135,-5.268378094891446e-11,0.010996806892674479,4.8312205624956303e-11,137,1230,True
qplil73c,point,1,0.1,2039,0,1024,1.0444891452789307,1.0532547235488892,0.008392215763637878,691,0.020546766556799413,-5.294337190875353e-10,5.728247182146262e-11,0.015503075277825016,0.03000019402383754,-0.0045298314653337,0.016393074033789822,0.010507836192846298,0.007197941977742042,0.0021120183635503055,0.007031880399141274,-0.003280202765017748,0.011119848524448715,0.009828702576827216,0.013199213404536277,5.3156311297097857e-11,126,755,True
he2vb4qr,point,2,0.1,2579,0,2310,1.0413403511047363,1.0546741485595703,0.012804456718390329,111,0.015151563449762762,-1.5390548557814299e-10,-2.0777008585826096e-10,0.015565980065471559,0.05509733044729741,0.004904190974775702,0.01604586672430191,-0.004400193784385919,0.012040095262996663,1.0148388934760889e-10,0.016168585831712722,3.249864211074538e-10,0.012540244311763314,-3.933907991027219e-10,0.0108819336868071,2.6445252238049832e-11,139,2310,True
kjio477w,quantile,0,0.1,22,0,17,0.26394933462142944,0.26395392417907715,1.7388025070370693e-05,5,0.0020180401392281056,-0.0037554919254034758,-0.003652724716812372,0.00016089568652778076,,,,,,,,,,,,,0,1,False
