run_id,arm,seed,dist,batch_size,wandb_state,n_epochs,rows_short_by,roll_max,epoch_at_roll_max,pearson_last,spearman_roll_max,spearman_at_roll_max,spearman_last,collapse_epoch,floor_from,loss_last,loss_min,loss_min_epoch,nmse_at_roll_max,nmse_last,sd_ratio_at_roll_max,sd_ratio_last
zaul43n1,Q_pearson,0,pearson,,finished,4298,0,0.14519205391407014,215,-4.311317691740868e-10,0.09166565090417862,0.06846694648265839,0.0,3901.0,584.0,0.5679967999458313,0.5597158074378967,3656,1.0656404495239258,121.27018737792969,0.4036253094673157,0.0
kspeoljg,Q_pearson,1,pearson,,finished,4291,0,0.132771335542202,151,-4.311317691740868e-10,0.08540828078985215,0.061109382659196854,0.0,3780.0,2203.0,0.5666542053222656,0.560322105884552,4269,1.124333381652832,121.27018737792969,0.3208963871002197,0.0
p2qq2525,Q_pearson,2,pearson,,finished,3322,0,0.13655232787132263,242,-9.863815320088065e-11,0.08596988767385483,0.07415768057107926,0.0,3087.0,680.0,0.5653663873672485,0.5604870915412903,2232,1.3119430541992188,441.9308776855469,0.6914594173431396,0.0
7ylecrjz,Q_pearson_b64,0,pearson,,finished,9899,0,0.1942361682653427,1926,0.15478649735450745,0.1746239721775055,0.1743246555328369,0.1383262574672699,,,0.7968254089355469,0.6581089496612549,1931,1.9506399631500244,1.6035643815994263,1.099206566810608,0.8802521228790283
wb2xocf2,Q_pearson_b64,1,pearson,,finished,9899,0,0.18556273281574248,2419,0.15687380731105804,0.1713695228099823,0.17075375616550445,0.1399230808019638,,,0.7938441038131714,0.6782937049865723,1232,1.478281855583191,1.6801366806030273,0.8153873682022095,0.8813965916633606
hsauh7al,Q_pearson_mse,0,pearson_mse,,finished,4298,0,0.13649926632642745,138,0.0,0.08580931872129441,0.056649476289749146,0.0,457.0,360.0,,1.6179778575897217,378,0.9945293068885803,,0.10356306284666061,
ppc2pyv5,Q_pearson_mse,1,pearson_mse,,finished,9899,0,0.19361435770988464,3193,0.17379042506217957,0.1778879851102829,0.1778879851102829,0.15027543902397156,,,1.8917746543884277,1.6145310401916504,1248,1.04132878780365,1.0692397356033325,0.42637625336647034,0.4304102063179016
4ei42tb1,Q_pearson_mse,2,pearson_mse,,finished,3322,0,0.03491140678524971,5,0.0,0.029926891997456552,0.029431629925966263,0.0,14.0,14.0,,1.9165117740631104,9,1.0161621570587158,,0.0015246302355080843,
