arm,wave,source_hash,seed,run_id,state,epochs,smoothed,smoothed_argmax,raw_peak,last,train_pf_last,train_pf_best,train_loss_last,train_loss_best
A0_baseline,wave1,,0,qpdst11g,finished,120,0.1526544600725174,79,0.16963405907154083,0.08510328084230423,0.19047734141349792,0.1924935132265091,0.2559405565261841,0.20907646417617798
A0_baseline,wave1,,1,yottbzsy,finished,82,0.02350059226155281,62,0.03627143055200577,0.01892978325486183,0.13920201361179352,0.151528000831604,0.45525723695755005,0.17778390645980835
A0_baseline,wave1,,2,6nfiwtn4,finished,80,0.0660938985645771,37,0.06922943890094757,0.05401749163866043,0.1837422400712967,0.1837422400712967,0.22602060437202454,0.20786109566688538
A1_free16,wave1,,0,6ywbmalu,finished,139,0.1522716373205185,91,0.1718163788318634,0.12247604876756668,0.26505622267723083,0.26714158058166504,0.21839511394500732,0.19313983619213104
A2_self,wave1,,0,9c6k1nud,finished,123,0.15165144503116607,97,0.17293916642665863,0.1480504721403122,0.23366378247737885,0.25157076120376587,0.23826922476291656,0.20272307097911835
A4_prop_h2,wave1,,0,cnse9n2t,finished,140,0.17242467999458314,97,0.1872742623090744,0.15870073437690735,0.2575218081474304,0.2575218081474304,0.24360302090644836,0.20567387342453003
A4_prop_h2,wave1,,1,563dz9hr,finished,74,0.04838008731603623,31,0.0570373497903347,0.04601813852787018,0.09854304045438766,0.1986561417579651,0.19048038125038147,0.18477927148342133
A4_prop_h2,wave1,,2,ctg6vag5,finished,70,0.07994512468576431,31,0.09662119299173355,0.08385412395000458,0.1477620154619217,0.20592860877513885,0.2504526376724243,0.20725886523723602
A6_prop_sparse,wave1,,0,1ghs00zz,finished,140,0.1750558316707611,103,0.1927863210439682,0.13217216730117798,0.2455575168132782,0.25703418254852295,0.2640429437160492,0.20324982702732086
B0_protT5,wave1,,0,41mvl4l9,finished,70,0.08891436606645584,27,0.10499618947505951,0.09310170263051987,0.14812476933002472,0.15609389543533325,0.22937442362308502,0.2006649225950241
A6_prop_sparse,wave2,,1,e2cwmqiv,finished,88,0.046431838721036914,77,0.0577082522213459,0.03728402405977249,0.22698470950126648,0.22698470950126648,0.26849231123924255,0.17671231925487518
A6_prop_sparse,wave2,,2,zxydjk0k,finished,76,0.09013788998126984,34,0.10249513387680054,0.07689791917800903,0.2081862837076187,0.2319713830947876,0.2532167136669159,0.19842654466629028
C0_concat,wave2,,0,g6h8sfh6,finished,140,0.16103329062461852,106,0.1728362739086151,0.1592480093240738,0.2033996284008026,0.20999382436275482,0.24003444612026215,0.20603567361831665
D1_bilinear32,wave2,,0,e0uq7csz,finished,123,0.15209501087665558,70,0.16908474266529083,0.11584299057722092,0.1895504742860794,0.1895504742860794,0.23616696894168854,0.20154662430286407
E0_perceiver32,wave2,,0,fcswy9gv,finished,114,0.157191264629364,106,0.1692817211151123,0.14019981026649475,0.185251384973526,0.185251384973526,0.23910601437091827,0.20514068007469177
A0_baseline,wave3,,0,w5ob5tku,finished,196,0.15759531855583192,171,0.1697443425655365,0.1415177583694458,0.23399172723293304,0.23543410003185272,0.2714666426181793,0.20528514683246613
A1_ref,wave3,96a5f8e6,0,lw8zgco6,crashed,250,0.15759531855583192,171,0.1697443425655365,0.1160178929567337,0.24900852143764496,0.2600291669368744,0.22074279189109802,0.19741743803024292
A1_ref,wave3,96a5f8e6,1,a71kt2tb,crashed,249,0.03104826994240284,120,0.042888518422842026,0.022628184407949448,0.2631199061870575,0.2683727741241455,0.28647381067276,0.1743725687265396
A1_ref,wave3,96a5f8e6,2,zth1jex3,crashed,242,0.07226991057395935,37,0.08268749713897705,0.02584247663617134,0.2598404884338379,0.27332380414009094,0.26502054929733276,0.1987447589635849
A1_ref,wave3,96a5f8e6,42,nd2x18aq,crashed,242,0.043636341020464896,37,0.058062128722667694,0.03707914054393768,0.2577228546142578,0.2670755684375763,0.2655948996543884,0.19814686477184296
