strand,project,n_runs,states,metric_keys,n_train_observed,n_train_sampled_from
expression,torchcell_019-simb-multimodal_cgt_multitask,496,"{'failed': 17, 'crashed': 5, 'finished': 474}","['val/per_gene/pearson_per_gene', 'val/per_gene/pearson_per_strain', 'val/per_gene/pearson']","{1125: 4, 1126: 4, 1137: 4}",30
expression,torchcell_019_expr,26,"{'crashed': 6, 'finished': 20}","['val/per_gene/pearson_per_gene', 'val/per_gene/pearson_per_strain']",{1126: 26},26
expression_morphology_joint,torchcell_019_expr_morph,21,{'finished': 21},"['val/global/pearson_per_gene', 'val/global/pearson_per_strain', 'val/per_gene/pearson_per_gene', 'val/per_gene/pearson_per_strain']",{1161: 21},21
expression_morphology_joint,torchcell_019_expr_morph_v2,80,{'finished': 80},"['val/global/pearson_per_gene', 'val/global/pearson_per_strain', 'val/per_gene/pearson_per_gene', 'val/per_gene/pearson_per_strain']",{1161: 30},30
expression_morphology_joint,torchcell_019_expr_morph_v3,77,"{'crashed': 8, 'finished': 69}","['val/expression/pearson_per_feature', 'val/morphology/pearson_per_feature', 'val/expression/pearson_per_instance', 'val/morphology/pearson_per_instance']",{1161: 30},30
expression_morphology_joint,torchcell_019_expr_morph_v4,4,{'crashed': 4},[],{1161: 4},4
expression_morphology_joint,torchcell_019_expr_morph_v5,32,"{'crashed': 12, 'finished': 20}","['val/mean/pearson_per_feature', 'val/expression/pearson_per_feature', 'val/morphology/pearson_per_feature', 'val/expression/pearson_per_instance', 'val/morphology/pearson_per_instance']",{1161: 30},30
expression,torchcell_019_expr_v2,120,"{'finished': 119, 'crashed': 1}","['val/per_gene/pearson_per_gene', 'val/per_gene/pearson_per_strain']",{1161: 30},30
expression,torchcell_019_expr_v3,60,{'finished': 60},"['val/expression/pearson_per_feature', 'val/expression/pearson_per_instance']",{1161: 30},30
expression,torchcell_019_expr_v5,35,"{'finished': 32, 'crashed': 3}","['val/mean/pearson_per_feature', 'val/expression/pearson_per_feature', 'val/expression/pearson_per_instance']",{1161: 30},30
expression,torchcell_019_expr_v6,158,{'finished': 158},"['val/mean/pearson_per_feature', 'val/expression/pearson_per_feature', 'val/expression/pearson_per_instance', 'val/expression/spearman_per_feature']",{1244: 30},30
expression,torchcell_019_expr_v7,295,{'finished': 295},"['val/mean/pearson_per_feature', 'val/expression/pearson_per_feature', 'val/expression/pearson_per_instance', 'val/expression/spearman_per_feature']",{1244: 30},30
expression,torchcell_019_expr_v8,163,"{'finished': 119, 'failed': 3, 'crashed': 41}","['val/mean/pearson_per_feature', 'val/expression/pearson_per_feature', 'val/expression/pearson_per_instance', 'val/expression/spearman_per_feature']","{1244: 22, 1253: 7}",30
expression,torchcell_019_expr_v9,16,"{'failed': 7, 'crashed': 1, 'finished': 8}","['val/expression/pearson_per_feature@k0', 'val/expression/pearson_per_feature@k1', 'val/expression/pearson_per_feature@k2', 'val/expression/pearson_per_feature@k3', 'val/mean/pearson_per_feature', 'val/expression/pearson_per_feature', 'val/expression/pearson_per_instance', 'val/expression/spearman_per_feature']",{1244: 16},16
morphology,torchcell_019_morph_v2,71,{'finished': 71},"['val/global/pearson_per_gene', 'val/global/pearson_per_strain']",{1161: 30},30
