feature,description,mean,std,variance,min,max,range,median,iqr,cv,robust_cv,n
A113_A1B,Actin_n_ratio,0.0017773284266638404,0.006783130254686739,4.601085605204658e-05,0.0,0.266331658,0.266331658,0.0,0.0,3.816475420594667,0.0,4718
C123_C,Small_bud_ratio,0.0004962380873251378,0.0038794814270944316,1.5050376143170647e-05,0.0,0.115942029,0.115942029,0.0,0.0,7.8177824842222865,0.0,4718
A113_C,Actin_n_ratio,0.001156950998092412,0.006448515731600758,4.158335514070246e-05,0.0,0.276422764,0.276422764,0.0,0.0,5.573715517971903,0.0,4718
D105_A,Ratio_of_D102_to_C103,0.5917684564559135,0.008242271097457898,6.793503284398982e-05,0.556791794,0.653331021,0.09653922699999995,0.59141271,0.009753295750000057,0.013928202842748082,0.016491522054032384,4718
D206,nuclear_A_ratio_to_no_bud_cells,0.9834788945777871,0.03253980191217976,0.0010588387084838977,0.457044674,1.0,0.542955326,0.992424242,0.01800453150000003,0.03308642624827173,0.018141970679511104,4718
C115_A,Whole_cell_axis_ratio,1.2156122547689698,0.051184102359278054,0.0026198123343250533,1.054125877,1.996521673,0.942395796,1.2107080345,0.029202153249999974,0.042105615633996486,0.024119897132804543,4718
C115_A1B,Mother_axis_ratio,1.2068279934599406,0.05231524849351661,0.0027368852249383922,1.055493611,2.149522641,1.09402903,1.2014008635,0.031059373499999987,0.04334938266018368,0.025852631243759704,4718
C115_C,Mother_axis_ratio,1.214561129181645,0.05366772261405504,0.0028802244505791545,1.06294951,2.154310429,1.0913609190000002,1.2094197285,0.03403800275000002,0.04418692589825893,0.028144077649713998,4718
D107_A1B,Ratio_of_D104_to_C103,0.6164710808762187,0.015759416796128762,0.00024835921775410535,0.532389024,0.708062325,0.175673301,0.6160058045,0.017582510250000016,0.025563919030442073,0.02854276716478573,4718
C116_C,Axis_ratio_ratio,0.8399932481377702,0.02225827449487524,0.0004954307834892135,0.725627722,1.039596819,0.313969097,0.839727984,0.025922323500000122,0.02649815881761062,0.030869905485965226,4718
C114_C,Bud_axis_ratio,1.0175629265245867,0.04814182170304281,0.002317634996887564,0.837720516,1.796533659,0.9588131430000001,1.013064288,0.03170831500000015,0.04731090377620945,0.0312994104871656,4718
D182_A,Nuclear_axis_ratio,2.3898317017420516,0.07906260588504055,0.006250895649333249,2.214281662,3.752855618,1.538573956,2.3772204495,0.07784048649999997,0.03308291785877993,0.032744328157017215,4718
C117_C,Cell_outline_ratio,0.7609380581646885,0.0247012215263773,0.0006101503448951652,0.643394416,0.86671733,0.22332291399999993,0.7602897755,0.028261129250000017,0.03246154041230943,0.03717152349104558,4718
C114_A1B,Bud_axis_ratio,0.9364048332787197,0.04363407491028977,0.0019039324932767791,0.698507349,1.527393679,0.82888633,0.933523702,0.03691626725000008,0.04659744734284401,0.039545077613894454,4718
C116_A1B,Axis_ratio_ratio,0.7773602890813904,0.02641606182691785,0.0006978083224435465,0.574583367,0.957080189,0.382496822,0.7771083809999999,0.031075934249999992,0.03398174848644997,0.03998918942298731,4718
C109_A1B,Neck_width,12.607947603851207,0.5546059404993455,0.3075877492371636,10.5300715,19.05237671,8.52230521,12.53722168,0.5026354024999993,0.043988598138680106,0.04009145050867437,4718
C103_A1B,Long_axis_length_in_mother,36.64020612157058,2.2601312302829575,5.108193178100355,29.97813185,64.936932,34.95880015,36.252293745,1.5909312775000046,0.06168445730856269,0.043884982525262406,4718
C103_C,Long_axis_length_in_mother,36.583221748688004,2.312844291073812,5.349248714752723,29.64039347,66.03103345,36.390639979999996,36.22788278,1.5917527499999977,0.06322144908291895,0.04393722811973826,4718
D185_C,Total_length_of_two_straight_segments_D11-1C4-1_and_D11-2C4-1,57.69224087597923,3.5355787425315452,12.500317044640942,48.45737221,96.06259869,47.60522648,57.097160445,2.549923092500002,0.06128343584593922,0.044659367867448806,4718
D186_C,Total_length_of_two_straight_segments_D12-1C4-1_and_D12-2C4-1,57.53607428837008,3.5010883402822683,12.257619566460448,48.32938292,96.24685437,47.917471449999994,56.95400084,2.5475132550000055,0.060850316668023915,0.04472931168008189,4718
C128_C,Distance_between_middle_point_of_neck_and_mother_hip,33.583436225752436,2.1274892835520545,4.526210651628834,28.10784742,58.35993106,30.252083640000002,33.21675899,1.4946525124999965,0.06334936274092923,0.044996940037104936,4718
