epoch,val/expression/pearson_per_feature,val/expression/mse,val/expression/nmse,val/loss,val/expression/pred_sd_ratio,traineval/expression/pearson_per_feature
0,-0.021731428802013397,0.040478289127349854,1.0071417093276978,0.264298677444458,0.0010094570461660624,-0.0017748157260939479
1,-0.006636516191065311,0.040530890226364136,1.0082495212554932,0.2642253637313843,0.0008308919495902956,
4,-0.0023931681644171476,0.040601059794425964,1.0099663734436035,0.26397934556007385,0.0006506493664346635,
7,-0.016637373715639114,0.04050039127469063,1.0075700283050537,0.26396965980529785,0.0005861251265741885,
8,0.005329534411430359,0.04058181867003441,1.0094804763793945,0.2639290988445282,0.0005126487230882049,
9,-0.003253384493291378,0.04062691330909729,1.0106093883514404,0.26411446928977966,0.0005134491948410869,
14,0.01084061898291111,0.04062001407146454,1.0104280710220337,0.2643151879310608,0.0004172641783952713,
18,-0.008565112948417664,0.04076371341943741,1.0142006874084473,0.26170045137405396,0.0003716918872669339,
20,-0.004014244768768549,0.04071185737848282,1.0128206014633179,0.26194819808006287,0.0003185532405041158,
25,,,,,,0.010373437777161598
27,-0.0014330707490444183,0.041317470371723175,1.0295547246932983,0.26215285062789917,0.0003799605474341661,
31,-6.730057793902233e-05,0.040815651416778564,1.015592336654663,0.2615792453289032,0.0002456645597703755,
32,-0.010502058081328869,0.04089263081550598,1.0176900625228882,0.26128247380256653,0.0002286694070789963,
33,0.0008371642325073481,0.040867820382118225,1.0170116424560547,0.2621912658214569,0.00023204523313324898,
39,-0.002516251290217042,0.04082300513982773,1.015792727470398,0.26232650876045227,0.00023577998217660934,
42,0.0030047025065869093,0.040607113391160965,1.0101029872894287,0.26169461011886597,0.00019113978487439454,
43,0.008467559702694416,0.04061345010995865,1.0102578401565552,0.2610526382923126,0.00016807728388812393,
45,0.005178870167583227,0.04066862538456917,1.011674404144287,0.26192450523376465,0.0002006713766604662,
50,,,,,,0.016808373853564262
55,0.008851312100887299,0.040728334337472916,1.0132523775100708,0.2572448253631592,0.00022848282242193818,
57,0.007784389890730381,0.04067059978842735,1.011732816696167,0.25664639472961426,0.0002867808216251433,
58,0.0017339946934953332,0.04066300019621849,1.0115498304367065,0.25531068444252014,0.0007841872284188867,
59,-0.02301970310509205,0.04107892885804176,1.0229253768920898,0.25558727979660034,0.0012240986106917262,
63,0.015573015436530113,0.040670622140169144,1.0119092464447021,0.2529677450656891,0.00499382708221674,
67,0.027139615267515182,0.040556762367486954,1.0088855028152466,0.2514268159866333,0.0042256200686097145,
74,0.04931825399398804,0.04061487317085266,1.0099440813064575,0.2507201135158539,0.007358636241406202,
75,0.029893385246396065,0.04071379452943802,1.0124664306640625,0.25137579441070557,0.005449607968330383,0.028486430644989014
77,0.038605302572250366,0.04043159261345863,1.0063090324401855,0.25107914209365845,0.011555417440831661,
81,0.04774079844355583,0.04050462692975998,1.0067847967147827,0.2501222789287567,0.014551574364304543,
83,0.05470523238182068,0.040562309324741364,1.0081344842910767,0.25021693110466003,0.011493287049233913,
85,0.05943828448653221,0.04044059291481972,1.0057055950164795,0.2522589862346649,0.011957847513258457,
87,0.06758692860603333,0.04058212414383888,1.0074225664138794,0.24951492249965668,0.015263373032212257,
90,0.08112236112356186,0.0406326986849308,1.0076322555541992,0.24855829775333405,0.024449968710541725,
91,0.0771612599492073,0.040538687258958817,1.0066001415252686,0.248800590634346,0.01597476936876774,
93,0.07114708423614502,0.040863487869501114,1.0132416486740112,0.2478598803281784,0.02010628953576088,
96,0.08733323961496353,0.04078352451324463,1.0113807916641235,0.24710525572299957,0.029734408482909203,
97,0.09176726639270782,0.04058656468987465,1.007075548171997,0.24685098230838776,0.039893556386232376,
100,,,,,,0.06177879497408867
101,0.0772702768445015,0.04054788500070572,1.006780982017517,0.2465275377035141,0.02048775926232338,
105,0.09923715889453888,0.040338411927223206,1.0022761821746826,0.24498207867145538,0.035637930035591125,
106,0.09162459522485733,0.040663763880729675,1.00771164894104,0.24443741142749786,0.0239065270870924,
108,0.09104817360639572,0.04072539508342743,1.0088039636611938,0.24435274302959442,0.032971933484077454,
111,0.08073488622903824,0.040811799466609955,1.012178897857666,0.24469168484210968,0.02002144791185856,
112,0.07989717274904251,0.040407173335552216,1.0040078163146973,0.242636576294899,0.03159363940358162,
114,0.08981779962778091,0.0408797450363636,1.0098260641098022,0.24246932566165924,0.026708265766501427,
116,0.08279360085725784,0.04028776288032532,1.0013638734817505,0.2422187328338623,0.04967660456895828,
117,0.0800255537033081,0.04043886065483093,1.004380464553833,0.24251411855220795,0.03903931751847267,
118,0.07498054206371307,0.04028348997235298,1.0020197629928589,0.2422957569360733,0.04783499985933304,
122,0.09159038215875626,0.04086395353078842,1.0113561153411865,0.24142837524414062,0.03248103708028793,
125,,,,,,0.08933717012405396
128,0.10439446568489075,0.0407288633286953,1.0080158710479736,0.24217484891414642,0.042884841561317444,
129,0.09689400345087051,0.04005599021911621,0.9978771805763245,0.24156533181667328,0.08253084123134613,
130,0.10422904789447784,0.04052915424108505,1.0073198080062866,0.24132616817951202,0.03132714703679085,
133,0.09304751455783844,0.04003133624792099,0.9990995526313782,0.2404131293296814,0.07184496521949768,
134,0.09336353838443756,0.04016224294900894,0.9990231990814209,0.2413768470287323,0.06211213394999504,
136,0.09204597771167755,0.04038909077644348,1.004209280014038,0.24140560626983643,0.049977172166109085,
139,0.0986068993806839,0.040145084261894226,0.9988579154014587,0.240238755941391,0.06198310852050781,
142,0.09633707255125046,0.040676191449165344,1.0097596645355225,0.24146543443202972,0.04130454733967781,
143,0.10023641586303711,0.04010256379842758,0.9989080429077148,0.23989883065223694,0.06293203681707382,
145,0.10009948909282684,0.04049234837293625,1.0059508085250854,0.24082885682582855,0.05278206244111061,
150,0.11450840532779694,0.04018915817141533,1.0006334781646729,0.23995926976203918,0.053714603185653687,0.12257108837366104
152,0.10115576535463333,0.03984469547867775,0.9968847632408142,0.24012155830860138,0.08880957961082458,
154,0.10099527984857559,0.04015718773007393,1.0013353824615479,0.24160078167915344,0.06281308829784393,
158,0.104911670088768,0.03997267410159111,0.9977882504463196,0.24019667506217957,0.0657399594783783,
159,0.11520306766033173,0.04019366204738617,1.000292181968689,0.24017643928527832,0.05449851602315903,
173,0.10673591494560242,0.0398990735411644,0.9957854747772217,0.23936855792999268,0.07649862766265869,
174,0.1164361834526062,0.03980497643351555,0.9950758814811707,0.2394534945487976,0.08467237651348114,
175,,,,,,0.15249881148338318
183,0.11718682199716568,0.03976329043507576,0.9948940277099609,0.23968811333179474,0.09751774370670319,
186,0.09909621626138687,0.0408620610833168,1.0128613710403442,0.23995737731456757,0.04987383633852005,
189,0.10492898523807526,0.04016812890768051,1.0017919540405273,0.23970846831798553,0.07191815972328186,
192,0.11822179704904556,0.03989855572581291,0.9957733154296875,0.24040021002292633,0.07790182530879974,
193,0.1028556227684021,0.040111105889081955,1.0000778436660767,0.2393522709608078,0.07707948982715607,
195,0.09689322859048843,0.040408529341220856,1.0040584802627563,0.23923178017139435,0.0974644348025322,
197,0.0976809561252594,0.04023878276348114,1.0016638040542603,0.24096404016017914,0.10825163125991821,
198,0.09312979876995087,0.03992905840277672,0.9974795579910278,0.23995110392570496,0.08744143694639206,
200,,,,,,0.1728394329547882
201,0.11232011765241623,0.0399555005133152,0.9974058866500854,0.23858597874641418,0.09549997001886368,
202,0.12468495965003967,0.04041055962443352,1.0033365488052368,0.240358367562294,0.06488439440727234,
204,0.10226477682590485,0.039911866188049316,0.9981840252876282,0.23987166583538055,0.1330813318490982,
205,0.1388515681028366,0.0395328626036644,0.9887574315071106,0.23900540173053741,0.10017763078212738,
209,0.11785411834716797,0.03975503891706467,0.9943616986274719,0.23861342668533325,0.0907900482416153,
213,0.09899383038282394,0.03994286060333252,0.9999334812164307,0.23928236961364746,0.11995851993560791,
217,0.10242576897144318,0.03988088294863701,0.9985377192497253,0.23978488147258759,0.08403107523918152,
221,0.10081522166728973,0.04034009203314781,1.006678819656372,0.23922592401504517,0.08231376856565475,
222,0.11193903535604477,0.039825450628995895,0.9957939386367798,0.23897892236709595,0.10252748429775238,
223,0.09986530989408493,0.03975009545683861,0.9983867406845093,0.2387508749961853,0.15757596492767334,
225,0.12447217106819153,0.03981299698352814,0.9916442036628723,0.23926694691181183,0.1328064501285553,0.20987319946289062
230,0.11532009392976761,0.039681706577539444,0.9962866306304932,0.2387133687734604,0.1635410487651825,
233,0.11401276290416718,0.03984607756137848,0.9957923293113708,0.2393074780702591,0.13261252641677856,
235,0.10808289051055908,0.040239591151475906,1.0018281936645508,0.23902450501918793,0.15525877475738525,
238,0.11621134728193283,0.040153659880161285,1.0022648572921753,0.2402864545583725,0.12397640198469162,
241,0.12342576682567596,0.039957769215106964,0.9956934452056885,0.2393888682126999,0.15118920803070068,
242,0.11004482954740524,0.03967084363102913,0.9950575232505798,0.23872512578964233,0.12813961505889893,
243,0.11833395063877106,0.03971993550658226,0.993242621421814,0.23947615921497345,0.13653120398521423,
246,0.06726480275392532,0.04108061268925667,1.0202670097351074,0.23980402946472168,0.08389747142791748,
247,0.11504663527011871,0.03952689841389656,0.9977254867553711,0.23846185207366943,0.14066274464130402,
249,0.09816379845142365,0.04020533710718155,0.9998742938041687,0.23958609998226166,0.11433721333742142,
250,,,,,,0.21826490759849548
251,0.08813601732254028,0.04019388183951378,1.005074143409729,0.238943412899971,0.11678863316774368,
253,0.10937227308750153,0.03968821465969086,0.9982069134712219,0.2389042228460312,0.151103675365448,
255,0.08941526710987091,0.0396576002240181,0.9989787936210632,0.23860225081443787,0.13954249024391174,
256,0.11721455305814743,0.03976760059595108,0.99967360496521,0.23896336555480957,0.19370412826538086,
258,0.09327156841754913,0.040161605924367905,1.0098626613616943,0.2392580658197403,0.18789711594581604,
261,0.09727631509304047,0.040104374289512634,1.0057594776153564,0.2396487593650818,0.18434713780879974,
265,0.10879134386777878,0.039913177490234375,0.9969667196273804,0.23865282535552979,0.11628636717796326,
269,0.10170788317918777,0.03989427536725998,1.0014188289642334,0.23955242335796356,0.1259833127260208,
270,0.12246925383806229,0.03948715329170227,0.994299590587616,0.23907364904880524,0.15621639788150787,
274,0.0852510929107666,0.0404481440782547,1.0117125511169434,0.2399827092885971,0.1276666522026062,
275,0.11597225815057755,0.03995737060904503,0.9962150454521179,0.23962008953094482,0.1562933325767517,0.2608264982700348
276,0.10965234041213989,0.03978554531931877,0.9954739212989807,0.2397606074810028,0.11853094398975372,
279,0.09501799941062927,0.0407438687980175,1.0121116638183594,0.23942241072654724,0.15643765032291412,
281,0.09867838770151138,0.03986728936433792,1.002642273902893,0.23857475817203522,0.17654883861541748,
