run_id,last_epoch,val_loss_n_up,val_loss_n_steps,val_loss_max_rel_rise,val_loss_min_epoch,val_loss_first,val_loss_min,val_loss_final,val_loss_n_up_2ndhalf,val_loss_max_rel_rise_2ndhalf,train_loss_n_up,train_loss_n_steps,train_loss_max_rel_rise,train_loss_min_epoch,train_loss_first,train_loss_min,train_loss_final,train_loss_n_up_2ndhalf,train_loss_max_rel_rise_2ndhalf,pearson_rollmax,pearson_rollmax_epoch,pearson_roll_final,pearson_roll_drop_peak_to_final,pearson_raw_max,pearson_raw_max_epoch,pearson_final,gap_lossmin_minus_peak
z9l5lesa,29,0,29,0.0,29.0,163753.609375,5738.27197265625,5738.27197265625,0,0.0,0,29,0.0,29.0,163850.69827586206,5753.082307942708,5753.082307942708,0,0.0,0.46216025948524475,27.0,0.46127302447954815,0.0008872350056965961,0.4639060795307159,26.0,0.4611839950084686,2.0
c7671wgj,49,6,48,0.010804426412938205,48.0,163780.734375,5566.77587890625,5566.77587890625,6,0.010804426412938205,1,49,0.019571048789748326,49.0,163930.85398706896,5575.847900390625,5575.847900390625,1,0.019571048789748326,0.4601886570453644,26.0,0.4553714791933696,0.004817177851994758,0.4619072675704956,24.0,0.4571880102157593,22.0
hl37p5kq,29,0,29,0.0,29.0,163724.21875,5734.80908203125,5734.80908203125,0,0.0,0,29,0.0,29.0,163849.2537715517,5750.949235026042,5750.949235026042,0,0.0,0.4532811701297759,23.0,0.45036137104034424,0.002919799089431685,0.4564273357391357,23.0,0.4497249126434326,6.0
timffh8i,29,0,29,0.0,29.0,163706.609375,5746.75537109375,5746.75537109375,0,0.0,0,29,0.0,29.0,163820.2483836207,5761.968505859375,5761.968505859375,0,0.0,0.4517183661460876,27.0,0.44979743162790936,0.0019209345181782633,0.455528199672699,25.0,0.450092613697052,2.0
lzs9pcj3,64,8,63,0.01603819118914715,63.0,163683.734375,5503.85400390625,5503.85400390625,7,0.01603819118914715,4,64,0.022193786704942223,64.0,163810.91163793104,5497.588816675647,5497.588816675647,4,0.022193786704942223,0.4493542551994324,25.0,0.44331949949264526,0.006034755706787132,0.4520016610622406,24.0,0.4428073763847351,38.0
yv4r30bi,64,9,63,0.01797650861175999,61.0,163640.34375,5507.6923828125,5511.1337890625,9,0.01797650861175999,5,64,0.023557509702518943,64.0,163715.4962284483,5508.68681196733,5508.68681196733,5,0.023557509702518943,0.44264275431632993,23.0,0.43158502380053204,0.011057730515797892,0.4472014009952545,25.0,0.4312470555305481,38.0
dhb7dg0h,56,4,55,0.014244321779676737,54.0,654796.8125,22678.96875,22792.373046875,4,0.014244321779676737,1,56,0.01870750953229757,56.0,655320.4978448276,22729.944986979168,22729.944986979168,1,0.01870750953229757,0.44416760802268984,34.0,0.43999871611595154,0.0041688919067383035,0.4454743862152099,32.0,0.442940354347229,20.0
do1dhr48,42,3,41,0.011223251567027656,41.0,654786.25,23427.78515625,23427.78515625,3,0.011223251567027656,1,42,0.015335577138981512,42.0,655211.9353448276,23451.17606026786,23451.17606026786,1,0.015335577138981512,0.4335320472717285,27.0,0.42772960662841797,0.005802440643310536,0.4377027153968811,38.0,0.4328396022319793,14.0
luulofo4,19,0,19,0.0,19.0,163753.328125,7356.384765625,7356.384765625,0,0.0,0,19,0.0,19.0,163870.298828125,7456.906412760417,7456.906412760417,0,0.0,0.334755951166153,13.0,0.3034107784430186,0.03134517272313436,0.3503107726573944,11.0,0.2974601984024048,6.0
0me5dmqu,29,0,29,0.0,29.0,163733.40625,7144.94677734375,7144.94677734375,0,0.0,0,29,0.0,29.0,163857.443359375,7195.714138454861,7195.714138454861,0,0.0,0.3353500247001648,12.0,0.28034286697705585,0.055007157723108935,0.3421504497528076,14.0,0.2817307114601135,17.0
t34kenj1,29,0,29,0.0,29.0,163763.484375,7114.94970703125,7114.94970703125,0,0.0,0,29,0.0,29.0,163863.16796875,7164.933376736111,7164.933376736111,0,0.0,0.3216893315315246,14.0,0.24282892545064286,0.07886040608088177,0.3330500721931457,13.0,0.2413650602102279,15.0
46o1f245,19,0,19,0.0,19.0,163712.3125,11233.3779296875,11233.3779296875,0,0.0,0,19,0.0,19.0,163822.109375,11478.727864583334,11478.727864583334,0,0.0,0.3107292552789052,19.0,0.3107292552789052,0.0,0.3278751075267792,19.0,0.3278751075267792,0.0
g5gev0w2,19,0,19,0.0,19.0,163726.171875,7320.76513671875,7320.76513671875,0,0.0,0,19,0.0,19.0,163848.921875,7409.135579427083,7409.135579427083,0,0.0,0.31690789461135865,9.0,0.2399831016858419,0.07692479292551677,0.3235497176647186,11.0,0.2230447977781295,10.0
c0i006av,29,0,29,0.0,29.0,163683.859375,10434.4775390625,10434.4775390625,0,0.0,0,29,0.0,29.0,163761.8125,10547.732096354166,10547.732096354166,0,0.0,0.3177896320819854,18.0,0.29853640000025433,0.019253232081731075,0.3231067061424255,18.0,0.2998322546482086,11.0
lvjota1b,29,0,29,0.0,29.0,163721.359375,10606.8447265625,10606.8447265625,0,0.0,0,29,0.0,29.0,163824.5234375,10723.463541666666,10723.463541666666,0,0.0,0.3184610307216644,29.0,0.3184610307216644,0.0,0.3197351098060608,29.0,0.3197351098060608,0.0
7p872ocy,19,0,19,0.0,19.0,163694.46875,11310.7177734375,11310.7177734375,0,0.0,0,19,0.0,19.0,163781.453125,11584.0439453125,11584.0439453125,0,0.0,0.16424757242202756,19.0,0.16424757242202756,0.0,0.1747377514839172,19.0,0.1747377514839172,0.0
vjfp4d83,29,14,29,0.0029967390353247214,18.0,1.0559321641921997,1.0380011796951294,1.038447022438049,8,0.0029967390353247214,12,29,0.09005865625483754,15.0,1.1247646294791125,0.9936776538689932,1.0284886678059897,6,0.09005865625483754,0.044921573926694644,5.0,-0.0031713348968575653,0.04809290882355221,0.1025387197732925,8.0,-0.0313975475728511,13.0
outxo94i,29,14,29,0.0022565997906259455,0.0,1.0370666980743408,1.0370666980743408,1.038547158241272,7,0.0017773363658455579,13,29,0.0669808521865763,8.0,1.0756689022327293,1.009084204147602,1.027672831217448,6,0.048153368496755736,0.0409520574845373,3.0,-0.0045340449238816674,0.045486102408418966,0.0937612727284431,2.0,-0.0072921700775623,-3.0
4js6ximz,29,14,29,0.002244619287532917,9.0,1.0384831428527832,1.0380136966705322,1.038555383682251,7,0.0011658966558299024,13,29,0.06619352540403425,15.0,1.0953457334945942,0.9942647735277812,1.0287717600663504,6,0.06619352540403425,0.01825691820122296,9.0,-0.043900593960036836,0.062157512161259795,0.0297795385122299,14.0,0.0073914132080972,0.0
vywbs92b,28,0,27,0.0,27.0,163695.328125,5746.453125,5746.453125,0,0.0,0,28,0.0,28.0,163800.1848060345,5756.85126953125,5756.85126953125,0,0.0,0.0103668007999658,9.0,0.008358359492073432,0.0020084413078923693,0.0222656317055225,25.0,0.0012261769734323,18.0
