method,organism,isolation,usd_per_cell,scope,sourced_or_derived,derivation,citation,citation_key,line,quote
MATQ-seq,bacteria,plate,50.0,library preparation only,derived,"midpoint $1,000 / 20 cells (Suppl. Table 2)","Gaisser 2024, *Nat Protoc*, Suppl. Table 2",gaisserHighthroughputSinglecellTranscriptomics2024,,"Cost per library (20 cells) = $800-$1,200"
Plate FACS + STRT-seq (Nadal-Ribelles 2019),S. cerevisiae,plate,4.15,"library preparation only, excludes sequencing",quoted,,"Jariani 2020, *eLife* 9:e55320",jarianiNewProtocolSinglecell2020,172,compared to previously reported costs of $4.15/cell
10x Chromium 3' v2 (Jariani 2020),S. cerevisiae,droplet,0.3,"library preparation only, excludes sequencing",quoted,,"Jariani 2020, *eLife* 9:e55320",jarianiNewProtocolSinglecell2020,172,"the ability to increase sample size in droplet-based methods allows the library preparation cost to be greatly reduced to $0.3/cell compared to previously reported costs of $4.15/cell (Nadal-Ribelles et al., 2019)"
ProBac-seq,bacteria,droplet,0.1649,library preparation only,derived,"$1,649 / 10,000 cells (Suppl. Table 2)","Gaisser 2024, *Nat Protoc*, Suppl. Table 2",gaisserHighthroughputSinglecellTranscriptomics2024,,"Cost per sample (up to 10,000 cells) = $1,649"
PETRI-seq,bacteria,split-pool,0.0367,cell and library preparation,derived,"$367 / 10,000 cells (Suppl. Table 2)","Gaisser 2024, *Nat Protoc*, Suppl. Table 2",gaisserHighthroughputSinglecellTranscriptomics2024,,"Cell and library preparation (~10,000 cells) = $367"
microSPLiT (1 sublibrary),bacteria,split-pool,0.01718,cell and library preparation,derived,"$773.15 / 45,000 cells (Suppl. Table 2)","Gaisser 2024, *Nat Protoc*, Suppl. Table 2",gaisserHighthroughputSinglecellTranscriptomics2024,,"One sample (up to 45,000 cells) = $773.15"
SPLiT-seq (Brettner 2024),S. cerevisiae,split-pool,0.005,"reagents only, excludes sequencing",derived,"$2,000 / 400,000 cells","Brettner 2024, *Yeast* 41:242",brettnerUltraHighthroughputMassively2024,31,"our yeast-optimized SPLiT-seq method can process approximately 400,000 cells for approximately $2000"
microSPLiT (full scale),bacteria,split-pool,0.00251,cell and library preparation,derived,"$2,510 / 1,000,000 cells. NOTE: the authors give no line-item breakdown for the $2,510 figure anywhere in the workbook.","Gaisser 2024, *Nat Protoc*, Suppl. Table 2",gaisserHighthroughputSinglecellTranscriptomics2024,,"one sample (up to 1M cells) = $2,510"
