dataset,n_perturbations,genes,n_measured,median_technical_sd,n_resp_1.25x,frac_resp_1.25x,n_resp_1.5x,frac_resp_1.5x,n_resp_2.0x,frac_resp_2.0x,n_resp_4.0x,frac_resp_4.0x,median_abs_log2fc_responders,p90_abs_log2fc_responders,max_abs_log2fc
kemmeren2014_single,1,YJL095W,6169,,349,0.056573188523261465,60,0.009726049602852975,15,0.0024315124007132437,6,0.0009726049602852974,0.4220084352193073,0.7521081036157712,5.618942196615031
kemmeren2014_single,1,YPL042C,6169,,1601,0.2595234235694602,629,0.10196142000324201,257,0.041659912465553575,89,0.014426973577565245,0.5018852175730207,1.3389820643955952,6.8627124461413835
kemmeren2014_single,1,YBR274W,6169,,610,0.09888150429567191,118,0.019127897552277517,19,0.0030799157075701088,5,0.0008105041335710813,0.4162024931453774,0.7255469763898666,5.10612655130623
kemmeren2014_single,1,YIL035C,6169,,166,0.026908737234559898,35,0.005673528934997569,13,0.002107310747284811,6,0.0009726049602852974,0.4141643891524136,0.7739065388108191,5.076591668037325
kemmeren2014_single,1,YOR061W,6169,,563,0.09126276544010374,183,0.02966445128870157,63,0.010212352082995623,11,0.0017831090938563786,0.4683307837562043,1.033590740766273,5.528788195252459
kemmeren2014_single,1,YNL298W,6169,,153,0.024801426487275086,43,0.006970335548711298,10,0.0016210082671421625,4,0.000648403306856865,0.4572207325570974,0.8937078548869994,5.775425913919589
kemmeren2014_single,1,YFR014C,6169,,176,0.028529745501702057,40,0.00648403306856865,15,0.0024315124007132437,3,0.0004863024801426487,0.4160066856086492,0.8309960393381739,5.13689297841344
kemmeren2014_single,1,YOL016C,6169,,166,0.026908737234559898,43,0.006970335548711298,15,0.0024315124007132437,4,0.000648403306856865,0.42541574438470686,0.953810159312451,5.250452864726921
kemmeren2014_single,1,YKL139W,6169,,2344,0.3799643378181229,1057,0.17134057383692658,354,0.05738369265683255,38,0.0061598314151402175,0.5465107564342204,1.1925868670970887,4.852595659546166
kemmeren2014_single,1,YDL101C,6169,,358,0.05803209596368941,117,0.0189657967255633,31,0.005025125628140704,6,0.0009726049602852974,0.4630704545523286,0.946680038735349,5.37129398170859
kemmeren2014_single,1,YKL048C,6169,,391,0.06338142324525856,110,0.017831090938563787,28,0.004538823147998055,5,0.0008105041335710813,0.4481243805590306,0.9025057676814534,5.584706116377594
kemmeren2014_single,1,YFR019W,6169,,292,0.047333441400551145,97,0.015723780191278975,32,0.00518722645485492,5,0.0008105041335710813,0.46103993405102,1.0330453444409218,4.333774900236025
kemmeren2014_single,1,YBL016W,6169,,534,0.08656184146539148,140,0.022694115739990275,41,0.006646133895282866,8,0.00129680661371373,0.4391048319056556,0.8818691593255295,4.867532105403882
kemmeren2014_single,1,YLR113W,6169,,213,0.03452747609012806,75,0.012157562003566219,22,0.003566218187712757,4,0.000648403306856865,0.49555358296095764,1.0050250595805752,6.253425321492836
kemmeren2014_single,1,YHR079C,6169,,586,0.09499108445453072,102,0.016534284324850056,22,0.003566218187712757,3,0.0004863024801426487,0.42827539106733137,0.7159666501727758,4.1830467484482625
kemmeren2014_single,1,YAR018C,6169,,330,0.05349327281569136,93,0.01507537688442211,30,0.004863024801426487,4,0.000648403306856865,0.45456471127663334,0.9503204014000601,4.385847690515366
kemmeren2014_single,1,YCR091W,6169,,177,0.028691846328416273,26,0.004214621494569622,6,0.0009726049602852974,3,0.0004863024801426487,0.39780622291657813,0.7500695672158755,4.253966346084538
