dataset,n_perturbations,genes,n_measured,median_technical_sd,n_resp_1.25x,frac_resp_1.25x,n_resp_1.5x,frac_resp_1.5x,n_resp_2.0x,frac_resp_2.0x,n_resp_4.0x,frac_resp_4.0x,median_abs_log2fc_responders,p90_abs_log2fc_responders,max_abs_log2fc
kemmeren2014_single,1,YKL168C,6169,,247,0.04003890419841141,54,0.008753444642567677,14,0.0022694115739990274,1,0.00016210082671421625,0.4264233265105656,0.8431929508397494,4.971800262730008
kemmeren2014_single,1,YHR082C,6169,,463,0.07505268276868211,106,0.01718268763170692,40,0.00648403306856865,11,0.0017831090938563786,0.4133505879283328,0.9186176090995816,4.401171654579467
kemmeren2014_single,1,YLR260W,6169,,185,0.029988652942130004,63,0.010212352082995623,39,0.006321932241854434,19,0.0030799157075701088,0.4872736468611315,2.0257437307032,7.034915563732428
kemmeren2014_single,1,YNL307C,6169,,1340,0.21721510779704978,242,0.03922840006484033,42,0.006808234721997083,8,0.00129680661371373,0.42168824489266643,0.7140562749686908,4.90684198883517
kemmeren2014_single,1,YMR036C,6169,,345,0.0559247852164046,72,0.01167125952342357,21,0.0034041173609985413,4,0.000648403306856865,0.40785704213575386,0.805763462125681,4.987518708395383
kemmeren2014_single,1,YPL140C,6169,,209,0.033879072783271194,53,0.00859134381585346,11,0.0017831090938563786,4,0.000648403306856865,0.4149370764995025,0.8316318685460188,5.289290296498507
kemmeren2014_single,1,YNL053W,6169,,251,0.04068730750526828,56,0.00907764629599611,14,0.0022694115739990274,3,0.0004863024801426487,0.41472674333475157,0.7524982013542726,4.839529619037291
kemmeren2014_single,1,YNL099C,6169,,337,0.05462797860269088,74,0.011995461176852002,17,0.002755714054141676,8,0.00129680661371373,0.42901998924677287,0.8034118130775187,6.594902335983228
kemmeren2014_single,1,YNL056W,6169,,227,0.03679688766412709,42,0.006808234721997083,10,0.0016210082671421625,4,0.000648403306856865,0.41134381544640686,0.753266930909776,4.038734228014278
kemmeren2014_single,1,YJL128C,6169,,257,0.041659912465553575,87,0.014102771924136812,29,0.004700923974712271,5,0.0008105041335710813,0.4627021957359807,1.0391629714733321,5.533943924534013
kemmeren2014_single,1,YPL031C,6169,,1030,0.16696385151564272,305,0.049440752147835956,105,0.017020586804992705,15,0.0024315124007132437,0.46351928647101637,1.0106291148088014,6.410034137443805
kemmeren2014_single,1,YNR032W,6169,,279,0.04522613065326633,179,0.029016047981844706,107,0.017344788458421138,34,0.005511428108283352,0.7709126206990545,2.1641141218538293,4.415862688305436
kemmeren2014_single,1,YDR075W,6169,,446,0.07229696871454044,76,0.012319662830280435,14,0.0022694115739990274,5,0.0008105041335710813,0.4093443219030617,0.6859549169793329,4.817873717359771
kemmeren2014_single,1,YGR123C,6169,,245,0.03971470254498298,48,0.007780839682282379,18,0.0029178148808558925,10,0.0016210082671421625,0.408313654918345,0.8240576449066837,5.009051032352932
kemmeren2014_single,1,YML016C,6169,,387,0.06273301993840169,59,0.009563948776138758,20,0.003242016534284325,7,0.0011347057869995137,0.4114548132928583,0.6704854966298754,4.866940233749041
kemmeren2014_single,1,YLL010C,6169,,375,0.06078781001783109,75,0.012157562003566219,20,0.003242016534284325,10,0.0016210082671421625,0.4192827016391367,0.7969646113495408,4.426780901648808
kemmeren2014_single,1,YDL006W,6169,,1410,0.2285621656670449,499,0.0808883125303939,194,0.03144756038255795,31,0.005025125628140704,0.49107651692950405,1.1290201620855733,5.104301691713678
kemmeren2014_single,1,YBR125C,6169,,224,0.03631058518398444,57,0.009239747122710326,20,0.003242016534284325,9,0.0014589074404279462,0.41769759104586085,0.9457000243619351,5.197140011537323
kemmeren2014_single,1,YJR059W,6169,,165,0.02674663640784568,43,0.006970335548711298,13,0.002107310747284811,4,0.000648403306856865,0.40323391570655126,0.943534435527397,6.825627442533484
kemmeren2014_single,1,YER075C,6169,,147,0.02382882152698979,37,0.005997730588426001,10,0.0016210082671421625,4,0.000648403306856865,0.4369701089592126,0.8882314285806281,4.821202110962446
kemmeren2014_single,1,YMR139W,6169,,401,0.06500243151240072,67,0.010860755389852489,19,0.0030799157075701088,5,0.0008105041335710813,0.40285938032478624,0.7327858347548915,4.793641096434987
kemmeren2014_single,1,YFL033C,6169,,247,0.04003890419841141,60,0.009726049602852975,13,0.002107310747284811,4,0.000648403306856865,0.4197919913597278,0.8226163090742428,4.271528525145785
kemmeren2014_single,1,YCR008W,6169,,208,0.03371697195655698,40,0.00648403306856865,10,0.0016210082671421625,3,0.0004863024801426487,0.42442960441859456,0.7792560333298061,4.972970874611285
kemmeren2014_single,1,YDL047W,6169,,1283,0.20797536067433944,402,0.06516453233911493,105,0.017020586804992705,11,0.0017831090938563786,0.4562198649682875,0.918404912643091,4.251924563472416
kemmeren2014_single,1,YNL032W,6169,,250,0.04052520667855406,66,0.010698654563138272,15,0.0024315124007132437,5,0.0008105041335710813,0.4361136840452765,0.8100310681730889,5.721721509547979
kemmeren2014_single,1,YMR216C,6169,,343,0.05560058356297617,81,0.013130166963851516,21,0.0034041173609985413,4,0.000648403306856865,0.4435860712970753,0.8296678135386817,4.96773828697105
kemmeren2014_single,1,YHR030C,6169,,140,0.022694115739990275,26,0.004214621494569622,9,0.0014589074404279462,3,0.0004863024801426487,0.3848214125330066,0.8041980527454529,5.249040087107494
kemmeren2014_single,1,YDR477W,6169,,258,0.04182201329226779,66,0.010698654563138272,16,0.00259361322742746,5,0.0008105041335710813,0.4530433610781037,0.9023454897830548,4.9054615190490285
kemmeren2014_single,1,YNR031C,6169,,442,0.07164856540768358,93,0.01507537688442211,23,0.0037283190144269734,5,0.0008105041335710813,0.429678808668895,0.7529613902753696,4.400545311961569
kemmeren2014_single,1,YLR362W,6169,,278,0.04506402982655212,99,0.016047981844707408,41,0.006646133895282866,9,0.0014589074404279462,0.43854037040799954,1.239182792651199,5.301436639089301
kemmeren2014_single,1,YHL007C,6169,,159,0.025774031447560384,65,0.010536553736424056,21,0.0034041173609985413,4,0.000648403306856865,0.49235265847496684,1.1330684486908456,4.443641187725936
kemmeren2014_single,1,YDL159W,6169,,284,0.046036634786837415,89,0.014426973577565245,39,0.006321932241854434,8,0.00129680661371373,0.45466040230160765,1.1283087979132613,4.996210241314991
kemmeren2014_single,1,YBL088C,6169,,118,0.019127897552277517,55,0.008915545469281893,28,0.004538823147998055,8,0.00129680661371373,0.5239184725615975,1.81904360268243,3.89981749330215
kemmeren2014_single,1,YKL166C,6169,,266,0.04311881990598152,58,0.009401847949424542,18,0.0029178148808558925,5,0.0008105041335710813,0.41593452628596883,0.8091210922553603,4.18453167578909
kemmeren2014_single,1,YBR097W,6169,,1569,0.2543361971146053,593,0.09612579024153023,223,0.03614848435727022,46,0.007456638028853947,0.4889222489248438,1.2173775280966972,4.860453969191274
kemmeren2014_single,1,YER123W,6169,,169,0.027395039714702547,68,0.011022856216566705,29,0.004700923974712271,7,0.0011347057869995137,0.5042968270443591,1.304173526119424,4.14391242098357
kemmeren2014_single,1,YKL161C,6169,,118,0.019127897552277517,24,0.0038904198411411897,9,0.0014589074404279462,4,0.000648403306856865,0.41779922477122294,0.8216551509204291,3.8003457167710746
kemmeren2014_single,1,YNR047W,6169,,135,0.021883611606419193,26,0.004214621494569622,8,0.00129680661371373,3,0.0004863024801426487,0.40426054527262945,0.7445271846324923,4.679412285376865
kemmeren2014_single,1,YKL126W,6169,,1157,0.18755065650834818,433,0.07018965796725564,137,0.022207813259847626,23,0.0037283190144269734,0.501961501634384,1.0933647459601856,5.344239000927946
kemmeren2014_single,1,YIR026C,6169,,1384,0.22434754417247527,390,0.06321932241854433,80,0.0129680661371373,9,0.0014589074404279462,0.46231038157452564,0.8305817773242244,4.178658391199354
kemmeren2014_single,1,YDR448W,6169,,1321,0.21413519208947965,454,0.07359377532825417,171,0.02771924136813098,20,0.003242016534284325,0.4871995243339041,1.1050123169830584,5.691441305758615
kemmeren2014_single,1,YLR085C,6169,,554,0.0898038579996758,124,0.020100502512562814,26,0.004214621494569622,4,0.000648403306856865,0.4279760741929379,0.7798651852010234,4.885321432007226
kemmeren2014_single,1,YOR141C,6169,,1598,0.25903712108931753,445,0.07213486788782623,99,0.016047981844707408,13,0.002107310747284811,0.4591646087985931,0.8428773194636505,4.5261831461204345
kemmeren2014_single,1,YJL115W,6169,,321,0.05203436537526342,76,0.012319662830280435,21,0.0034041173609985413,3,0.0004863024801426487,0.42711597886297403,0.8167572029359569,4.998987234406786
kemmeren2014_single,1,YKL185W,6169,,305,0.049440752147835956,56,0.00907764629599611,10,0.0016210082671421625,3,0.0004863024801426487,0.4056171594749811,0.7225130940527039,4.720961892905335
kemmeren2014_single,1,YDL074C,6169,,1231,0.1995461176852002,292,0.047333441400551145,60,0.009726049602852975,6,0.0009726049602852974,0.44818070640853036,0.7904959106948193,4.482374297310676
kemmeren2014_single,1,YLR015W,6169,,628,0.1017993191765278,168,0.02723293888798833,52,0.008429242989139244,19,0.0030799157075701088,0.440183225583108,0.9186038823391043,5.324460350518729
kemmeren2014_single,1,YLR226W,6169,,2374,0.38482736261954936,922,0.14945696223050736,223,0.03614848435727022,23,0.0037283190144269734,0.517231336863526,0.9774444236940012,5.291080416686153
kemmeren2014_single,1,YPR018W,6169,,1264,0.20489544496676934,286,0.04636083644026585,92,0.014913276057707894,14,0.0022694115739990274,0.42396135196248996,0.8506038970052211,6.704274199152537
kemmeren2014_single,1,YML102W,6169,,833,0.13502998865294213,276,0.044739828173123684,116,0.018803695898849084,16,0.00259361322742746,0.4600076498950941,1.1654165040442797,6.882159611222045
kemmeren2014_single,1,YGR134W,6169,,268,0.043443021559409954,66,0.010698654563138272,14,0.0022694115739990274,4,0.000648403306856865,0.4150111502109328,0.8155112930259565,3.9589325600599374
kemmeren2014_single,1,YNL288W,6169,,464,0.07521478359539634,77,0.012481763656994651,20,0.003242016534284325,4,0.000648403306856865,0.42406281204191265,0.6883382452018453,5.2716533162546195
kemmeren2014_single,1,YAL021C,6169,,1910,0.309612579024153,799,0.12951856054465877,253,0.04101150915869671,17,0.002755714054141676,0.5197918138102852,1.1131902035850452,4.986523120082767
kemmeren2014_single,1,YLR418C,6169,,1576,0.2554709029016048,502,0.08137461501053656,125,0.02026260333927703,18,0.0029178148808558925,0.469002579445824,0.9378863586269022,4.3412704008339436
kemmeren2014_single,1,YER164W,6169,,2043,0.3311719889771438,267,0.04328092073269574,24,0.0038904198411411897,3,0.0004863024801426487,0.41567594728467183,0.6128363470147121,4.910840969054631
kemmeren2014_single,1,YPL181W,6169,,914,0.14816015561679363,197,0.0319338628627006,49,0.007942940508996596,4,0.000648403306856865,0.4222585990260046,0.7717661706521034,4.815222423683332
kemmeren2014_single,1,YOL145C,6169,,2560,0.4149781163883936,1049,0.17004376722321285,271,0.0439293240395526,24,0.0038904198411411897,0.5283870589979139,1.0241850461596926,5.103035994102534
kemmeren2014_single,1,YAL013W,6169,,1679,0.2721672880531691,565,0.09158696709353217,156,0.025287728967417735,13,0.002107310747284811,0.4899207229514536,0.9848944963997819,4.95852679175265
kemmeren2014_single,1,YJL065C,6169,,2876,0.4662019776300859,522,0.08461663154482088,40,0.00648403306856865,7,0.0011347057869995137,0.44252254769827704,0.6685420577142859,4.6718099279976695
kemmeren2014_single,1,YDR121W,6169,,343,0.05560058356297617,83,0.013454368617279949,27,0.0043767223212838385,5,0.0008105041335710813,0.4424567582072282,0.84107822181599,4.6327893130530775
kemmeren2014_single,1,YDR359C,6169,,1375,0.22288863673204734,410,0.06646133895282866,102,0.016534284324850056,13,0.002107310747284811,0.4647426949093203,0.8863829093659935,5.084855992253175
kemmeren2014_single,1,YPR023C,6169,,417,0.06759604473982818,117,0.0189657967255633,23,0.0037283190144269734,4,0.000648403306856865,0.4449917405386897,0.8209571007300722,4.941485580914525
kemmeren2014_single,1,YEL018W,6169,,333,0.05397957529583401,47,0.007618738855568163,15,0.0024315124007132437,2,0.0003242016534284325,0.39398087722482444,0.6488692385495206,5.290667653924965
kemmeren2014_single,1,YJR082C,6169,,336,0.05446587777597666,79,0.012805965310423084,27,0.0043767223212838385,6,0.0009726049602852974,0.415819786077182,0.810602579057865,4.919731172505196
kemmeren2014_single,1,YNL136W,6169,,2849,0.4618252553088021,818,0.1325984762522289,120,0.01945209920570595,10,0.0016210082671421625,0.4811521976962958,0.7980012957271838,5.888119974174026
kemmeren2014_single,1,YOL017W,6169,,171,0.02771924136813098,43,0.006970335548711298,13,0.002107310747284811,6,0.0009726049602852974,0.395039041382474,0.9505872299360187,4.168879242207864
kemmeren2014_single,1,YGR252W,6169,,1387,0.22483384665261794,410,0.06646133895282866,127,0.020586804992705463,17,0.002755714054141676,0.46207749250473173,0.9464443288745372,4.974353333987013
kemmeren2014_single,1,YNL021W,6169,,847,0.13729940022694115,216,0.03501377857027071,64,0.01037445290970984,6,0.0009726049602852974,0.4332290606410655,0.8813722409398459,5.29788360062877
kemmeren2014_single,1,YDR295C,6169,,618,0.10017831090938564,159,0.025774031447560384,53,0.00859134381585346,6,0.0009726049602852974,0.4395599439021838,0.9609824642064706,4.47464044680164
kemmeren2014_single,1,YPR179C,6169,,551,0.08931755551953315,170,0.027557140541416763,46,0.007456638028853947,6,0.0009726049602852974,0.4415962115391553,0.9284730965551626,4.758788840216926
kemmeren2014_single,1,YPL254W,6169,,1921,0.3113956881180094,772,0.12514183822337493,285,0.04619873561355163,50,0.008105041335710812,0.5079798223670814,1.1907185652298882,5.455079756136589
kemmeren2014_single,1,YBL008W,6169,,402,0.06516453233911493,76,0.012319662830280435,15,0.0024315124007132437,2,0.0003242016534284325,0.4104248291053082,0.740327692677799,6.248539413197845
kemmeren2014_single,1,YOR038C,6169,,234,0.0379315934511266,61,0.009888150429567191,17,0.002755714054141676,4,0.000648403306856865,0.4294092412519466,0.8816706979020912,4.7560071799207115
kemmeren2014_single,1,YGL194C,6169,,404,0.06548873399254336,71,0.011509158696709354,19,0.0030799157075701088,3,0.0004863024801426487,0.4138974391704575,0.699872643075585,4.956087006514048
kemmeren2014_single,1,YIL112W,6169,,598,0.09693629437510132,70,0.011347057869995137,11,0.0017831090938563786,4,0.000648403306856865,0.39848266224135176,0.6090397770690754,5.366461809769446
kemmeren2014_single,1,YBR215W,6169,,219,0.03550008105041336,60,0.009726049602852975,17,0.002755714054141676,4,0.000648403306856865,0.4410404467351652,0.8644596926116762,4.733523550560834
kemmeren2014_single,1,YOL068C,6169,,512,0.08299562327767872,180,0.029178148808558922,94,0.015237477711136326,40,0.00648403306856865,0.4642516408645158,1.6664830868056415,4.578896280117219
kemmeren2014_single,1,YCR020W-B,6169,,1005,0.16291133084778733,317,0.05138596206840655,70,0.011347057869995137,6,0.0009726049602852974,0.4612751356463714,0.9120821493526592,3.7912119751288422
kemmeren2014_single,1,YOL012C,6169,,574,0.09304587453396013,172,0.027881342194845192,43,0.006970335548711298,4,0.000648403306856865,0.44663065549950964,0.8754999635270352,5.982149536424315
kemmeren2014_single,1,YFL013C,6169,,437,0.0708380612741125,97,0.015723780191278975,27,0.0043767223212838385,7,0.0011347057869995137,0.42185509733431503,0.8013383333358711,5.306616317312676
kemmeren2014_single,1,YNL215W,6169,,1118,0.18122872426649375,327,0.053006970335548714,99,0.016047981844707408,14,0.0022694115739990274,0.45805513640288453,0.9323403931081511,4.936384446838993
kemmeren2014_single,1,YLR052W,6169,,622,0.10082671421624251,186,0.03015075376884422,60,0.009726049602852975,11,0.0017831090938563786,0.4494087365969486,0.9887261674553671,4.607693220340762
kemmeren2014_single,1,YER092W,6169,,419,0.06792024639325661,105,0.017020586804992705,29,0.004700923974712271,6,0.0009726049602852974,0.4325308610369388,0.8682790672759667,5.000184499491819
kemmeren2014_single,1,YEL044W,6169,,1891,0.3065326633165829,725,0.11752309936780678,212,0.03436537526341384,30,0.004863024801426487,0.5127552776844635,1.040043008663336,4.618909333913057
kemmeren2014_single,1,YLR095C,6169,,226,0.03663478683741287,55,0.008915545469281893,11,0.0017831090938563786,6,0.0009726049602852974,0.44032428828440995,0.7547663059506412,4.974088630423985
kemmeren2014_single,1,YFR013W,6169,,253,0.04101150915869671,61,0.009888150429567191,19,0.0030799157075701088,8,0.00129680661371373,0.4244090056626764,0.8695638786314345,6.010859686774065
kemmeren2014_single,1,YMR044W,6169,,204,0.03306856864970011,58,0.009401847949424542,11,0.0017831090938563786,3,0.0004863024801426487,0.43775638274529716,0.833583607990784,4.8678984368078435
kemmeren2014_single,1,YBR245C,6169,,438,0.07100016210082671,155,0.02512562814070352,44,0.007132436375425514,7,0.0011347057869995137,0.49904384120957396,0.9988068563220635,5.214584500016162
kemmeren2014_single,1,YOR304W,6169,,413,0.06694764143297131,116,0.018803695898849084,32,0.00518722645485492,10,0.0016210082671421625,0.4270628701385883,0.900596253601545,4.306681660253258
kemmeren2014_single,1,YGL133W,6169,,777,0.12595234235694602,197,0.0319338628627006,52,0.008429242989139244,6,0.0009726049602852974,0.43048001145200876,0.8579786074958584,4.217902373937697
kemmeren2014_single,1,YJR119C,6169,,304,0.04927865132112174,58,0.009401847949424542,10,0.0016210082671421625,7,0.0011347057869995137,0.41897233703981296,0.6893818201443525,4.35728812257331
kemmeren2014_single,1,YBL006C,6169,,814,0.13195007294537203,192,0.031123358729129517,44,0.007132436375425514,4,0.000648403306856865,0.433345377632148,0.7861546902269078,3.9755762325935704
kemmeren2014_single,1,YOR123C,6169,,416,0.06743394391311396,100,0.016210082671421624,28,0.004538823147998055,6,0.0009726049602852974,0.442088360170866,0.8483665482325766,4.793258005788878
kemmeren2014_single,1,YPL055C,6169,,1163,0.1885232614686335,238,0.038579996757983466,47,0.007618738855568163,7,0.0011347057869995137,0.43398235505081667,0.7374914849703146,4.615623887842616
kemmeren2014_single,1,YPR070W,6169,,668,0.10828335224509646,219,0.03550008105041336,76,0.012319662830280435,17,0.002755714054141676,0.4693132413250144,1.058725570679259,3.3255532710728897
kemmeren2014_single,1,YOL051W,6169,,1792,0.2904846814718755,684,0.11087696547252392,242,0.03922840006484033,29,0.004700923974712271,0.5033827491907992,1.1302709213937852,3.8529523176113285
kemmeren2014_single,1,YNL236W,6169,,805,0.13049116550494408,303,0.049116550494407524,97,0.015723780191278975,19,0.0030799157075701088,0.488883511688113,1.0961644394618801,4.690870968461897
kemmeren2014_single,1,YGR104C,6169,,960,0.1556167936456476,266,0.04311881990598152,71,0.011509158696709354,10,0.0016210082671421625,0.45331800959524743,0.8753555552852023,4.860694719424114
kemmeren2014_single,1,YDL005C,6169,,1264,0.20489544496676934,451,0.07310747284811153,155,0.02512562814070352,21,0.0034041173609985413,0.4778862336752845,1.0807424444964624,5.711549736497275
kemmeren2014_single,1,YHR041C,6169,,1190,0.19289998378991732,355,0.05754579348354676,92,0.014913276057707894,14,0.0022694115739990274,0.451250995199196,0.8994680987238941,3.80893007982554
kemmeren2014_single,1,YGL025C,6169,,966,0.15658939860593288,361,0.05851839844383206,106,0.01718268763170692,12,0.0019452099205705948,0.4836526130051514,1.0287794304339064,4.089886238379057
kemmeren2014_single,1,YGL127C,6169,,735,0.11914410763494894,162,0.026260333927703033,49,0.007942940508996596,7,0.0011347057869995137,0.42910608718540083,0.8331236449434726,3.816177551336824
kemmeren2014_single,1,YGL151W,6169,,349,0.056573188523261465,110,0.017831090938563787,30,0.004863024801426487,4,0.000648403306856865,0.45629403084860976,0.9452227933429277,4.774556322616455
kemmeren2014_single,1,YNR010W,6169,,838,0.13584049278651322,292,0.047333441400551145,110,0.017831090938563787,21,0.0034041173609985413,0.46898382697306096,1.1904088470568475,6.100556546320783
kemmeren2014_single,1,YBR195C,6169,,536,0.08688604311881991,221,0.03582428270384179,77,0.012481763656994651,11,0.0017831090938563786,0.5161932120184629,1.1357547016144993,4.609249487217532
kemmeren2014_single,1,YDR176W,6169,,1418,0.22985897228075863,444,0.07197276706111201,151,0.024477224833846654,15,0.0024315124007132437,0.4695018661061636,1.0261090189157833,3.9249445043534603
kemmeren2014_single,1,YDL002C,6169,,497,0.08056411087696547,161,0.026098233100988816,53,0.00859134381585346,9,0.0014589074404279462,0.46883844269329744,1.018071906092991,4.798804947474137
kemmeren2014_single,1,YIL038C,6169,,419,0.06792024639325661,84,0.013616469443994165,16,0.00259361322742746,3,0.0004863024801426487,0.42623169183953025,0.7586522056200401,5.42906521142319
kemmeren2014_single,1,YER068W,6169,,2758,0.4470740800778084,1313,0.21283838547576592,452,0.07326957367482574,65,0.010536553736424056,0.57107388974951,1.1978677268369826,5.1542068429137515
kemmeren2014_single,1,YMR091C,6169,,1717,0.2783271194683093,660,0.10698654563138273,220,0.03566218187712757,27,0.0043767223212838385,0.5000597895944868,1.1113780340225097,5.277640393178352
kemmeren2014_single,1,YBR279W,6169,,2498,0.40492786513211215,995,0.16129032258064516,248,0.04020100502512563,14,0.0022694115739990274,0.5191026298828931,0.9954888100113545,6.360289569049609
kemmeren2014_single,1,YNL097C,6169,,1086,0.17604149781163883,321,0.05203436537526342,77,0.012481763656994651,8,0.00129680661371373,0.45875083818374024,0.8879217606908574,4.713614001677094
kemmeren2014_single,1,YGL058W,6169,,1973,0.31982493110714866,649,0.10520343653752634,141,0.02285621656670449,10,0.0016210082671421625,0.49029974744093485,0.8810152267623912,5.546209897266554
kemmeren2014_single,1,YMR075W,6169,,540,0.08753444642567677,141,0.02285621656670449,28,0.004538823147998055,5,0.0008105041335710813,0.4439866300559634,0.819195374934795,6.137810813085594
kemmeren2014_single,1,YOR279C,6169,,554,0.0898038579996758,201,0.032582266169557464,118,0.019127897552277517,51,0.008267142162425028,0.46084047478533113,1.8419344639187434,4.533771574139966
kemmeren2014_single,1,YNL330C,6169,,1460,0.2366672070027557,554,0.0898038579996758,184,0.029826552115415787,30,0.004863024801426487,0.4993828983304887,1.1159120509802487,3.9926945930643645
kemmeren2014_single,1,YER169W,6169,,335,0.054303776949262444,50,0.008105041335710812,12,0.0019452099205705948,5,0.0008105041335710813,0.40973991379884517,0.6394218653731679,4.240615778481841
kemmeren2014_single,1,YGR056W,6169,,1455,0.23585670286918464,371,0.06013940671097422,81,0.013130166963851516,8,0.00129680661371373,0.4545610246853025,0.8285563566184861,4.482762466913621
kemmeren2014_single,1,YLR357W,6169,,1923,0.31171988977143783,683,0.1107148646458097,203,0.032906467822985896,39,0.006321932241854434,0.49432323441121756,1.0227826342623458,5.074240767275809
kemmeren2014_single,1,YHR056C,6169,,1691,0.27411249797373965,328,0.05316907116226293,53,0.00859134381585346,7,0.0011347057869995137,0.43678837803535203,0.6923704434188767,4.438778014816891
kemmeren2014_single,1,YGL244W,6169,,1534,0.24866266817960772,375,0.06078781001783109,84,0.013616469443994165,14,0.0022694115739990274,0.4515828559127633,0.8040736281599296,5.572254125077054
kemmeren2014_single,1,YGL252C,6169,,380,0.06159831415140217,113,0.018317393418706435,37,0.005997730588426001,11,0.0017831090938563786,0.4602306145399487,0.9832381343602468,5.224647459980551
kemmeren2014_single,1,YNL206C,6169,,898,0.1455665423893662,234,0.0379315934511266,63,0.010212352082995623,5,0.0008105041335710813,0.4381962336872758,0.8807548558534101,5.933149135766708
kemmeren2014_single,1,YLL002W,6169,,1346,0.21818771275733506,496,0.08040201005025126,188,0.030474955422272652,45,0.0072945372021397305,0.504820941268344,1.1705734195965636,4.807321335671681
kemmeren2014_single,1,YBR095C,6169,,1460,0.2366672070027557,409,0.06629923812611445,91,0.014751175230993677,8,0.00129680661371373,0.4545114493660589,0.8682588735561251,4.8499292582637095
kemmeren2014_single,1,YDL076C,6169,,602,0.09758469768195818,114,0.01847949424542065,22,0.003566218187712757,6,0.0009726049602852974,0.4195057498239943,0.7073047642598956,5.17175647029705
kemmeren2014_single,1,YMR263W,6169,,1255,0.2034365375263414,428,0.06937915383368455,110,0.017831090938563787,11,0.0017831090938563786,0.47305066956271236,0.9539467775555097,4.475645453066633
kemmeren2014_single,1,YMR127C,6169,,211,0.03420327443669963,90,0.014589074404279461,38,0.0061598314151402175,17,0.002755714054141676,0.5097146900348726,1.5366077178916844,5.212007322418609
kemmeren2014_single,1,YDR181C,6169,,268,0.043443021559409954,88,0.014264872750851029,29,0.004700923974712271,10,0.0016210082671421625,0.4481962709391398,1.1180336044116952,4.733866247659421
kemmeren2014_single,1,YOR213C,6169,,196,0.03177176203598638,62,0.010050251256281407,26,0.004214621494569622,5,0.0008105041335710813,0.45315846929960657,1.1647959049466574,4.524455663493388
