dataset,model,size,embedding,is_pert,aggregation,num_params,test_spearman,val_spearman,cv_spearman_mean,cv_spearman_std,test_pearson,val_pearson,cv_pearson_mean,cv_pearson_std,test_r2,val_r2,cv_r2_mean,cv_r2_std,test_mse,val_mse,cv_mse_mean,cv_mse_std
interaction,random_forest,1e3,calm,False,sum,37854.0,0.3266246624662466,0.5213757016996213,0.4158561009972056,0.0812739032524099,0.1899699413074466,0.4906023163018813,0.2663511099024344,0.0693346052764279,-0.0052770700534203,0.2102283300563511,0.020147899314831,0.0711030828652621,0.0043685822652306,0.0013460802864559,0.0033377618961578,0.0010624869338829
interaction,random_forest,1e3,codon_frequency,True,sum,201852.0,0.4323072307230722,0.5350031053222559,0.3874225820075508,0.0888013554862971,0.3263231820212262,0.417575316863718,0.2529949168594227,0.0997023529775525,0.0914686417826079,0.0991573556597312,0.0094553487003328,0.1062902071251468,0.0039481592658862,0.0015353887343563,0.0033705332927226,0.0010974759024628
interaction,random_forest,1e3,esm2_t33_650M_UR50D_all,False,sum,6726.0,0.3868346834683468,0.5439200237648957,0.4025123683583641,0.0624304480678866,0.2795118778252424,0.4108114107411397,0.3008395394527477,0.0830492721956356,0.0492786384031506,0.0086901496143563,0.0543748823894208,0.0544982217934332,0.0041315022526349,0.0016895802902994,0.0032526250090877,0.0011241432222345
interaction,random_forest,1e3,esm2_t33_650M_UR50D_no_dubious,True,sum,15072.0,0.3694929492949294,0.5391735348765188,0.3949791781709059,0.0614465387353517,0.2429593864522663,0.4624377921093623,0.2968595808313976,0.0854277214319697,0.0164760187566611,0.1209996857393208,0.051384606589314,0.0606219066673207,0.0042740509555842,0.0014981608480578,0.0032659409406474,0.0011402611360235
interaction,random_forest,1e3,fudt_downstream,False,sum,2660.0,0.3879027902790278,0.4681022145302032,0.3915121449550456,0.0641001203997256,0.2601618460709812,0.4636750057501657,0.2817844608966551,0.0513310763943858,0.0438924437817428,0.2031044405741402,0.0558651687563355,0.0296557069237699,0.0041549087691079,0.001358222184627,0.0032227733459122,0.001017535753796
interaction,random_forest,1e3,fudt_upstream,False,sum,504964.0,0.4039483948394838,0.4806915112278198,0.4404682828517718,0.057270042805708,0.2392966543439196,0.4279334815576606,0.3130836279691297,0.0729177722741739,0.025088895581771,0.1548724956798715,0.0609159662025744,0.0574138464373694,0.0042366224077025,0.001440428311626,0.0032243442966204,0.0010917275312465
interaction,random_forest,1e3,normalized_chrom_pathways,True,mean,4826.0,0.3010021002100209,0.4260361598329422,0.3402731779946035,0.0917315529293903,0.1388158156898644,0.2934308691236076,0.0978540303989703,0.0629421389059945,0.001624098317204,0.0840920950411351,-0.0463009695280643,0.0642262821075032,0.0043385922031359,0.0015610658396524,0.0035331885123878,0.000989017411352
interaction,random_forest,1e3,nt_window_5979,True,sum,46886.0,0.435055505550555,0.5242319958979367,0.4326236737990477,0.0900508252261074,0.2236379219865289,0.4461663766580073,0.3400099741682966,0.1082910104960841,0.0177385889277997,0.1729186201967828,0.0888343422467833,0.0978145388793643,0.004268564267563,0.0014096706466152,0.0031022504601512,0.001048692376195
interaction,random_forest,1e3,nt_window_five_prime_1003,False,sum,17894.0,0.3292529252925292,0.496473136735318,0.4285578264206638,0.0703836530203998,0.247149296848047,0.5243275831202774,0.3025627200381652,0.0461663310449156,0.010265148486258,0.2627761290111391,0.0462978638803959,0.0875244886293617,0.0043010412237632,0.0012565182535778,0.0032178915493043,0.0009352544721269
interaction,random_forest,1e3,nt_window_three_prime_300,True,sum,2126.0,0.4078127812781277,0.5060681250191544,0.4153914472310146,0.1242999337154303,0.2679379868700663,0.5321062400002277,0.3409889492002908,0.1094936192653143,0.05512953418319,0.2787305157016353,0.1118484354619496,0.0780390750419033,0.0041060763075877,0.0012293257291763,0.003076142456421,0.0011562011894774
interaction,random_forest,1e3,one_hot_gene,True,mean,202298.0,0.1927535884157823,0.3295708555713371,0.2361572850372407,0.0508491274318942,0.1314599466360994,0.282634908089336,0.1762636728322385,0.0725112709728596,-0.0734075514857854,-0.0210669409202259,-0.0395076648633889,0.0372117018283532,0.0046646534895462,0.0017402980286981,0.0035584457703295,0.0011214424166964
interaction,random_forest,1e3,prot_T5_all,True,sum,100982.0,0.3762136213621361,0.4727226904392426,0.376718617808114,0.0647707429422502,0.2762509059855343,0.4252068667055125,0.2828602853697953,0.0677703011815191,0.034098113887258,0.1170645471925578,0.0328036959874608,0.0551032380074918,0.0041974714984802,0.0015048678655717,0.003302587820961,0.0010679595548826
interaction,random_forest,1e3,prot_T5_no_dubious,False,sum,98766.0,0.3529312931293129,0.4862300817006034,0.3791156809594196,0.0640587120584825,0.2515583119896781,0.4402657231280209,0.2889382070185745,0.0733716452591462,0.0111297162162627,0.146671775062071,0.0445227036217107,0.0541969191479189,0.0042972841150367,0.0014544055518569,0.0032715978685008,0.0010881628379794
interaction,random_forest,1e3,random_1,True,sum,7810.0,0.1833511361794063,0.2823698176123026,0.148199642892187,0.0452381251667398,0.072535241200746,0.0669125056446121,0.0688032008790177,0.0680296845737448,-0.0178425512271354,-0.0929388569360967,-0.077367632638832,0.0837011137221561,0.0044231874480651,0.0018627959264838,0.003616179132359,0.0009073342415018
interaction,random_forest,1e3,random_10,True,sum,101144.0,0.3657605760576057,0.5078023036395602,0.3975430382727611,0.1197898923964141,0.3368410704338649,0.4646614667435803,0.3024463733268889,0.0906878782551139,0.0932979719748605,0.2018080718973427,0.0645283996748669,0.0593646431395984,0.0039402096371986,0.0013604317046519,0.0032067152403166,0.00107246204299
interaction,random_forest,1e3,random_100,False,sum,21332.0,0.4114971497149714,0.5088944161271514,0.3908854289640348,0.067389695004688,0.2798724822639937,0.4427822753400472,0.2612369139544973,0.0594831447138778,0.058563816202537,0.1722271430097582,0.0426637372611279,0.0216331544876744,0.0040911521200473,0.0014108491945999,0.0032786930550995,0.0010517045978969
