size,representation,test_pearson,cv_mean,cv_ci95,tied_with_best,beats_random_1000
1e3,random_1,0.0252025612124854,0.07043283419504404,0.081564612609945,True,False
1e3,one_hot_gene,0.0337926599020917,0.0026014396379665005,0.037168785212924195,True,False
1e3,random_10,0.3399621090251204,0.30226709010230585,0.10111254977784377,True,True
1e3,normalized_chrom_pathways,0.1964795529700584,0.1805506747235999,0.10776189945862368,True,False
1e3,fudt_downstream,0.2752420059874209,0.283194767800446,0.07547520278829141,True,True
1e3,nt_window_three_prime_300,0.2494829787650656,0.3382307186801314,0.12803954475605375,True,True
1e3,prot_T5_all,0.2727029412673608,0.30739167371949383,0.09873634370384378,True,True
1e3,prot_T5_no_dubious,0.2983790369537289,0.2966712437463721,0.09266677626048996,True,True
1e3,nt_window_5979,0.2237173192270784,0.3601590977748478,0.14930926306018089,True,False
1e3,esm2_t33_650M_UR50D_no_dubious,0.2502780121910849,0.30587968615611405,0.11293475516572475,True,True
1e3,esm2_t33_650M_UR50D_all,0.2387680645894053,0.29473186171670585,0.11644458037645482,True,False
1e3,fudt_upstream,0.2175078124570572,0.31810926027252984,0.08460726694795337,True,False
1e3,calm,0.2563035630772809,0.2842565245748433,0.09650341078481672,True,True
1e3,nt_window_five_prime_1003,0.2993811310501755,0.31382672460069216,0.05548681647312928,True,True
1e3,codon_frequency,0.4529377297555242,0.19946947845335727,0.11277758340268572,True,True
1e3,random_100,0.2744201875957348,0.2672354026737692,0.08068237567164149,True,True
1e3,random_1000,0.2463295004884642,0.27863854042706493,0.1328272955544498,True,False
1e4,random_1,0.1596121923075437,0.14486513888874397,0.018860093268503117,False,False
1e4,one_hot_gene,0.2882538609402638,0.22590230498428515,0.049396855043745566,False,False
1e4,random_10,0.3532462345619871,0.3276150453294825,0.04419309779760844,False,False
1e4,normalized_chrom_pathways,0.4028313650061821,0.35722874964232,0.05140840855022432,True,True
1e4,fudt_downstream,0.3997134779868642,0.35167403261519714,0.04826505410151018,True,False
1e4,nt_window_three_prime_300,0.3907896309628393,0.35454263935477,0.044429013809011854,True,False
1e4,prot_T5_all,0.371366434691481,0.34830292453267314,0.037915027879570073,True,False
1e4,prot_T5_no_dubious,0.3779206971957312,0.34940207756851366,0.03706506821049567,True,False
1e4,nt_window_5979,0.3833104507677867,0.3469167087835884,0.04671182655729783,True,False
1e4,esm2_t33_650M_UR50D_no_dubious,0.3946264767715566,0.3507548073664898,0.04385596422899398,True,False
1e4,esm2_t33_650M_UR50D_all,0.3906180473132481,0.34134663141002314,0.0176439791316967,True,False
1e4,fudt_upstream,0.335221452922167,0.3071384592119216,0.035758871745752784,False,False
1e4,calm,0.4331241130674593,0.3644696848514821,0.030888646527544535,True,True
1e4,nt_window_five_prime_1003,0.4026979502619039,0.3598966094679469,0.05256120402050499,True,True
1e4,codon_frequency,0.4040114829854353,0.3607896373100784,0.042348756975643886,True,True
1e4,random_100,0.4309809892132373,0.3536724169809171,0.05399262639070471,True,True
1e4,random_1000,0.4023173552195712,0.35327880455509575,0.04164425604256634,True,False
1e5,random_1,0.1440323629822459,,,False,False
1e5,one_hot_gene,0.2349776612322675,,,False,False
1e5,random_10,0.3388031405254213,,,False,False
1e5,normalized_chrom_pathways,0.3513464831145876,,,False,False
1e5,fudt_downstream,0.3536963770502698,,,False,False
1e5,nt_window_three_prime_300,0.353959583396791,,,False,False
1e5,prot_T5_all,0.3554859272078572,,,False,False
1e5,prot_T5_no_dubious,0.3560410965988895,,,False,False
1e5,nt_window_5979,0.3658849168066464,,,False,False
1e5,esm2_t33_650M_UR50D_no_dubious,0.37037146313056,,,False,False
1e5,esm2_t33_650M_UR50D_all,0.3712372048407741,,,False,False
1e5,fudt_upstream,0.37377621135966,,,False,False
1e5,calm,0.3744351947854888,,,False,False
1e5,nt_window_five_prime_1003,0.3760196711082783,,,False,False
1e5,codon_frequency,0.3782444198054661,,,False,False
1e5,random_100,0.3841483793794729,,,False,False
1e5,random_1000,0.3856572855994417,,,False,False
