gene,n_rows,mean,std,min,max,max_passes_baseline
YBR203W,4,1.037,0.0,1.037,1.037,True
YDR057W,4,1.0435,0.0,1.0435,1.0435,True
YER079W,4,1.0387,0.0,1.0387,1.0387,True
YGL087C,4,0.996,0.0,0.996,0.996,True
YIL174W,2,1.0915,0.0,1.0915,1.0915,True
YJR060W,4,0.7565,0.19225763964014542,0.59,0.923,True
YKL033W-A,4,1.0327,0.0,1.0327,1.0327,True
YLL012W,4,0.9925,0.0,0.9925,0.9925,True
YLR104W,4,1.0322,0.0,1.0322,1.0322,True
YLR312C-B,2,1.0845,0.0,1.0845,1.0845,True
YPL046C,4,1.0433,0.0,1.0433,1.0433,True
YPL081W,4,0.955,0.0,0.955,0.955,True
