index,gene,mutant_type
1,YBR203W,single
2,YDR057W,single
3,YER079W,single
4,YGL087C,single
5,YIL174W,single
6,YJR060W,single
7,YKL033W-A,single
8,YLL012W,single
9,YLR104W,single
10,YLR312C-B,single
11,YPL046C,single
12,YPL081W,single
