index,gene1,gene2,gene3,prediction,mutant_type
107,YBR203W,YIL174W,YJR060W,0.18884277,triple
108,YBR203W,YJR060W,YLR312C-B,0.18884277,triple
109,YBR203W,YIL174W,YLL012W,0.18383789,triple
110,YBR203W,YLL012W,YLR312C-B,0.18383789,triple
111,YIL174W,YJR060W,YLR104W,0.1784668,triple
112,YJR060W,YLR104W,YLR312C-B,0.1784668,triple
113,YGL087C,YKL033W-A,YLR312C-B,0.17822266,triple
114,YGL087C,YIL174W,YKL033W-A,0.17822266,triple
115,YDR057W,YER079W,YLR312C-B,0.15783691,triple
116,YDR057W,YER079W,YIL174W,0.15783691,triple
117,YDR057W,YIL174W,YPL046C,0.15222168,triple
118,YDR057W,YLR312C-B,YPL046C,0.15222168,triple
119,YIL174W,YJR060W,YLL012W,0.13110352,triple
120,YJR060W,YLL012W,YLR312C-B,0.13110352,triple
121,YER079W,YLR312C-B,YPL081W,0.04827881,triple
122,YER079W,YIL174W,YPL081W,0.04827881,triple
