target,partner,epsilon,p_value
YLR313C,YAL021C,-0.0117,0.4038
YLR313C,YAL025C,-0.0556,0.2658
YLR313C,YAL043C,-0.0429,0.3474
YLR313C,YBL014C,-0.004,0.4803
YLR313C,YBL038W,-0.0311,0.1606
YLR313C,YBL045C,0.0816,0.02471
YLR313C,YBR079C,-0.0075,0.4397
YLR313C,YBR088C,-0.0406,0.2931
YLR313C,YBR112C,-0.0042,0.4578
YLR313C,YBR136W,0.0632,0.2728
YLR313C,YBR152W,0.0821,0.08507
YLR313C,YBR155W,0.0285,0.2056
YLR313C,YBR167C,0.0218,0.3879
YLR313C,YBR190W,0.0127,0.1957
YLR313C,YBR257W,-0.0411,0.3753
YLR313C,YCL004W,-0.0567,0.2185
YLR313C,YCL007C,-0.0096,0.4219
YLR313C,YCL031C,0.0187,0.2415
YLR313C,YCL043C,-0.026,4.157e-05
YLR313C,YCR012W,-0.0017,0.4629
YLR313C,YCR020W-B,-0.0077,0.4471
YLR313C,YDL007W,0.0379,0.04605
YLR313C,YDL008W,0.0293,0.1403
YLR313C,YDL015C,-0.0297,0.3859
YLR313C,YDL108W,-0.0239,0.2541
YLR313C,YDL141W,0.0481,1.357e-05
YLR313C,YDL150W,-0.0448,0.2507
YLR313C,YDL208W,0.016,0.3923
YLR313C,YDL212W,0.0095,0.3556
YLR313C,YDR021W,-0.0535,0.2642
YLR313C,YDR037W,0.0067,0.334
YLR313C,YDR044W,-0.0229,0.188
YLR313C,YDR062W,0.0055,0.3755
YLR313C,YDR069C,-0.019,0.3468
YLR313C,YDR091C,-0.0179,0.3588
YLR313C,YDR160W,-0.0903,0.05999
YLR313C,YDR190C,0.0124,0.3878
YLR313C,YDR232W,-0.0021,0.4849
YLR313C,YDR292C,0.0473,0.2694
YLR313C,YDR341C,0.0233,0.1486
YLR313C,YDR367W,-0.089,0.2
YLR313C,YDR376W,0.0205,0.3516
YLR313C,YDR388W,-0.0202,0.3186
YLR313C,YDR434W,0.0189,0.2368
YLR313C,YDR472W,-0.0227,0.3197
YLR313C,YDR510W,-0.0301,0.2127
YLR313C,YDR521W,0.0743,0.1626
YLR313C,YDR531W,0.0309,0.3266
YLR313C,YEL003W,-0.0259,0.3262
YLR313C,YEL029C,0.0047,0.4646
YLR313C,YEL030W,0.0012,0.4904
YLR313C,YER112W,-0.0023,0.4746
YLR313C,YER133W,-0.0692,0.2577
YLR313C,YER172C,0.0081,0.4378
YLR313C,YFR002W,-0.056,0.1337
YLR313C,YFR003C,0.0002,0.4965
YLR313C,YFR029W,-0.0429,0.3371
YLR313C,YGL008C,0.0269,0.1539
YLR313C,YGL018C,0.0211,0.2621
YLR313C,YGL040C,0.0131,0.3518
YLR313C,YGL068W,-0.2175,0.03906
YLR313C,YGL091C,0.0158,0.3734
YLR313C,YGL092W,0.03,0.09552
YLR313C,YGL128C,-0.0158,0.403
YLR313C,YGL143C,0.0406,0.1863
YLR313C,YGL150C,-0.0061,0.4194
YLR313C,YGL172W,0.0443,0.2077
YLR313C,YGL246C,-0.0338,0.2618
YLR313C,YGR024C,0.0637,0.0001271
YLR313C,YGR029W,0.0298,0.2365
YLR313C,YGR060W,-0.0251,0.3034
YLR313C,YGR065C,0.0192,0.1247
YLR313C,YGR073C,0.0155,0.1932
YLR313C,YGR076C,0.0127,0.3477
YLR313C,YGR083C,0.0018,0.4465
YLR313C,YGR090W,-0.0121,0.3838
YLR313C,YGR094W,0.0614,0.2766
YLR313C,YGR098C,0.0063,0.419
YLR313C,YGR104C,0.0642,0.1575
YLR313C,YGR128C,0.0579,0.00607
YLR313C,YGR165W,-0.0427,0.3349
YLR313C,YGR218W,0.0283,0.2417
YLR313C,YHL015W,0.0414,0.001419
YLR313C,YHR007C,-0.1269,0.08765
YLR313C,YHR019C,0.0385,0.1071
YLR313C,YHR020W,0.0011,0.4924
YLR313C,YHR064C,-0.024,0.09007
YLR313C,YHR068W,0.046,0.1474
YLR313C,YHR088W,-0.0975,0.1077
YLR313C,YHR102W,-0.0054,0.4104
YLR313C,YHR170W,-0.1047,6.692e-09
YLR313C,YHR188C,-0.0269,0.212
YLR313C,YIL009W,0.0176,0.3806
YLR313C,YIL051C,0.0446,0.01801
YLR313C,YIL063C,0.0072,0.3499
YLR313C,YIL078W,0.0007,0.4914
YLR313C,YIL083C,0.0464,5.828e-14
YLR313C,YIL106W,-0.0097,0.4205
YLR313C,YIL115C,-0.0099,0.4304
YLR313C,YIL142W,-0.0475,0.2401
YLR313C,YIL147C,-0.1035,0.1339
YLR313C,YJL008C,-0.0459,0.001781
YLR313C,YJL039C,-0.0132,0.453
YLR313C,YJL061W,-0.0078,0.1216
YLR313C,YJL111W,-0.018,0.3529
YLR313C,YJL129C,-0.0289,0.1836
YLR313C,YJL166W,-0.0147,0.3024
YLR313C,YJR002W,0.0274,0.2159
YLR313C,YJR016C,0.0766,0.02725
YLR313C,YJR104C,0.0051,0.4511
YLR313C,YKL004W,-0.0142,0.3298
YLR313C,YKL049C,-0.0076,0.4329
YLR313C,YKL059C,-0.0355,0.1849
YLR313C,YKL078W,0.0257,0.2427
YLR313C,YKL111C,0.0124,0.3238
YLR313C,YKL139W,0.0087,0.4468
YLR313C,YKL170W,-0.0052,0.3735
YLR313C,YKL195W,0.0161,0.3203
YLR313C,YKL203C,0.0378,0.03256
YLR313C,YKR001C,-0.037,9.134e-05
YLR313C,YKR038C,-0.0053,0.4088
YLR313C,YKR085C,0.0076,0.4138
YLR313C,YLR027C,-0.0157,0.3572
YLR313C,YML050W,0.0642,0.0543
YLR313C,YML086C,-0.0282,0.1111
YLR313C,YML125C,0.0133,0.3592
YLR313C,YML126C,0.0217,0.299
YLR313C,YMR001C,-0.0087,0.4592
YLR313C,YMR125W,0.0008,0.4952
YLR313C,YMR131C,0.0326,0.1667
YLR313C,YMR193W,-0.0009,0.4891
YLR313C,YMR208W,0.0256,0.1425
YLR313C,YMR242C,0.0146,0.361
YLR313C,YNL002C,0.0267,0.1042
YLR313C,YNL007C,-0.0232,0.3655
YLR313C,YNL113W,0.0212,0.2738
YLR313C,YNL148C,0.0115,0.3229
YLR313C,YNL161W,-0.0086,0.3953
YLR313C,YNL163C,-0.0113,0.3919
YLR313C,YNL181W,-0.0217,0.3386
YLR313C,YNL189W,0.005,0.4544
YLR313C,YNL216W,0.0008,0.4959
YLR313C,YNL245C,0.0353,0.1874
YLR313C,YNL260C,0.0064,0.4597
YLR313C,YNL261W,-0.0121,0.3017
YLR313C,YNL282W,-0.0207,0.1114
YLR313C,YNL290W,-0.0013,0.4892
YLR313C,YOL021C,-0.0435,0.06662
YLR313C,YOL033W,0.0453,0.2131
YLR313C,YOL097C,0.0558,0.2533
YLR313C,YOL130W,0.0204,0.2416
YLR313C,YOR056C,0.0233,0.3919
YLR313C,YOR060C,0.0141,0.3598
YLR313C,YOR074C,0.0117,0.4075
YLR313C,YOR077W,0.0292,0.1012
YLR313C,YOR098C,0.0117,0.3901
YLR313C,YOR103C,-0.0459,0.1974
YLR313C,YOR110W,-0.1224,0.1184
YLR313C,YOR119C,-0.0383,0.2067
YLR313C,YOR200W,-0.1956,0.08654
YLR313C,YOR204W,0.0105,0.4223
YLR313C,YOR236W,0.041,0.2568
YLR313C,YOR241W,0.0388,0.254
YLR313C,YOR250C,0.0649,0.006764
YLR313C,YOR290C,0.0012,0.492
YLR313C,YOR310C,-0.0072,0.4638
YLR313C,YOR329C,0.036,0.009504
YLR313C,YPL016W,0.0779,0.00193
YLR313C,YPL078C,0.0014,0.4853
YLR313C,YPL083C,0.0416,0.2361
YLR313C,YPL153C,0.0588,0.1962
YLR313C,YPL204W,-0.0032,0.4731
YLR313C,YPL209C,0.0572,0.1352
YLR313C,YPL231W,0.0098,0.4145
YLR313C,YPL235W,-0.0092,0.4145
YLR313C,YPL266W,0.0001,0.4989
YLR313C,YPR019W,-0.04,0.3551
YLR313C,YPR041W,0.0548,0.001734
YLR313C,YPR072W,0.0774,0.05803
YLR313C,YPR099C,-0.0257,0.3996
YLR313C,YPR110C,-0.0957,5.531e-07
YLR313C,YPR139C,-0.0391,0.3359
YLR313C,YPR143W,-0.0106,0.4094
YLR313C,YPR144C,0.0315,0.1682
YLR313C,YPR161C,-0.0217,0.3901
YLR313C,YPR166C,-0.0085,0.007157
YLR313C,YAL001C,0.0341,0.2186
YLR313C,YAL025C,-0.1341,0.002154
YLR313C,YAL032C,0.0018,0.492
YLR313C,YAL033W,0.0138,0.4084
YLR313C,YAL033W,0.0039,0.4671
YLR313C,YAL034W-A,-0.0194,0.3997
YLR313C,YAL038W,0.0449,0.04337
YLR313C,YAL041W,0.0017,0.4843
YLR313C,YAL041W,0.04,0.2014
YLR313C,YAL041W,-0.0213,0.3195
YLR313C,YAL041W,0.025,0.3085
YLR313C,YAL041W,0.0474,0.2079
YLR313C,YAL041W,-0.1223,0.08892
YLR313C,YAL043C,0.0025,0.4753
YLR313C,YAR019C,-0.0139,0.4246
YLR313C,YBL020W,-0.0969,0.1434
YLR313C,YBL023C,0.0103,0.4182
YLR313C,YBL026W,0.0145,0.2974
YLR313C,YBL034C,0.0118,0.3615
YLR313C,YBL034C,0.0113,0.3784
YLR313C,YBL034C,-0.0043,0.4669
YLR313C,YBL034C,0.01,0.3609
YLR313C,YBL034C,-0.0182,0.3514
YLR313C,YBL035C,-0.0235,0.2923
YLR313C,YBL041W,-0.0494,0.2783
YLR313C,YBL050W,0.0005,0.4974
YLR313C,YBL074C,-0.0089,0.4221
YLR313C,YBL076C,-0.0165,0.3871
YLR313C,YBL084C,0.0299,0.1876
YLR313C,YBL084C,-0.0108,0.3816
YLR313C,YBL097W,0.0226,0.2234
YLR313C,YBL097W,-0.0352,0.03205
YLR313C,YBL105C,-0.0288,0.0005185
YLR313C,YBL105C,-0.0111,0.377
YLR313C,YBL105C,-0.0627,0.2159
YLR313C,YBL105C,-0.0343,0.3432
YLR313C,YBL105C,-0.0211,0.3465
YLR313C,YBR002C,0.0096,0.3206
YLR313C,YBR004C,-0.0284,0.0004352
YLR313C,YBR011C,-0.0286,0.01937
YLR313C,YBR029C,-0.0558,0.1738
YLR313C,YBR038W,-0.0595,0.003949
YLR313C,YBR049C,-0.1666,0.08652
YLR313C,YBR055C,-0.0109,0.4169
YLR313C,YBR055C,0.0413,0.2089
YLR313C,YBR058C-A,0.0304,0.1788
YLR313C,YBR060C,-0.0425,0.28
YLR313C,YBR060C,0.0029,0.4842
YLR313C,YBR060C,-0.0281,0.2699
YLR313C,YBR060C,-0.0594,0.2025
YLR313C,YBR070C,-0.017,0.3742
YLR313C,YBR079C,-0.0283,0.3102
YLR313C,YBR079C,-0.0004,0.4941
YLR313C,YBR080C,-0.0079,0.4492
YLR313C,YBR087W,0.033,0.2795
YLR313C,YBR088C,0.0208,0.3655
YLR313C,YBR088C,-0.0025,0.4639
YLR313C,YBR088C,0.0074,0.4327
YLR313C,YBR088C,0.0119,0.3614
YLR313C,YBR088C,0.0528,0.1102
YLR313C,YBR088C,0.0033,0.4808
YLR313C,YBR088C,-0.0404,0.00011
YLR313C,YBR088C,-0.0045,0.4342
YLR313C,YBR088C,0.0135,0.3428
YLR313C,YBR088C,-0.0735,6.213e-158
YLR313C,YBR088C,0.0303,0.2191
YLR313C,YBR088C,-0.0463,0.3178
YLR313C,YBR088C,0.0233,0.3693
YLR313C,YBR102C,-0.0157,0.3782
YLR313C,YBR109C,0.0474,0.004205
YLR313C,YBR109C,-0.0141,0.3122
YLR313C,YBR109C,-0.0463,0.2435
YLR313C,YBR110W,0.0276,0.2982
YLR313C,YBR121C,-0.0294,0.2289
YLR313C,YBR123C,-0.074,0.05256
YLR313C,YBR135W,-0.0071,0.2335
YLR313C,YBR136W,-0.0014,0.4875
YLR313C,YBR142W,-0.0615,0.1781
YLR313C,YBR143C,0.0056,0.4504
YLR313C,YBR152W,-0.0384,0.0007168
YLR313C,YBR153W,-0.0485,0.2248
YLR313C,YBR154C,0.0258,0.1933
YLR313C,YBR156C,-0.0786,0.1384
YLR313C,YBR160W,0.0067,0.4634
YLR313C,YBR160W,0.0178,0.4237
YLR313C,YBR160W,0.0,0.5
YLR313C,YBR167C,0.0254,0.3124
YLR313C,YBR193C,0.005,0.4435
YLR313C,YBR193C,-0.0753,0.04053
YLR313C,YBR196C,0.0281,0.02473
YLR313C,YBR198C,-0.0094,0.1115
YLR313C,YBR198C,-0.0391,0.1076
YLR313C,YBR198C,0.0474,0.01825
YLR313C,YBR202W,0.0603,0.08896
YLR313C,YBR211C,0.0222,0.236
YLR313C,YBR234C,-0.0028,0.478
YLR313C,YBR236C,0.0332,0.1467
YLR313C,YBR236C,0.0454,0.2153
YLR313C,YBR237W,-0.0056,0.185
YLR313C,YBR247C,-0.0464,0.1682
YLR313C,YBR252W,0.0021,0.4805
YLR313C,YBR253W,-0.0773,1.381e-05
YLR313C,YBR254C,-0.04,0.1641
YLR313C,YBR256C,0.0001,0.4996
YLR313C,YBR257W,-0.0625,3.383e-10
YLR313C,YBR265W,-0.0152,0.4124
YLR313C,YCL017C,-0.1475,0.06252
YLR313C,YCL031C,-0.0566,0.00449
YLR313C,YCL043C,-0.044,0.06829
YLR313C,YCL052C,0.0142,0.4209
YLR313C,YCL059C,0.023,0.2991
YLR313C,YCL059C,-0.0049,0.4681
YLR313C,YCR002C,-0.006,0.4612
YLR313C,YCR002C,-0.0157,0.4365
YLR313C,YCR002C,0.0319,0.3793
YLR313C,YCR035C,-0.0846,0.02302
YLR313C,YCR052W,-0.0403,0.3317
YLR313C,YCR054C,0.0369,0.3511
YLR313C,YCR072C,0.0261,0.2412
YLR313C,YCR093W,0.0156,0.4184
YLR313C,YDL003W,-0.0041,0.4438
YLR313C,YDL007W,-0.0035,0.4482
YLR313C,YDL014W,0.0209,0.01538
YLR313C,YDL015C,0.0434,0.001431
YLR313C,YDL017W,0.0062,0.4073
YLR313C,YDL017W,-0.0078,0.4173
YLR313C,YDL028C,-0.0799,0.2789
YLR313C,YDL028C,-0.026,0.228
YLR313C,YDL028C,0.0122,0.4488
YLR313C,YDL029W,0.0393,0.2391
YLR313C,YDL030W,-0.022,0.2997
YLR313C,YDL030W,0.0157,0.206
YLR313C,YDL031W,-0.0648,0.0001201
YLR313C,YDL031W,-0.0156,0.3373
YLR313C,YDL031W,0.0409,0.2199
YLR313C,YDL031W,0.0517,7.281e-21
YLR313C,YDL043C,-0.0024,0.463
YLR313C,YDL045C,-0.0268,0.1412
YLR313C,YDL058W,-0.0377,0.1595
YLR313C,YDL060W,0.0508,0.1707
YLR313C,YDL060W,-0.0239,0.3291
YLR313C,YDL064W,-0.0338,0.3428
YLR313C,YDL084W,-0.0183,0.4018
YLR313C,YDL087C,-0.0386,0.006819
YLR313C,YDL097C,-0.0028,0.4835
YLR313C,YDL097C,-0.0107,0.1414
YLR313C,YDL098C,0.026,0.2558
YLR313C,YDL102W,-0.0293,0.2562
YLR313C,YDL102W,0.0271,0.121
YLR313C,YDL102W,0.05,0.1448
YLR313C,YDL103C,-0.0136,0.4085
YLR313C,YDL103C,0.0038,0.4752
YLR313C,YDL103C,-0.0098,0.3797
YLR313C,YDL105W,0.0332,0.1606
YLR313C,YDL105W,-0.016,0.0955
YLR313C,YDL105W,-0.06,0.2053
YLR313C,YDL105W,-0.1052,0.1248
YLR313C,YDL108W,-0.2453,0.00828
YLR313C,YDL111C,-0.016,0.3694
YLR313C,YDL126C,-0.0108,0.328
YLR313C,YDL126C,0.0181,0.4079
YLR313C,YDL126C,0.0107,0.4313
YLR313C,YDL132W,0.0742,0.02756
YLR313C,YDL139C,-0.014,0.2258
YLR313C,YDL140C,0.0899,0.006614
YLR313C,YDL143W,-0.0375,0.2561
YLR313C,YDL145C,-0.142,0.007764
YLR313C,YDL147W,-0.0705,0.02743
YLR313C,YDL147W,-0.0503,0.3003
YLR313C,YDL150W,0.0012,0.4917
YLR313C,YDL153C,-0.0145,0.3004
YLR313C,YDL164C,-0.0434,0.2675
YLR313C,YDL164C,-0.0581,0.3137
YLR313C,YDL164C,0.0718,0.1253
YLR313C,YDL165W,-0.0251,0.2606
YLR313C,YDL193W,-0.1188,0.005178
YLR313C,YDL195W,0.044,0.2677
YLR313C,YDL207W,-0.0302,0.3202
YLR313C,YDL207W,-0.0422,0.01546
YLR313C,YDL208W,0.0058,0.4035
YLR313C,YDL217C,0.0085,0.4577
YLR313C,YDL220C,-0.0493,0.331
YLR313C,YDR002W,-0.0517,0.05138
YLR313C,YDR013W,0.0033,0.4658
YLR313C,YDR016C,0.0195,0.3054
YLR313C,YDR021W,-0.022,0.2918
YLR313C,YDR037W,0.027,0.3587
YLR313C,YDR037W,0.0199,0.3209
YLR313C,YDR044W,0.0105,0.2184
YLR313C,YDR045C,0.03,0.3283
YLR313C,YDR047W,-0.0196,0.03156
YLR313C,YDR050C,0.0606,0.2113
YLR313C,YDR052C,0.0111,0.4042
YLR313C,YDR052C,-0.0745,0.1306
YLR313C,YDR052C,-0.0354,0.3641
YLR313C,YDR052C,0.0058,0.4602
YLR313C,YDR052C,-0.0285,0.2775
YLR313C,YDR054C,0.0068,0.4316
YLR313C,YDR060W,-0.0118,0.4326
YLR313C,YDR062W,0.0483,0.08526
YLR313C,YDR062W,-0.0002,0.4976
YLR313C,YDR064W,0.0039,0.449
YLR313C,YDR082W,0.0252,0.2817
YLR313C,YDR086C,-0.0275,0.3504
YLR313C,YDR087C,-0.0134,0.4131
YLR313C,YDR088C,0.0069,0.137
YLR313C,YDR088C,-0.0347,0.3206
YLR313C,YDR091C,-0.0093,0.3333
YLR313C,YDR113C,-0.0233,0.3933
YLR313C,YDR141C,0.0335,0.2581
YLR313C,YDR145W,0.0123,0.3734
YLR313C,YDR145W,0.0183,0.2507
YLR313C,YDR145W,0.0436,0.2398
YLR313C,YDR145W,0.0229,0.3031
YLR313C,YDR145W,0.021,0.2301
YLR313C,YDR164C,0.0622,0.1477
YLR313C,YDR166C,0.0137,0.3722
YLR313C,YDR167W,0.0411,0.06335
YLR313C,YDR168W,-0.076,0.2726
YLR313C,YDR168W,-0.0044,0.4517
YLR313C,YDR170C,0.0309,0.1993
YLR313C,YDR172W,-0.157,0.09734
YLR313C,YDR177W,-0.0921,0.001085
YLR313C,YDR180W,0.0369,0.02541
YLR313C,YDR182W,0.0285,0.003884
YLR313C,YDR182W,0.0058,0.4489
YLR313C,YDR182W,-0.0026,0.4776
YLR313C,YDR182W,0.0278,0.2371
YLR313C,YDR188W,-0.0382,0.349
YLR313C,YDR189W,-0.0446,0.05277
YLR313C,YDR190C,0.0211,0.3885
YLR313C,YDR196C,0.0544,0.2807
YLR313C,YDR196C,-0.0594,0.04828
YLR313C,YDR201W,0.0134,0.281
YLR313C,YDR208W,-0.0048,0.4758
YLR313C,YDR211W,0.0133,0.3818
YLR313C,YDR212W,0.0044,0.4062
YLR313C,YDR212W,-0.0506,0.01578
YLR313C,YDR228C,0.0298,0.1103
YLR313C,YDR228C,-0.0013,0.4634
YLR313C,YDR232W,0.0297,0.2604
YLR313C,YDR232W,-0.0279,0.2723
YLR313C,YDR235W,0.0051,0.429
YLR313C,YDR236C,-0.0256,0.347
YLR313C,YDR238C,-0.1385,0.0782
YLR313C,YDR238C,-0.0483,0.1475
YLR313C,YDR240C,-0.0196,0.3343
