study,target,partner,gene1,gene2,epsilon,p_value,dmf,dmf_std
Costanzo2016,YLR313C,YBR203W,YBR203W,YLR313C,-0.1118,0.1968,0.9089,0.1362
Costanzo2016,YLR313C,YDR057W,YDR057W,YLR313C,-0.0153,0.3937,1.0118,0.0461
Costanzo2016,YLR313C,YER079W,YER079W,YLR313C,0.0035,0.4885,1.0259,0.0952
Costanzo2016,YLR313C,YGL087C,YGL087C,YLR313C,-0.0115,0.3074,0.9688,0.015
Costanzo2016,YLR313C,YIL174W,YIL174W,YLR313C,0.017,0.3773,1.0914,0.0371
Costanzo2016,YLR313C,YJR060W,YJR060W,YLR313C,0.0132,0.09538,0.5939,0.0066
Costanzo2016,YLR313C,YKL033W-A,YKL033W-A,YLR313C,-0.0007,0.4952,1.0158,0.0418
Costanzo2016,YLR312C-B,YBR203W,YLR312C-B,YBR203W,-0.0103,0.4579,1.1144,0.0924
Costanzo2016,YLR312C-B,YDR057W,YLR312C-B,YDR057W,0.0466,0.119,1.1783,0.0257
Costanzo2016,YLR312C-B,YER079W,YLR312C-B,YER079W,-0.027,0.2897,1.0994,0.0393
Costanzo2016,YLR312C-B,YGL087C,YLR312C-B,YGL087C,0.0293,0.3374,1.1095,0.0649
Costanzo2016,YLR312C-B,YJR060W,YLR312C-B,YJR060W,0.0238,0.133,1.0248,0.0142
Costanzo2016,YLR312C-B,YKL033W-A,YLR312C-B,YKL033W-A,0.0051,0.4409,1.1251,0.0241
Costanzo2016,YLR312C-B,YLL012W,YLR312C-B,YLL012W,-0.0102,0.4112,1.0662,0.0353
Costanzo2016,YLR312C-B,YLR104W,YLR312C-B,YLR104W,-0.0106,0.2121,1.1089,0.0084
Costanzo2016,YLR312C-B,YPL046C,YLR312C-B,YPL046C,-0.0186,0.4088,1.1129,0.0877
Costanzo2016,YLR312C-B,YPL081W,YLR312C-B,YPL081W,-0.0192,0.3554,1.0165,0.0418
Costanzo2016,YLR313C,YBR203W,YLR313C,YBR203W,0.0435,0.2359,1.0643,0.0486
Costanzo2016,YLR313C,YDR057W,YLR313C,YDR057W,-0.0004,0.4924,1.0267,0.0133
Costanzo2016,YLR313C,YER079W,YLR313C,YER079W,0.0247,0.2522,1.0471,0.028
Costanzo2016,YLR313C,YGL087C,YLR313C,YGL087C,-0.0193,0.3882,0.961,0.0645
Costanzo2016,YLR313C,YJR060W,YLR313C,YJR060W,-0.0265,0.2979,0.882,0.04
Costanzo2016,YLR313C,YKL033W-A,YLR313C,YKL033W-A,0.0121,0.2833,1.0286,0.0142
Costanzo2016,YLR313C,YLL012W,YLR313C,YLL012W,0.0001,0.4989,0.977,0.0214
Costanzo2016,YLR313C,YPL046C,YLR313C,YPL046C,0.0986,1.27e-16,1.1256,0.0085
Costanzo2016,YLR313C,YPL081W,YLR313C,YPL081W,0.0529,0.06396,0.9929,0.0252
Costanzo2016,YLR313C,YPL046C,YPL046C,YLR313C,0.0067,0.3918,1.0336,0.0156
Costanzo2016,YLR313C,YPL081W,YPL081W,YLR313C,0.0161,0.4077,0.9561,0.067
