index,gene1,gene2,gene3,prediction,mutant_type
1,YIL174W,YLL012W,YPL081W,0.73095703,triple
2,YKL033W-A,YLR312C-B,YPL081W,0.7114258,triple
3,YJL017W,YKL033W-A,YPL081W,0.7114258,triple
4,YIL174W,YKL033W-A,YPL081W,0.7114258,triple
5,YER079W,YIL174W,YLL012W,0.7109375,triple
6,YER079W,YLL012W,YLR312C-B,0.7109375,triple
7,YIL174W,YLR351C,YPL081W,0.70166016,triple
8,YLR104W,YLR312C-B,YPL081W,0.7011719,triple
9,YKL200C,YLR104W,YPL081W,0.7011719,triple
10,YIL174W,YLR104W,YPL081W,0.7011719,triple
11,YJL017W,YLR104W,YPL081W,0.7011719,triple
12,YBR203W,YJL017W,YPL081W,0.69873047,triple
13,YBR203W,YLR312C-B,YPL081W,0.69873047,triple
14,YER079W,YLR104W,YLR312C-B,0.68408203,triple
15,YER079W,YIL174W,YLR104W,0.68408203,triple
16,YER079W,YJL017W,YLR104W,0.68408203,triple
17,YER079W,YKL200C,YLR104W,0.68408203,triple
18,YGL087C,YLR312C-B,YPL081W,0.68310547,triple
19,YIL174W,YJR060W,YPL081W,0.6699219,triple
20,YDR155C,YKL200C,YPL081W,0.66796875,triple
21,YDR155C,YIL174W,YPL081W,0.66796875,triple
22,YDR155C,YLR312C-B,YPL081W,0.66796875,triple
23,YER079W,YKR054C,YLL017W,0.66503906,triple
24,YER079W,YIL174W,YKR054C,0.66503906,triple
25,YER079W,YKR054C,YLR312C-B,0.66503906,triple
26,YER079W,YJL017W,YKR054C,0.66503906,triple
27,YER079W,YIL174W,YLR351C,0.6645508,triple
28,YER079W,YIL174W,YJR060W,0.65771484,triple
29,YER079W,YJR060W,YLR312C-B,0.65771484,triple
30,YER079W,YIL174W,YKL033W-A,0.65625,triple
31,YER079W,YKL033W-A,YLR312C-B,0.65625,triple
32,YER079W,YKL033W-A,YKL200C,0.65625,triple
33,YER079W,YJL017W,YKL033W-A,0.65625,triple
34,YER079W,YKL033W-A,YLL017W,0.65625,triple
35,YBR203W,YER079W,YLR312C-B,0.65478516,triple
36,YBR203W,YER079W,YIL174W,0.65478516,triple
37,YBR203W,YER079W,YJL017W,0.65478516,triple
38,YBR203W,YER079W,YKL200C,0.65478516,triple
39,YBR203W,YER079W,YLL017W,0.65478516,triple
40,YER079W,YGL087C,YLL017W,0.64208984,triple
41,YER079W,YGL087C,YLR312C-B,0.64208984,triple
42,YER079W,YGL087C,YIL174W,0.64208984,triple
43,YDR155C,YER079W,YIL174W,0.60839844,triple
44,YDR155C,YER079W,YKL200C,0.60839844,triple
45,YDR155C,YER079W,YLL017W,0.60839844,triple
46,YDR155C,YER079W,YLR312C-B,0.60839844,triple
47,YBR158W,YER079W,YIL174W,0.58496094,triple
48,YBR158W,YER079W,YLR312C-B,0.58496094,triple
49,YDR057W,YER079W,YLL012W,0.57470703,triple
50,YBR203W,YDR057W,YPL081W,0.5678711,triple
51,YER079W,YIL174W,YLL005C,0.5541992,triple
52,YER079W,YKL200C,YLL005C,0.5541992,triple
53,YER079W,YLL005C,YLR312C-B,0.5541992,triple
54,YER079W,YJL017W,YLL005C,0.5541992,triple
55,YKL200C,YMR244W,YPL081W,0.54248047,triple
56,YIL174W,YMR244W,YPL081W,0.54248047,triple
57,YJL017W,YMR244W,YPL081W,0.54248047,triple
58,YLR312C-B,YMR244W,YPL081W,0.54248047,triple
59,YDR057W,YKL033W-A,YPL081W,0.5415039,triple
60,YIL174W,YLL005C,YPL081W,0.5371094,triple
61,YJL017W,YLL005C,YPL081W,0.5371094,triple
62,YKL200C,YLL005C,YPL081W,0.5371094,triple
63,YBR203W,YDR057W,YER079W,0.5332031,triple
64,YDR057W,YER079W,YLR104W,0.53222656,triple
65,YDR057W,YGL087C,YPL081W,0.51953125,triple
66,YBR158W,YDR057W,YER079W,0.51904297,triple
67,YER079W,YLR104W,YPR053C,0.5097656,triple
68,YDR057W,YER079W,YJR060W,0.5083008,triple
69,YER079W,YLR312C-B,YMR244W,0.5019531,triple
70,YER079W,YKL200C,YMR244W,0.5019531,triple
71,YER079W,YIL174W,YMR244W,0.5019531,triple
72,YER079W,YJL017W,YMR244W,0.5019531,triple
73,YER079W,YLL017W,YMR244W,0.5019531,triple
74,YDR057W,YER079W,YKR054C,0.4958496,triple
75,YDR155C,YER079W,YPR053C,0.4934082,triple
76,YER079W,YJR060W,YPL046C,0.49145508,triple
77,YDR155C,YER079W,YPL046C,0.49072266,triple
78,YDR057W,YER079W,YLR351C,0.4814453,triple
79,YBR158W,YIL174W,YOR126C,0.48046875,triple
80,YBR158W,YLR312C-B,YOR126C,0.48046875,triple
81,YBR158W,YER079W,YPL046C,0.47875977,triple
82,YBR246W,YER079W,YPL046C,0.4777832,triple
83,YBR203W,YER079W,YPL046C,0.47583008,triple
84,YDR155C,YIL174W,YOR126C,0.4675293,triple
85,YDR155C,YLL017W,YOR126C,0.4675293,triple
86,YDR155C,YLR312C-B,YOR126C,0.4675293,triple
87,YDR155C,YKL200C,YOR126C,0.4675293,triple
88,YER079W,YKR054C,YPR053C,0.46704102,triple
89,YBR158W,YDR057W,YOR126C,0.4663086,triple
90,YER079W,YLL012W,YPL046C,0.46557617,triple
91,YJR060W,YLL012W,YPL046C,0.46435547,triple
92,YDR057W,YER079W,YGL087C,0.46166992,triple
93,YDR057W,YIL174W,YLL012W,0.45532227,triple
94,YDR057W,YLL012W,YLR312C-B,0.45532227,triple
95,YBR203W,YLL012W,YPL046C,0.45288086,triple
96,YER079W,YKL033W-A,YPR053C,0.4506836,triple
97,YDR057W,YKL033W-A,YLL012W,0.44921875,triple
98,YER079W,YLR104W,YPL046C,0.44506836,triple
99,YGL087C,YLL012W,YPL046C,0.44360352,triple
100,YBR203W,YLR351C,YPL046C,0.44262695,triple
101,YDR057W,YER079W,YMR244W,0.43896484,triple
102,YBR203W,YLR104W,YPL046C,0.43847656,triple
103,YBR203W,YKL033W-A,YPL046C,0.43701172,triple
104,YER079W,YMR244W,YPR053C,0.43676758,triple
105,YDR057W,YER079W,YKL033W-A,0.43481445,triple
106,YBR203W,YJR060W,YPL046C,0.43310547,triple
107,YER079W,YMR244W,YPL046C,0.4321289,triple
108,YKL033W-A,YLR104W,YPL046C,0.42773438,triple
109,YBR246W,YER079W,YPR053C,0.4260254,triple
110,YBR203W,YKR054C,YPL046C,0.4248047,triple
111,YBR158W,YLR104W,YPL046C,0.4248047,triple
112,YER079W,YGL087C,YPR053C,0.42456055,triple
113,YER079W,YLR351C,YPL046C,0.42358398,triple
114,YJR060W,YLR104W,YPL046C,0.42260742,triple
115,YBR203W,YJL017W,YOR126C,0.4206543,triple
116,YBR203W,YIL174W,YOR126C,0.4206543,triple
117,YBR203W,YLR312C-B,YOR126C,0.4206543,triple
118,YBR203W,YLL017W,YOR126C,0.4206543,triple
119,YBR203W,YGL087C,YPL046C,0.42041016,triple
120,YIL174W,YJR060W,YPL046C,0.42041016,triple
121,YJR060W,YLR312C-B,YPL046C,0.42041016,triple
122,YBR246W,YLR104W,YPL046C,0.4194336,triple
123,YKR054C,YLR104W,YPL046C,0.4182129,triple
124,YBR246W,YDR057W,YER079W,0.41796875,triple
125,YBR158W,YGL087C,YPL046C,0.4169922,triple
126,YLL012W,YLR312C-B,YPL046C,0.4165039,triple
127,YIL174W,YLL012W,YPL046C,0.4165039,triple
128,YBR203W,YDR057W,YLR351C,0.4128418,triple
129,YGL087C,YLR104W,YPL046C,0.4116211,triple
130,YBR203W,YDR057W,YLL012W,0.41088867,triple
131,YDR057W,YGL087C,YLL012W,0.4091797,triple
132,YBR203W,YDR155C,YPL046C,0.40771484,triple
133,YBR246W,YER079W,YIL174W,0.40698242,triple
134,YBR246W,YER079W,YLR312C-B,0.40698242,triple
135,YBR246W,YER079W,YLL017W,0.40698242,triple
136,YBR203W,YDR057W,YOR126C,0.40649414,triple
137,YBR203W,YLR312C-B,YPL046C,0.40551758,triple
138,YBR203W,YIL174W,YPL046C,0.40551758,triple
139,YBR203W,YLL017W,YPL046C,0.40551758,triple
140,YBR203W,YKL200C,YPL046C,0.40551758,triple
141,YBR203W,YJL017W,YPL046C,0.40551758,triple
142,YBR158W,YLR312C-B,YPL046C,0.40527344,triple
143,YBR158W,YIL174W,YPL046C,0.40527344,triple
144,YDR155C,YOR126C,YPL046C,0.40429688,triple
145,YGL087C,YKR054C,YPL046C,0.40307617,triple
146,YGL087C,YKL033W-A,YPL046C,0.4020996,triple
147,YBR203W,YDR057W,YKL033W-A,0.40063477,triple
148,YDR155C,YLL017W,YPL046C,0.3984375,triple
149,YDR155C,YKL200C,YPL046C,0.3984375,triple
150,YDR155C,YIL174W,YPL046C,0.3984375,triple
151,YDR155C,YJL017W,YPL046C,0.3984375,triple
152,YDR155C,YLR312C-B,YPL046C,0.3984375,triple
153,YER079W,YKL033W-A,YPL046C,0.39746094,triple
154,YBR203W,YDR057W,YKL200C,0.3955078,triple
155,YBR203W,YDR057W,YLL017W,0.3955078,triple
156,YBR203W,YDR057W,YIL174W,0.3955078,triple
157,YER079W,YGL087C,YPL046C,0.3955078,triple
158,YBR203W,YDR057W,YJL017W,0.3955078,triple
159,YBR203W,YDR057W,YLR312C-B,0.3955078,triple
160,YGL087C,YLR351C,YPL046C,0.39526367,triple
161,YBR246W,YDR057W,YPL046C,0.39111328,triple
162,YBR158W,YDR057W,YPL046C,0.39086914,triple
163,YBR246W,YGL087C,YPL046C,0.39038086,triple
164,YBR203W,YDR057W,YKR054C,0.39013672,triple
165,YDR155C,YGL087C,YPL046C,0.38989258,triple
166,YDR057W,YIL174W,YKR054C,0.38964844,triple
167,YDR057W,YKR054C,YLR312C-B,0.38964844,triple
168,YDR057W,YJL017W,YKR054C,0.38964844,triple
169,YBR158W,YDR057W,YKL033W-A,0.38916016,triple
170,YER079W,YKR054C,YPL046C,0.38793945,triple
171,YBR158W,YDR057W,YLR312C-B,0.38671875,triple
172,YBR158W,YDR057W,YIL174W,0.38671875,triple
173,YDR057W,YKL033W-A,YLR104W,0.38623047,triple
174,YDR155C,YLR104W,YPL046C,0.38598633,triple
175,YBR203W,YDR057W,YLR104W,0.38427734,triple
176,YBR246W,YIL174W,YPL046C,0.38378906,triple
177,YBR246W,YLL017W,YPL046C,0.38378906,triple
178,YBR246W,YJL017W,YPL046C,0.38378906,triple
179,YBR246W,YKL200C,YPL046C,0.38378906,triple
180,YBR246W,YLR312C-B,YPL046C,0.38378906,triple
181,YKL200C,YLR104W,YPL046C,0.37963867,triple
182,YIL174W,YLR104W,YPL046C,0.37963867,triple
183,YJL017W,YLR104W,YPL046C,0.37963867,triple
