index,gene,mutant_type,SmfCostanzo2016_fitness,SmfCostanzo2016_std,SmfCostanzo2016_strain_id,SmfKuzmin2018_fitness,SmfKuzmin2018_std,SmfKuzmin2018_strain_id,SmfKuzmin2020_fitness,SmfKuzmin2020_std,SmfKuzmin2020_strain_id
1,YBR203W,single,1.037,0.0458,YBR203W_sn3868,1.0411,,YBR203W+YDL227C_tm3186,,,
2,YDR057W,single,1.0435,0.0535,YDR057W_sn190,,,,,,
3,YER079W,single,1.0387,0.1173,YER079W_sn3579,,,,,,
4,YGL087C,single,0.996,0.094,YGL087C_sn1674,0.9852,,YGL087C_dma1665,,,
5,YIL174W,single,1.0915,0.0697,YIL174W_sn3244,,,,,,
6,YJR060W,single,0.59,0.1138,YJR060W_sn154,0.7523,,YJR060W_dma2646,,,
7,YKL033W-A,single,1.0327,0.1008,YKL033W-A_sn629,,,,,,
8,YLL012W,single,0.9925,0.0804,YLL012W_sn3009,,,,0.96932,0.0045,tm550
9,YLR104W,single,1.0322,0.0453,YLR104W_sn3294,,,,,,
10,YLR312C-B,single,1.0845,0.0441,YLR312C-B_sn4563,,,,,,
11,YPL046C,single,1.0433,0.0643,YPL046C_sn2054,0.9829,,YDL227C+YPL046C_tm3039,,,
12,YPL081W,single,0.955,0.1553,YPL081W_sn4103,,,,,,
