index,gene1,gene2,mutant_type,DmfCostanzo2016_fitness,DmfCostanzo2016_std,DmfCostanzo2016_strain_id,DmiCostanzo2016_gene_interaction,DmiCostanzo2016_gene_interaction_p_value,DmiCostanzo2016_strain_id,DmfKuzmin2018_fitness,DmfKuzmin2018_std,DmfKuzmin2018_strain_id,DmiKuzmin2018_gene_interaction,DmiKuzmin2018_gene_interaction_p_value,DmiKuzmin2018_strain_id,DmfKuzmin2020_fitness,DmfKuzmin2020_std,DmfKuzmin2020_strain_id,DmiKuzmin2020_gene_interaction,DmiKuzmin2020_gene_interaction_p_value,DmiKuzmin2020_strain_id
40,YIL174W,YKL033W-A,double,1.1734,0.0721,YIL174W_sn3244,0.0463,0.2705,YIL174W_sn3244,,,,,,,,,,,,
41,YIL174W,YLL012W,double,1.1051,0.0105,YIL174W_sn3244,0.0218,0.08606,YIL174W_sn3244,,,,,,,,,,,,
42,YIL174W,YLR104W,double,1.0923,0.1486,YIL174W_sn3244,-0.0344,0.3926,YIL174W_sn3244,,,,,,,,,,,,
43,YIL174W,YLR312C-B,double,,,,,,,,,,,,,,,,,,
44,YIL174W,YPL046C,double,1.1466,0.0851,YIL174W_sn3244,0.0078,0.4666,YIL174W_sn3244,,,,,,,,,,,,
45,YIL174W,YPL081W,double,1.0161,0.1288,YIL174W_sn3244,-0.0263,0.4056,YIL174W_sn3244,,,,,,,,,,,,
46,YJR060W,YKL033W-A,double,0.8712,0.0234,YJR060W_dma2646,-0.082,0.006994,YJR060W_dma2646,,,,,,,,,,,,
47,YJR060W,YLL012W,double,0.6049,0.0226,YJR060W_sn154,0.0193,0.2491,YJR060W_sn154,,,,,,,1.1185,0.0846,YJR060W_dma2646,0.077474,0.2129,YJR060W_dma2646
48,YJR060W,YLR104W,double,0.9532,0.0634,YJR060W_dma2646,0.0005,0.4973,YJR060W_dma2646,,,,,,,,,,,,
49,YJR060W,YLR312C-B,double,1.0248,0.0142,YJR060W_dma2646,0.0238,0.133,YJR060W_dma2646,,,,,,,,,,,,
50,YJR060W,YPL046C,double,0.9663,0.0178,YJR060W_dma2646,0.0033,0.4526,YJR060W_dma2646,0.7376,0.0601,YJR060W_dma2646,-0.001821,0.4901,YJR060W_dma2646,,,,,,
51,YJR060W,YPL081W,double,0.9106,0.0334,YJR060W_dma2646,0.0292,0.2614,YJR060W_dma2646,,,,,,,,,,,,
52,YKL033W-A,YLL012W,double,0.999,0.0455,YKL033W-A_sn629,-0.026,0.3016,YKL033W-A_sn629,,,,,,,,,,,,
53,YKL033W-A,YLR104W,double,0.9849,0.1511,YKL033W-A_sn629,-0.081,0.2402,YKL033W-A_sn629,,,,,,,,,,,,
54,YKL033W-A,YLR312C-B,double,1.1251,0.0241,YKL033W-A_dma2769,0.0051,0.4409,YKL033W-A_dma2769,,,,,,,,,,,,
55,YKL033W-A,YPL046C,double,1.0585,0.0365,YKL033W-A_dma2769,-0.0189,0.3391,YKL033W-A_dma2769,,,,,,,,,,,,
56,YKL033W-A,YPL081W,double,0.8924,0.0778,YKL033W-A_dma2769,-0.0939,0.1345,YKL033W-A_dma2769,,,,,,,,,,,,
57,YLL012W,YLR104W,double,,,,,,,,,,,,,,,,,,
58,YLL012W,YLR312C-B,double,1.0662,0.0353,YLL012W_dma3027,-0.0102,0.4112,YLL012W_dma3027,,,,,,,,,,,,
59,YLL012W,YPL046C,double,1.0251,0.0534,YLL012W_dma3027,-0.0104,0.4293,YLL012W_dma3027,,,,,,,,,,,,
60,YLL012W,YPL081W,double,0.9612,0.0663,YLL012W_dma3027,0.0134,0.4321,YLL012W_dma3027,,,,,,,,,,,,
61,YLR104W,YLR312C-B,double,1.1089,0.0084,YLR104W_dma3202,-0.0106,0.2121,YLR104W_dma3202,,,,,,,,,,,,
62,YLR104W,YPL046C,double,1.0921,0.0212,YLR104W_dma3202,0.0152,0.3115,YLR104W_dma3202,,,,,,,,,,,,
63,YLR104W,YPL081W,double,0.9903,0.0363,YLR104W_dma3202,0.0046,0.4616,YLR104W_dma3202,,,,,,,,,,,,
64,YLR312C-B,YPL046C,double,1.1129,0.0877,YLR312C-B_sn4563,-0.0186,0.4088,YLR312C-B_sn4563,,,,,,,,,,,,
65,YLR312C-B,YPL081W,double,1.0165,0.0418,YLR312C-B_sn4563,-0.0192,0.3554,YLR312C-B_sn4563,,,,,,,,,,,,
66,YPL046C,YPL081W,double,,,,,,,,,,,,,,,,,,
