gene1,gene2,gene3,prediction
YIL174W,YKL033W-A,YPL081W,0.71142578125
YJL017W,YKL033W-A,YPL081W,0.71142578125
YKL033W-A,YLR312C-B,YPL081W,0.71142578125
YIL174W,YLR104W,YPL081W,0.701171875
YJL017W,YLR104W,YPL081W,0.701171875
YKL200C,YLR104W,YPL081W,0.701171875
YLR104W,YLR312C-B,YPL081W,0.701171875
YBR203W,YJL017W,YPL081W,0.69873046875
YBR203W,YLR312C-B,YPL081W,0.69873046875
YER079W,YIL174W,YLR104W,0.68408203125
YER079W,YJL017W,YLR104W,0.68408203125
YER079W,YKL200C,YLR104W,0.68408203125
YER079W,YLR104W,YLR312C-B,0.68408203125
YDR155C,YIL174W,YPL081W,0.66796875
YDR155C,YKL200C,YPL081W,0.66796875
YDR155C,YLR312C-B,YPL081W,0.66796875
YER079W,YIL174W,YKL033W-A,0.65625
YER079W,YJL017W,YKL033W-A,0.65625
YER079W,YKL033W-A,YLR312C-B,0.65625
YER079W,YKL033W-A,YKL200C,0.65625
YBR203W,YER079W,YLR312C-B,0.65478515625
YBR203W,YER079W,YIL174W,0.65478515625
YBR203W,YER079W,YJL017W,0.65478515625
YBR203W,YER079W,YKL200C,0.65478515625
YDR155C,YER079W,YLR312C-B,0.6083984375
YDR155C,YER079W,YIL174W,0.6083984375
YDR155C,YER079W,YKL200C,0.6083984375
YER079W,YIL174W,YLL005C,0.55419921875
YER079W,YJL017W,YLL005C,0.55419921875
YER079W,YKL200C,YLL005C,0.55419921875
YER079W,YLL005C,YLR312C-B,0.55419921875
YIL174W,YMR244W,YPL081W,0.54248046875
YJL017W,YMR244W,YPL081W,0.54248046875
YKL200C,YMR244W,YPL081W,0.54248046875
YLR312C-B,YMR244W,YPL081W,0.54248046875
YIL174W,YLL005C,YPL081W,0.537109375
YJL017W,YLL005C,YPL081W,0.537109375
YKL200C,YLL005C,YPL081W,0.537109375
YER079W,YIL174W,YMR244W,0.501953125
YER079W,YJL017W,YMR244W,0.501953125
YER079W,YKL200C,YMR244W,0.501953125
YER079W,YLR312C-B,YMR244W,0.501953125
