gene,role,SmfCostanzo2016_fitness,SmfCostanzo2016_std,SmfCostanzo2016_strain_id,SmfKuzmin2018_fitness,SmfKuzmin2018_std,SmfKuzmin2018_strain_id,SmfKuzmin2020_fitness,SmfKuzmin2020_std,SmfKuzmin2020_strain_id
YLR312C-B,merged small ORF (model node),1.0845,0.0441,YLR312C-B_sn4563,,,,,,
YLR313C,SPH1 (authentic gene),0.9843,0.0271,YLR313C_sn572,,,,,,
