index,gene,mutant_type
1,YBR158W,single
2,YBR203W,single
3,YBR246W,single
4,YDR057W,single
5,YDR155C,single
6,YER079W,single
7,YGL087C,single
8,YIL174W,single
9,YJL017W,single
10,YJR060W,single
11,YKL033W-A,single
12,YKL200C,single
13,YKR054C,single
14,YLL005C,single
15,YLL012W,single
16,YLL017W,single
17,YLR104W,single
18,YLR312C-B,single
19,YLR351C,single
20,YMR244W,single
21,YOR126C,single
22,YPL046C,single
23,YPL081W,single
24,YPR053C,single
