index,gene1,gene2,mutant_type
1,YBR203W,YDR057W,double
2,YBR203W,YER079W,double
3,YBR203W,YGL087C,double
4,YBR203W,YIL174W,double
5,YBR203W,YJR060W,double
6,YBR203W,YKL033W-A,double
7,YBR203W,YLL012W,double
8,YBR203W,YLR104W,double
9,YBR203W,YLR312C-B,double
10,YBR203W,YPL046C,double
11,YBR203W,YPL081W,double
12,YDR057W,YER079W,double
13,YDR057W,YGL087C,double
14,YDR057W,YIL174W,double
15,YDR057W,YJR060W,double
16,YDR057W,YKL033W-A,double
17,YDR057W,YLL012W,double
18,YDR057W,YLR104W,double
19,YDR057W,YLR312C-B,double
20,YDR057W,YPL046C,double
21,YDR057W,YPL081W,double
22,YER079W,YGL087C,double
23,YER079W,YIL174W,double
24,YER079W,YJR060W,double
25,YER079W,YKL033W-A,double
26,YER079W,YLL012W,double
27,YER079W,YLR104W,double
28,YER079W,YLR312C-B,double
29,YER079W,YPL046C,double
30,YER079W,YPL081W,double
31,YGL087C,YIL174W,double
32,YGL087C,YJR060W,double
33,YGL087C,YKL033W-A,double
34,YGL087C,YLL012W,double
35,YGL087C,YLR104W,double
36,YGL087C,YLR312C-B,double
37,YGL087C,YPL046C,double
38,YGL087C,YPL081W,double
39,YIL174W,YJR060W,double
40,YIL174W,YKL033W-A,double
41,YIL174W,YLL012W,double
42,YIL174W,YLR104W,double
43,YIL174W,YLR312C-B,double
44,YIL174W,YPL046C,double
45,YIL174W,YPL081W,double
46,YJR060W,YKL033W-A,double
47,YJR060W,YLL012W,double
48,YJR060W,YLR104W,double
49,YJR060W,YLR312C-B,double
50,YJR060W,YPL046C,double
51,YJR060W,YPL081W,double
52,YKL033W-A,YLL012W,double
53,YKL033W-A,YLR104W,double
54,YKL033W-A,YLR312C-B,double
55,YKL033W-A,YPL046C,double
56,YKL033W-A,YPL081W,double
57,YLL012W,YLR104W,double
58,YLL012W,YLR312C-B,double
59,YLL012W,YPL046C,double
60,YLL012W,YPL081W,double
61,YLR104W,YLR312C-B,double
62,YLR104W,YPL046C,double
63,YLR104W,YPL081W,double
64,YLR312C-B,YPL046C,double
65,YLR312C-B,YPL081W,double
66,YPL046C,YPL081W,double
