region,bp,frac_of_genome,n_variants,n_snps,n_indels,variants_per_kb,pi,pi_percent
cds,8639057,0.7156676076845244,1096121,1018993,77128,126.87970457886782,0.004123596171616239,0.41235961716162395
upstream_1000,2384587,0.1975414299970028,489043,393874,95169,205.08498956003703,0.007877728309806868,0.7877728309806868
downstream_297,409531,0.03392593324047416,84370,66328,18042,206.01615018154914,0.008427004782743145,0.8427004782743145
intergenic_other,638151,0.05286502907799855,84413,64661,19752,132.2774703792676,0.00652433735822362,0.652433735822362
