strain,volume_nl,placed,no_colony
BY4741,2.5,11,0
BY4741,5.0,11,0
COS111,2.5,11,1
COS111,5.0,11,0
ELC1,2.5,11,2
ELC1,5.0,11,0
LCL1,2.5,11,2
LCL1,5.0,11,1
MMS2,2.5,11,1
MMS2,5.0,11,0
SPH1,2.5,11,4
SPH1,5.0,11,1
YEH1,2.5,11,6
YEH1,5.0,11,0
YER079W,2.5,11,1
YER079W,5.0,11,3
YJR060W,2.5,11,0
YJR060W,5.0,11,0
YKL033W-A,2.5,11,4
YKL033W-A,5.0,11,4
YLR312C-B,2.5,11,0
YLR312C-B,5.0,11,0
YOS9,2.5,11,1
YOS9,5.0,11,0
YPL081W,2.5,11,0
YPL081W,5.0,11,0
