group,n_instances,n_offgrid,occupied_cp,occupied_cl,multi_cp,multi_cl,size_pearson,size_spearman,wt_cv_cp,wt_cv_cl,wt_median_norm
P1_t44,292,1,281,284,2,16,0.4677043299292304,0.4739472171670935,0.128285332942003,0.2391186885534428,1.1238816479778129
P2_t44,372,1,350,363,3,2,0.6677221569902181,0.7299017132074569,0.11216987204182287,0.13781635583599006,1.2477394524045478
P1_t50,293,0,281,297,1,3,0.7915230703219351,0.7912819521979467,0.1191939686100398,0.13001586682545918,1.0895820309677464
P2_t50,368,1,354,363,3,0,0.8645383128029347,0.8765463173633249,0.10683644183528883,0.12327836721267821,1.2039101879372676
P1_t72,305,5,283,297,1,2,0.6847748278256505,0.6878334576672204,0.12645960625114483,0.1668512673848771,1.051541151434958
P2_t72,388,2,357,353,2,16,0.12228987131603279,0.1181675937607456,0.09762925424954863,0.34911772786713213,1.141458729299323
