plates,se_strain,callable_gap,se_epsilon,r_attenuation,gain_vs_prev_plate
2,0.10415381514265389,0.29163068239943085,0.1629733322663164,0.6516189283223851,
3,0.0850412339545553,0.23811545507275483,0.1330671685778456,0.7248257621952141,0.019112581188098582
4,0.07364786897382068,0.2062140331266979,0.1152395483980807,0.7720778929496172,0.011393364980734622
5,0.06587265656938428,0.18444343839427596,0.10307338556579416,0.8052879175521194,0.007775212404436405
6,0.060133233209737735,0.16837305298726565,0.09409269725468809,0.8299667207452065,0.005739423359646542
8,0.05207690757132694,0.14581534119971543,0.0814866661331582,0.8642621329954224,0.004028162819205396
10,0.0465790021549842,0.13042120603395577,0.07288388989342866,0.8869991482926217,0.002748952708171371
12,0.04252061697727765,0.11905772753637742,0.0665335842889228,0.9031935169050944,0.0020291925888532743
16,0.03682393448691034,0.10310701656334895,0.05761977419904035,0.9247415369417396,0.0014241706225918277
