row,col,size,circularity,flags,cx,cy,strain,volume_nl,well,is_missing,is_flagged,is_blank,is_reference,size_rc,size_spatial,norm,is_capped,is_jackknife,status
2,2,478,1.0,,346.0020920502092,546.1966527196653,YLR312C-B,2.5,B2,False,False,False,True,554.2601368778198,604.5019888292103,1.5090840173564173,False,False,OK
2,3,368,1.0,,390.5869565217391,543.6005434782609,ELC1,2.5,B3,False,False,False,True,429.02352829458215,423.19162106141727,1.0564592398774895,False,False,OK
2,4,365,1.0,,438.21643835616436,543.386301369863,YOS9,2.5,B4,False,False,False,True,438.60087676369164,436.4742268389458,1.089618052351434,False,False,OK
2,5,371,1.0,,486.7601078167116,545.2803234501348,YPL081W,2.5,B5,False,False,False,True,465.30685131195344,463.0507117719966,1.1559638202580997,False,False,OK
2,6,347,1.0,,534.9769452449568,541.8011527377522,ELC1,2.5,B6,False,False,False,True,400.7401490620308,379.61344028296537,0.9476702907367276,False,False,OK
2,7,429,1.0,,586.5431235431236,546.4825174825174,YLR312C-B,2.5,B7,False,False,False,True,449.02976272453617,446.85254612124766,1.1155265787837079,False,False,OK
2,8,333,1.0,,633.3873873873874,539.5585585585586,YJR060W,2.5,B8,False,False,False,True,374.0288631389302,390.03944483839734,0.9736978590991748,False,False,OK
2,9,0,,,684.071642803531,543.6106237484078,Blank_media,2.5,B9,True,False,True,False,0.0,0.0,,False,False,MISS;BLANK
2,10,284,1.0,,728.2640845070423,543.0704225352113,ELC1,2.5,B10,False,False,False,True,324.93025606469,338.29006819805664,0.8445102656102813,False,False,OK
2,11,0,,,791.6470588235294,559.5294117647059,LCL1,2.5,B11,True,False,False,False,0.0,0.0,,False,False,MISS
2,12,417,1.0,,827.6019184652279,544.7697841726618,YOS9,2.5,B12,False,False,False,True,515.4855179384701,558.2730668008338,1.39367773472738,False,True,JK
2,13,0,,,879.0125490623425,544.108656875648,LCL1,5.0,B13,True,False,False,False,0.0,0.0,,False,False,MISS
2,14,524,1.0,,925.3988549618321,540.4599236641221,BY4741,5.0,B14,False,False,False,True,466.7064617479478,473.3001896145496,1.181550705800697,False,False,OK
2,15,533,1.0,,973.328330206379,541.5647279549719,BY4741,5.0,B15,False,False,False,True,507.28080796937235,511.4103093459916,1.276689139832396,False,False,OK
2,16,311,1.0,,1020.2186495176849,546.7106109324759,YER079W,5.0,B16,False,False,False,True,299.9750870269421,300.1282755241281,0.7492428347959793,False,False,OK
2,17,410,1.0,,1072.6609756097562,543.9170731707317,LCL1,5.0,B17,False,False,False,True,398.59352490596495,374.66662936922,0.9353210289894242,False,False,OK
2,18,479,1.0,,1119.901878914405,546.419624217119,COS111,5.0,B18,False,False,False,True,449.423555364822,435.6248302050722,1.0874976112143295,False,False,OK
2,19,438,1.0,,1169.8721461187215,547.716894977169,YEH1,5.0,B19,False,False,False,True,430.1893530997304,416.98117880798657,1.040955437874259,False,False,OK
2,20,371,1.0,,1214.787061994609,546.4258760107816,COS111,5.0,B20,False,False,False,True,432.5210027100271,441.5294685099882,1.1022380015833952,False,False,OK
2,21,358,1.0,,1267.7625698324023,541.2849162011173,YJR060W,5.0,B21,False,False,False,True,381.2073970537216,363.5656242770912,0.9076083834221707,False,False,OK
2,22,296,1.0,,1315.3817567567567,547.4324324324324,SPH1,5.0,B22,False,False,False,True,312.4811006564913,306.85605896932884,0.7660381318454584,False,False,OK
2,23,548,1.0,,1362.4087591240875,542.8613138686131,BY4741,5.0,B23,False,False,False,True,519.2593953714809,530.0744320406909,1.323282417897702,False,False,OK
3,2,362,1.0,,341.21270718232046,594.6132596685082,ELC1,2.5,C2,False,False,False,True,361.31913183782467,373.7585330094062,0.9330540493464479,False,False,OK
3,3,305,1.0,,391.88196721311476,594.7081967213114,YEH1,2.5,C3,False,False,False,True,306.07634762542517,284.5120234559715,0.7102582874453461,False,False,OK
3,4,313,1.0,,439.0543130990415,594.0287539936103,COS111,2.5,C4,False,False,False,True,323.75583772958817,320.9982938201897,0.8013429298072808,False,False,OK
3,5,431,1.0,,486.32714617169376,589.7795823665894,BY4741,2.5,C5,False,False,False,True,465.3068513119533,462.863713235855,1.1554969954876688,False,False,OK
3,6,375,1.0,,536.168,596.976,YER079W,2.5,C6,False,False,False,True,372.7874538687927,368.55031617981933,0.9200522115995139,False,False,OK
3,7,261,1.0,,586.9272030651341,589.9463601532567,YJR060W,2.5,C7,False,False,False,True,235.15541433095666,233.2463967786003,0.5822783315672535,False,False,OK
3,8,0,,,635.2117083375863,592.299477381648,YEH1,2.5,C8,True,False,False,False,0.0,0.0,,False,False,MISS
3,9,461,1.0,,682.0043383947939,590.1366594360087,BY4741,2.5,C9,False,False,False,True,593.7715343488347,658.8145929805647,1.644670474275373,False,True,JK
3,10,352,1.0,,731.8210227272727,595.4573863636364,SPH1,2.5,C10,False,False,False,True,346.6658932714617,358.8829857325571,0.8959186038727273,False,False,OK
3,11,380,1.0,,777.35,595.128947368421,YPL081W,2.5,C11,False,False,False,True,359.4248725083192,365.59503958729726,0.9126746334359082,False,False,OK
3,12,339,1.0,,825.5457227138643,594.47197640118,YPL081W,2.5,C12,False,False,False,True,360.7254230338427,362.1640514248953,0.9041094847758553,False,False,OK
3,13,478,1.0,,874.1380753138076,595.7803347280335,MMS2,5.0,C13,False,False,False,True,458.5607606121442,459.7097950608553,1.1476235267515937,False,False,OK
3,14,471,1.0,,923.5562632696391,593.7409766454352,MMS2,5.0,C14,False,False,False,True,361.1021494141891,357.9051861081407,0.8934776163943539,False,False,OK
3,15,480,1.0,,973.9375,594.03125,COS111,5.0,C15,False,False,False,True,393.24127877132815,369.77396879264404,0.9231069486143361,False,False,OK
3,16,593,1.0,,1025.5649241146712,596.7015177065767,YLR312C-B,5.0,C16,False,False,False,True,492.3524822344532,493.446986257905,1.2318453439941992,False,False,OK
3,17,542,1.0,,1070.0664206642066,591.0258302583026,BY4741,5.0,C17,False,False,False,True,453.56789754479786,453.799521394916,1.1328690682183042,False,False,OK
3,18,456,1.0,,1121.9320175438597,595.7565789473684,YKL033W-A,5.0,C18,False,False,False,True,368.2831081884587,346.17569573199233,0.8641960147032428,False,False,OK
3,19,435,1.0,,1167.3816091954022,594.7977011494253,YPL081W,5.0,C19,False,False,False,True,367.76588770937286,340.9288473301289,0.8510977367636128,False,False,OK
3,20,310,1.0,,1218.3290322580644,593.4612903225807,MMS2,5.0,C20,False,False,False,True,311.093992668465,292.4195461469283,0.7299986957985396,False,False,OK
3,21,338,1.0,,1268.6479289940828,597.612426035503,SPH1,5.0,C21,False,False,False,True,309.8072896326756,287.19967152692396,0.7169677554423143,False,False,OK
3,22,431,1.0,,1315.3573085846867,592.5034802784223,ELC1,5.0,C22,False,False,False,True,391.65705521472387,384.6067495865574,0.960135631468463,False,False,OK
3,23,567,1.0,,1367.283950617284,596.8183421516754,YLR312C-B,5.0,C23,False,False,False,True,462.4699334096507,470.9008920989707,1.1755610786356059,False,False,OK
4,2,338,1.0,,338.5562130177515,642.8668639053254,MMS2,2.5,D2,False,False,False,True,369.9847362537122,367.89352581929086,0.9184125944367202,False,False,OK
4,3,274,1.0,,389.17518248175185,644.7189781021898,MMS2,2.5,D3,False,False,False,True,301.55408331437,277.65121994665395,0.6931309179520109,False,False,OK
4,4,393,1.0,,435.7226463104326,643.175572519084,MMS2,2.5,D4,False,False,False,True,445.81075418994413,443.2909634807946,1.1066354129339289,False,False,OK
4,5,0,,,482.0,658.0,SPH1,2.5,D5,True,False,False,False,0.0,0.0,,False,False,MISS
