reference,n,pearson_r,pearson_p,spearman_rho,spearman_p,our_boot_se,our_mean_sd,our_mean_se,ref_mean_sd
Costanzo2016,12,0.6045425090028163,0.03731913953128297,0.5244755244755246,0.08001937592027475,0.03093528432120256,0.14138686371218315,0.027762790979004748,0.08149166666666667
Kuzmin2018,4,0.803367954964408,0.19663204503559184,0.39999999999999997,0.6,,,,
