strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YER079W,29,21,0.7431843426777637,0.8158473212231047,0.23626544027723276,0.5641569724991329,0.17935091987099586,-0.8258314571972577,5.482164854612142e-07,0,
COS111,29,23,0.8508083759216909,0.8664851602732747,0.30967466616507594,0.6458552070774765,0.2350764300198922,-0.6307173284899328,4.352541740404209e-06,0,
YJR060W,29,23,0.8796499555675564,0.8501368644257055,0.15309911843714322,0.6677490728665181,0.11621872285223155,-0.5826220271296431,1.1749958500577004e-08,0,
YPL081W,29,25,0.9007494325876069,0.8749331016641865,0.20158776003452253,0.6837658487771321,0.15302682505956497,-0.5484257268546638,3.919908900829528e-08,0,
YKL033W-A,29,29,0.9092385045676675,0.964486148263262,0.20210742422660166,0.6902099688595633,0.15342130615999186,-0.5348927837908486,2.5259381170307637e-06,0,
YEH1,29,27,0.92558209693515,0.9756465145209235,0.2267435065204282,0.7026165160112122,0.17212274643932637,-0.5091906053076953,8.744570874272216e-06,0,
LCL1,29,25,0.9609067716469446,0.9383549172349612,0.19316314219301242,0.7294317493194353,0.1466316326113445,-0.4551550989577311,4.306868449737142e-07,0,
SPH1,29,25,0.9703762665646798,0.9700321233876441,0.2077949984861588,0.7366201160234979,0.157738787693005,-0.4410072992094798,3.924996356943576e-06,0,
ELC1,29,23,1.044331993668944,1.0742218682643665,0.1849381841192429,0.7927604794652021,0.14038800343434765,-0.3350430515111948,0.0006582161339323836,1,
MMS2,29,25,1.0448196300994104,1.026524330453846,0.29096960357646934,0.7931306480445091,0.22087727259096535,-0.3343695621724958,0.0007034595590541695,0,
YOS9,29,28,1.1114214244205127,1.1384996330354122,0.24065012832597213,0.8436885843323227,0.18267937042206253,-0.24521751390058577,0.009291376835912935,0,
YLR312C-B,29,27,1.182956347439395,1.2006002641177247,0.2778219268666089,0.8979912967022864,0.21089676969002047,-0.15522663239899995,0.23259597401867171,0,
BY4741,30,27,1.3173360942178305,1.2893972016571291,0.19421419514450614,1.0,0.1474294950217856,0.0,,0,wild-type reference
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
