strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YER079W,29,25,0.8833853108270912,0.8333892596720857,0.2720959355922371,0.726498870088542,0.22377255693595885,-0.4609675408268023,5.393312020600081e-07,0,
COS111,29,24,0.9076145381055194,0.9184996651830583,0.2968489815682642,0.7464250631383402,0.24412954013731678,-0.4219306656934984,2.8320458091433384e-05,0,
YPL081W,29,29,0.908363480492798,0.8599914513841478,0.2195374007532414,0.7470409957234201,0.1805482518608731,-0.42074067823964983,3.8803859120006774e-08,0,
YJR060W,29,29,0.9205329512122234,0.8910629958285058,0.10616698643960787,0.7570492068843692,0.08731206501143385,-0.40154101895525046,8.623000498448262e-10,0,
LCL1,29,27,0.9614719662319686,0.9393036072060988,0.13010051921841131,0.7907175821560113,0.10699507797069184,-0.33876559055185734,6.304437131791353e-08,1,
YEH1,29,29,0.9624344806733838,1.0015472793099098,0.17292329321620623,0.7915091570730509,0.14221266257635712,-0.3373220537005721,2.7616219160236716e-05,0,
SPH1,29,26,0.9907777579366357,0.9921634908906036,0.1822183122491362,0.8148187578259541,0.14985691559042708,-0.2954489021253062,5.128340399105947e-05,1,
YKL033W-A,29,29,1.0088082409125574,0.9824572793591696,0.1586118032395641,0.8296470839805893,0.13044284801199754,-0.26943032284597396,7.45174414504772e-06,0,
MMS2,29,27,1.063937222768708,1.024736050319199,0.2285327704480955,0.8749853328021894,0.18794607231276803,-0.19266926133770668,0.0018802666187619714,0,
ELC1,29,25,1.0659860275494957,1.0931519700643708,0.14636629436776272,0.8766702763257358,0.12037210283434285,-0.1898937609451939,0.010442622855409305,1,
YLR312C-B,29,29,1.0827637324970045,1.1176030984613687,0.20340944714319736,0.8904683138724909,0.1672845718665033,-0.16736381902631678,0.04295762352779751,0,
YOS9,29,29,1.0856089455494464,1.0987440626931178,0.1767204416017124,0.8928082260743645,0.14533544940314502,-0.16357777508807247,0.01915385570676847,0,
BY4741,30,30,1.2159486369461643,1.207534407810802,0.14915444017587268,1.0,0.12266508275421212,0.0,,0,wild-type reference
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
