group,plate,volume_nl,hours,strain,fitness,fitness_sd,n_used,n_total,pvalue
P1_t44,P1,2.5,43.71,BY4741,1.0,0.20326453430694255,30,30,
P1_t44,P1,2.5,43.71,COS111,0.9914270052198115,0.30095407468195984,14,29,0.8897765376601143
P1_t44,P1,2.5,43.71,ELC1,0.9940760925390238,0.26567906309860345,20,29,0.2308864475031399
P1_t44,P1,2.5,43.71,LCL1,0.8402707639958018,0.145771802286968,20,29,0.002367722764804781
P1_t44,P1,2.5,43.71,MMS2,0.9356622910842854,0.2155105234302844,22,29,0.9926110185110609
P1_t44,P1,2.5,43.71,SPH1,0.8578726708558613,0.1565667038013791,22,29,0.005311398759984665
P1_t44,P1,2.5,43.71,YEH1,0.7439888849382498,0.11643139151222881,19,29,6.667208970295072e-06
P1_t44,P1,2.5,43.71,YER079W,0.8235531406431286,0.23988157971015253,15,29,0.01771119063652182
P1_t44,P1,2.5,43.71,YJR060W,0.5928065590166327,0.21279840567438588,25,29,8.339532002117187e-07
P1_t44,P1,2.5,43.71,YKL033W-A,0.7538229764562766,0.25649600654781035,21,29,0.0007825617607064426
P1_t44,P1,2.5,43.71,YLR312C-B,1.024373178117356,0.24853013144119548,26,29,0.61631590621979
P1_t44,P1,2.5,43.71,YOS9,0.922013469565412,0.1972035710639672,26,29,0.16506587415504836
P1_t44,P1,2.5,43.71,YPL081W,0.8467605353420626,0.23942778056959163,23,29,0.0022148202464594806
P2_t44,P2,5.0,43.71,BY4741,1.0,0.10442551258299719,30,30,
P2_t44,P2,5.0,43.71,COS111,0.7535026684151509,0.20383900155687718,24,29,2.7135140089621705e-06
P2_t44,P2,5.0,43.71,ELC1,0.8992999165822717,0.1177060883365553,25,29,0.015283411524089517
P2_t44,P2,5.0,43.71,LCL1,0.8213156515103475,0.07942133825935935,25,29,1.2763192241467093e-07
P2_t44,P2,5.0,43.71,MMS2,0.8943612593163823,0.20044782577265058,27,29,0.013540188600429822
P2_t44,P2,5.0,43.71,SPH1,0.8427570781630325,0.1268800816165933,26,29,1.109235295428405e-05
P2_t44,P2,5.0,43.71,YEH1,0.8344205721607064,0.13006703469208608,29,29,0.00017502023923129218
P2_t44,P2,5.0,43.71,YER079W,0.7282279772976562,0.15437126262427447,24,29,8.656146919199054e-08
P2_t44,P2,5.0,43.71,YJR060W,0.7585829175125779,0.10128091505646179,29,29,2.663956936009748e-09
P2_t44,P2,5.0,43.71,YKL033W-A,0.8089700936510523,0.121195817416601,29,29,3.943275207341399e-07
P2_t44,P2,5.0,43.71,YLR312C-B,0.8980449967277007,0.15156095307021997,29,29,0.017651579977284292
P2_t44,P2,5.0,43.71,YOS9,0.9068895795545713,0.15509170636162856,29,29,0.11658668150013213
P2_t44,P2,5.0,43.71,YPL081W,0.7334852421552186,0.1748004701894853,29,29,5.550250790234591e-09
P1_t50,P1,2.5,50.3,BY4741,1.0,0.16329956958926825,30,30,
P1_t50,P1,2.5,50.3,COS111,0.940666509925984,0.1843608034723913,13,29,0.7409816402531031
P1_t50,P1,2.5,50.3,ELC1,0.9786245879062404,0.19636557650738415,20,29,0.14012657516637425
P1_t50,P1,2.5,50.3,LCL1,0.9165424884455314,0.08791985149324465,20,29,0.017020917547741873
P1_t50,P1,2.5,50.3,MMS2,0.9869801327186215,0.16417107591902805,23,29,0.3192469778505932
P1_t50,P1,2.5,50.3,SPH1,0.8480993945059132,0.08800450468475764,21,29,0.00013441502221995578
