strain,orf,common_name,costanzo_smf,costanzo_sd,kuzmin_smf,kuzmin_sd,group,plate,volume_nl,hours,fitness,fitness_sd,n_used,n_total,pvalue
YEH1,YLL012W,YEH1,0.9925,0.0804,,,P1_t44,P1,2.5,43.71,0.6681586631538667,0.11472308193098021,18,29,1.3964447117927953e-06
YEH1,YLL012W,YEH1,0.9925,0.0804,,,P2_t44,P2,5.0,43.71,0.8445837595279526,0.16454439782350397,29,29,0.00037728989820598273
YEH1,YLL012W,YEH1,0.9925,0.0804,,,P1_t50,P1,2.5,50.3,0.7488080026840391,0.12088452068601492,18,29,8.449095377798402e-06
YEH1,YLL012W,YEH1,0.9925,0.0804,,,P2_t50,P2,5.0,50.3,0.7915091570730509,0.14221266257635712,29,29,2.7616219160236716e-05
YEH1,YLL012W,YEH1,0.9925,0.0804,,,P1_t72,P1,2.5,72.18,0.7674040014310879,0.15122597337252539,19,29,3.885696255967472e-05
YEH1,YLL012W,YEH1,0.9925,0.0804,,,P2_t72,P2,5.0,72.26,0.8830159973763574,0.11371381404212459,28,29,0.000561772550776136
YER079W,YER079W,,1.0387,0.1173,,,P1_t44,P1,2.5,43.71,0.7993373003790123,0.2205708366418255,14,29,0.015378873723365834
YER079W,YER079W,,1.0387,0.1173,,,P2_t44,P2,5.0,43.71,0.757742310233843,0.18681425506175037,23,29,2.940259388990042e-06
YER079W,YER079W,,1.0387,0.1173,,,P1_t50,P1,2.5,50.3,0.8329879618915114,0.3208649856178097,17,29,0.006766899532133257
YER079W,YER079W,,1.0387,0.1173,,,P2_t50,P2,5.0,50.3,0.726498870088542,0.22377255693595885,25,29,5.393312020600081e-07
YER079W,YER079W,,1.0387,0.1173,,,P1_t72,P1,2.5,72.18,0.8460543455892525,0.16553572081635665,14,29,0.0062580872781467095
YER079W,YER079W,,1.0387,0.1173,,,P2_t72,P2,5.0,72.26,0.7587465891696941,0.1506447725407121,23,29,3.686155807261175e-06
YOS9,YDR057W,YOS9,1.0435,0.0535,,,P1_t44,P1,2.5,43.71,0.8830164036506031,0.18324939399911103,25,29,0.04996275097945076
YOS9,YDR057W,YOS9,1.0435,0.0535,,,P2_t44,P2,5.0,43.71,0.9788954618493219,0.1589983869976415,29,29,0.24609359194715097
YOS9,YDR057W,YOS9,1.0435,0.0535,,,P1_t50,P1,2.5,50.3,0.9315981179734435,0.1463075982873482,25,29,0.04996275097945076
YOS9,YDR057W,YOS9,1.0435,0.0535,,,P2_t50,P2,5.0,50.3,0.8928082260743645,0.14533544940314502,29,29,0.01915385570676847
YOS9,YDR057W,YOS9,1.0435,0.0535,,,P1_t72,P1,2.5,72.18,0.9301256134970326,0.14904885912411875,27,29,0.1350900957374606
YOS9,YDR057W,YOS9,1.0435,0.0535,,,P2_t72,P2,5.0,72.26,0.9163289776810679,0.1266833056716092,28,29,0.02225636943005099
MMS2,YGL087C,MMS2,0.996,0.094,0.9852,,P1_t44,P1,2.5,43.71,0.9084869418229787,0.1813863010544376,21,29,0.28849531721123667
MMS2,YGL087C,MMS2,0.996,0.094,0.9852,,P2_t44,P2,5.0,43.71,0.9329887119665812,0.22919791110574986,27,29,0.03287458013563357
MMS2,YGL087C,MMS2,0.996,0.094,0.9852,,P1_t50,P1,2.5,50.3,0.9433955613806079,0.15699360456146294,22,29,0.16794140349351327
MMS2,YGL087C,MMS2,0.996,0.094,0.9852,,P2_t50,P2,5.0,50.3,0.8749853328021894,0.18794607231276803,27,29,0.0018802666187619714
MMS2,YGL087C,MMS2,0.996,0.094,0.9852,,P1_t72,P1,2.5,72.18,0.9661600546084061,0.14251387536622986,22,29,0.5975907494932922
MMS2,YGL087C,MMS2,0.996,0.094,0.9852,,P2_t72,P2,5.0,72.26,0.9163550758232357,0.2030496961854169,26,29,0.04371314983512983
YPL081W,YPL081W,RPS9A,0.955,0.1553,,,P1_t44,P1,2.5,43.71,0.8189374376269473,0.21771597106883098,22,29,0.0006405436145722587
YPL081W,YPL081W,RPS9A,0.955,0.1553,,,P2_t44,P2,5.0,43.71,0.7808077045803945,0.22147378418043956,28,29,1.7109849419609675e-06
YPL081W,YPL081W,RPS9A,0.955,0.1553,,,P1_t50,P1,2.5,50.3,0.8823422305316938,0.09345880210056341,20,29,0.0003569753045216015
YPL081W,YPL081W,RPS9A,0.955,0.1553,,,P2_t50,P2,5.0,50.3,0.7470409957234201,0.1805482518608731,29,29,3.8803859120006774e-08
YPL081W,YPL081W,RPS9A,0.955,0.1553,,,P1_t72,P1,2.5,72.18,0.9254188040157907,0.15234459143614132,23,29,0.02012467882944962
YPL081W,YPL081W,RPS9A,0.955,0.1553,,,P2_t72,P2,5.0,72.26,0.8498474053951479,0.10019674663692936,25,29,3.43466580469846e-05
ELC1,YPL046C,ELC1,1.0433,0.0643,0.9829,,P1_t44,P1,2.5,43.71,0.887753710435222,0.2206005343707309,18,29,0.03863284725279536
ELC1,YPL046C,ELC1,1.0433,0.0643,0.9829,,P2_t44,P2,5.0,43.71,0.8984903910144751,0.14972908368897628,24,29,0.0035477700553855707
ELC1,YPL046C,ELC1,1.0433,0.0643,0.9829,,P1_t50,P1,2.5,50.3,0.9660497988115825,0.21160388435227556,20,29,0.376225200672869
ELC1,YPL046C,ELC1,1.0433,0.0643,0.9829,,P2_t50,P2,5.0,50.3,0.8766702763257358,0.12037210283434285,25,29,0.010442622855409305
ELC1,YPL046C,ELC1,1.0433,0.0643,0.9829,,P1_t72,P1,2.5,72.18,0.972117336165042,0.22447521878747895,20,29,0.12485048506719677
ELC1,YPL046C,ELC1,1.0433,0.0643,0.9829,,P2_t72,P2,5.0,72.26,0.9264160185581574,0.1268961456930236,24,29,0.019266391492803608
YKL033W-A,YKL033W-A,,1.0327,0.1008,,,P1_t44,P1,2.5,43.71,0.7461567348369011,0.24145046668759698,20,29,0.0011764302785515779
YKL033W-A,YKL033W-A,,1.0327,0.1008,,,P2_t44,P2,5.0,43.71,0.8614615241355986,0.13840920677007945,29,29,3.155300357718377e-05
YKL033W-A,YKL033W-A,,1.0327,0.1008,,,P1_t50,P1,2.5,50.3,0.826047110124192,0.23361698581104728,21,29,0.0015528096139281317
YKL033W-A,YKL033W-A,,1.0327,0.1008,,,P2_t50,P2,5.0,50.3,0.8296470839805893,0.13044284801199754,29,29,7.45174414504772e-06
YKL033W-A,YKL033W-A,,1.0327,0.1008,,,P1_t72,P1,2.5,72.18,0.8668379898947035,0.28169619131423146,22,29,0.0019196885955056768
YKL033W-A,YKL033W-A,,1.0327,0.1008,,,P2_t72,P2,5.0,72.26,0.8592611275947046,0.10101874329792487,29,29,3.951077659403412e-05
YLR312C-B,YLR312C-B,,1.0845,0.0441,,,P1_t44,P1,2.5,43.71,1.0016431595448785,0.31665149505177664,25,29,0.6271559307928978
YLR312C-B,YLR312C-B,,1.0845,0.0441,,,P2_t44,P2,5.0,43.71,0.9672336625056406,0.23698124003753862,29,29,0.39163790762986606
YLR312C-B,YLR312C-B,,1.0845,0.0441,,,P1_t50,P1,2.5,50.3,1.0326967880794542,0.21140674132199688,26,29,0.7938596703198855
YLR312C-B,YLR312C-B,,1.0845,0.0441,,,P2_t50,P2,5.0,50.3,0.8904683138724909,0.1672845718665033,29,29,0.04295762352779751
YLR312C-B,YLR312C-B,,1.0845,0.0441,,,P1_t72,P1,2.5,72.18,1.0054407931378024,0.17165508826813977,25,29,0.34818211645369435
YLR312C-B,YLR312C-B,,1.0845,0.0441,,,P2_t72,P2,5.0,72.26,0.9222608812709142,0.13348278965936247,27,29,0.01971285771864781
LCL1,YPL056C,LCL1,0.9802,0.0815,,,P1_t44,P1,2.5,43.71,0.7898068194490573,0.21084304609114687,18,29,0.008917875814318708
LCL1,YPL056C,LCL1,0.9802,0.0815,,,P2_t44,P2,5.0,43.71,0.8122982046676906,0.07215911080952515,24,29,9.529205132442139e-08
LCL1,YPL056C,LCL1,0.9802,0.0815,,,P1_t50,P1,2.5,50.3,0.9029302275106545,0.15138920954334545,20,29,0.011997247413671917
LCL1,YPL056C,LCL1,0.9802,0.0815,,,P2_t50,P2,5.0,50.3,0.7907175821560113,0.10699507797069184,27,29,6.304437131791353e-08
LCL1,YPL056C,LCL1,0.9802,0.0815,,,P1_t72,P1,2.5,72.18,0.9457627167861842,0.1615836128855949,20,29,0.0535093109762093
LCL1,YPL056C,LCL1,0.9802,0.0815,,,P2_t72,P2,5.0,72.26,0.8648589199568851,0.1276798919046515,27,29,0.0005406320123630937
SPH1,YLR313C,SPH1,0.9843,0.0271,,,P1_t44,P1,2.5,43.71,0.7800124574007335,0.2000827076475608,19,29,0.00239864407193671
SPH1,YLR313C,SPH1,0.9843,0.0271,,,P2_t44,P2,5.0,43.71,0.8700156556279245,0.1707965734502515,26,29,0.0003108070262079208
SPH1,YLR313C,SPH1,0.9843,0.0271,,,P1_t50,P1,2.5,50.3,0.8229013252855928,0.1284633240875094,22,29,0.00048317665838689604
SPH1,YLR313C,SPH1,0.9843,0.0271,,,P2_t50,P2,5.0,50.3,0.8148187578259541,0.14985691559042708,26,29,5.128340399105947e-05
SPH1,YLR313C,SPH1,0.9843,0.0271,,,P1_t72,P1,2.5,72.18,0.9052225395197872,0.11436844209751097,22,29,0.009772512617503528
SPH1,YLR313C,SPH1,0.9843,0.0271,,,P2_t72,P2,5.0,72.26,0.9111263680447628,0.12691876033899568,26,29,0.0022465392146462193
YJR060W,YJR060W,CBF1,0.59,0.1138,0.7523,,P1_t44,P1,2.5,43.71,0.5815398442021488,0.22212468303584124,24,29,9.346787899719849e-07
YJR060W,YJR060W,CBF1,0.59,0.1138,0.7523,,P2_t44,P2,5.0,43.71,0.7961137876856604,0.1002515474469517,29,29,8.717465046633272e-09
YJR060W,YJR060W,CBF1,0.59,0.1138,0.7523,,P1_t50,P1,2.5,50.3,0.6462101289369582,0.17711001805707285,26,29,1.04440460727003e-08
YJR060W,YJR060W,CBF1,0.59,0.1138,0.7523,,P2_t50,P2,5.0,50.3,0.7570492068843692,0.08731206501143385,29,29,8.623000498448262e-10
YJR060W,YJR060W,CBF1,0.59,0.1138,0.7523,,P1_t72,P1,2.5,72.18,0.7046688026370885,0.13734392320679825,26,29,1.5161816467196948e-08
YJR060W,YJR060W,CBF1,0.59,0.1138,0.7523,,P2_t72,P2,5.0,72.26,0.7672746312172751,0.1150039060617797,29,29,1.2129016178654828e-07
