strain,n_total,n_used,median_norm,mean_norm,sd_norm,relative_fitness,fitness_sd,log2_fitness,pvalue,n_jackknife,note
YER079W,29,23,0.8625940646329191,0.8809336584040557,0.17126309167833648,0.7587465891696941,0.1506447725407121,-0.3983099689213859,3.686155807261175e-06,1,
YJR060W,29,29,0.8722893154033159,0.8852021507823276,0.13074416174582162,0.7672746312172751,0.1150039060617797,-0.38218503974186974,1.2129016178654828e-07,0,
COS111,29,24,0.923101834885314,0.9177983173092109,0.22454346295610542,0.8119698446726233,0.19751073375493136,-0.30050194598566254,4.4244928982705735e-05,0,
YPL081W,29,25,0.9661635890050618,0.9809450034863773,0.11391038876250387,0.8498474053951479,0.10019674663692936,-0.2347242739227017,3.43466580469846e-05,4,
YKL033W-A,29,29,0.9768657404365785,0.9850750001338796,0.11484488975538311,0.8592611275947046,0.10101874329792487,-0.2188314649941861,3.951077659403412e-05,0,
LCL1,29,27,0.9832296866283478,0.9927432619131829,0.1451550735146608,0.8648589199568851,0.1276798919046515,-0.2094632824599909,0.0005406320123630937,1,
YEH1,29,28,1.0038718713006458,1.004620023317523,0.12927749852140757,0.8830159973763574,0.11371381404212459,-0.17948851983754455,0.000561772550776136,0,
SPH1,29,26,1.0358296280000632,1.010106193286896,0.14428976804863172,0.9111263680447628,0.12691876033899568,-0.13427693338670668,0.0022465392146462193,2,
YOS9,29,28,1.0417443039365835,1.0579398040309254,0.14402208737437663,0.9163289776810679,0.1266833056716092,-0.12606245151982576,0.02225636943005099,0,
MMS2,29,26,1.0417739740568228,1.0511304342244243,0.2308405273316963,0.9163550758232357,0.2030496961854169,-0.12602136242952405,0.04371314983512983,0,
YLR312C-B,29,27,1.0484880902041112,1.0442675595008515,0.15175219728738576,0.9222608812709142,0.13348278965936247,-0.11675318926710261,0.01971285771864781,0,
ELC1,29,24,1.0532119292471744,1.039621471011438,0.14426405820074872,0.9264160185581574,0.1268961456930236,-0.11026789586222129,0.019266391492803608,0,
BY4741,30,28,1.1368671397612036,1.1395241258998665,0.12982030974256206,1.0,0.11419127636130862,0.0,,0,wild-type reference
Blank_media,6,0,,,,,,,,0,no-cell control (background); norm should be ~0
