volume_nl,n_plated,n_missing,missing_rate,n_flagged,wt_median_raw,wt_cv,median_within_strain_cv,weakest_strain,dynamic_range,zfactor_wt_vs_weakest
2.5,143,22,0.15384615384615385,3,473.0,0.08524306483248884,0.16153486861241761,SPH1,1.550126375088221,-0.5117689366325495
5.0,143,9,0.06293706293706294,0,533.0,0.08252470290340576,0.15005801461228604,SPH1,1.6612817987487374,-1.1412556175808013
