group,plate,volume_nl,hours,n_colonies,missing,missing_rate,median_size_px,wt_n,wt_cv,blank_median_norm,blanks_empty,n_blanks,kruskal_H,kruskal_p,fitness_min,fitness_max,between_strain_sd,mean_within_se,fitness_range,discrimination
P1_t44,P1,2.5,43.71,384,94,0.24867724867724866,84.0,30,0.19528405620824812,,6,6,59.20681864091728,3.1477879394228996e-08,0.5928065590166327,1.024373178117356,0.12426390158294488,0.04802362210111941,0.43156661910072325,2.587557875607395
P2_t44,P2,5.0,43.71,384,20,0.05291005291005291,101.0,30,0.10546013882685853,,6,6,103.35949947890367,1.2202000176701254e-16,0.7282279772976562,0.9068895795545713,0.06760620873673032,0.02757280153205094,0.17866160225691508,2.4519165619838845
P1_t50,P1,2.5,50.3,384,93,0.24603174603174602,113.0,30,0.15811614355859052,,6,6,66.7701295256137,1.2811571183176901e-09,0.6989527511884106,0.9869801327186215,0.08153669888079852,0.033842849716175565,0.2880273815302109,2.4092740287714944
P2_t50,P2,5.0,50.3,384,20,0.05291005291005291,113.0,30,0.11693562591460305,,6,6,89.54642037372719,6.043381820935435e-14,0.6995358346873561,0.9453254001745608,0.07095848795410023,0.024649825173818234,0.24578956548720465,2.878660901395303
