row,col,size,circularity,flags,cx,cy,strain,volume_nl,well,is_missing,is_flagged,is_blank,is_reference,size_rc,size_spatial,norm,is_capped,is_jackknife,status,group,plate,hours,agar
1,1,1972,1.0,E,283.0111561866126,334.3265720081136,YLR312C-B,2.5,A1,False,False,False,True,1516.0642972804192,1425.3040889008712,0.8475444936737111,False,False,OK,P1_t44,P1,43.71,up
1,2,1939,1.0,E,372.86848891181023,336.27694687983495,YEH1,2.5,A2,False,False,False,True,1796.8365900044967,1885.8238461277153,1.1213885017734533,False,False,OK,P1_t44,P1,43.71,up
1,3,1291,1.0,E,459.4500387296669,328.2920216886135,MMS2,2.5,A3,False,False,False,True,1306.8595446177133,1217.119846752003,0.7237495719605668,False,False,OK,P1_t44,P1,43.71,up
1,4,1327,1.0,E,556.0075357950263,338.690278824416,YJR060W,2.5,A4,False,False,False,True,1095.1964415123275,1019.9912687990904,0.6065288033605408,False,False,OK,P1_t44,P1,43.71,up
1,5,2340,1.0,E,651.1205128205128,341.5388888888889,BY4741,2.5,A5,False,False,False,True,1882.3010815331272,1837.7292890742372,1.0927894980073267,False,False,OK,P1_t44,P1,43.71,up
1,6,2333,1.0,E,736.675096442349,345.34247749678525,YOS9,2.5,A6,False,False,False,True,2018.3612231571483,1958.45037056619,1.1645752233733024,False,False,OK,P1_t44,P1,43.71,up
1,7,2015,1.0,E,828.7598014888338,343.53101736972707,COS111,2.5,A7,False,False,False,True,1730.2388059701493,1633.5749355221824,0.9713909139718367,False,False,OK,P1_t44,P1,43.71,up
1,8,1835,1.0,E,916.4910081743869,350.7558583106267,YPL081W,2.5,A8,False,False,False,True,1663.6164550506787,1614.2354626579838,0.9598908671648121,False,False,OK,P1_t44,P1,43.71,up
1,9,0,,,990.0059899304393,362.43706944580003,SPH1,2.5,A9,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
1,10,2222,1.0,E,1099.442394239424,350.16696669666965,COS111,2.5,A10,False,False,False,True,1934.451803153524,2336.688642688301,1.389491272748398,False,False,OK,P1_t44,P1,43.71,up
1,11,2151,1.0,,1197.141329614133,352.51324965132494,BY4741,2.5,A11,False,False,False,True,1819.857144942344,2277.300015953543,1.3541763501519835,False,False,OK,P1_t44,P1,43.71,up
1,12,1664,1.0,,1284.96875,347.8245192307692,YEH1,2.5,A12,False,False,False,True,1435.0896496141522,1591.2128093229778,0.9462006496064731,False,False,OK,P1_t44,P1,43.71,up
1,13,1943,1.0,,1363.9706639217704,348.7215645908389,MMS2,2.5,A13,False,False,False,True,1685.1818746337146,2035.5872092039244,1.2104439634940334,False,False,OK,P1_t44,P1,43.71,up
1,14,2458,1.0,,1457.7384052074858,358.8303498779496,YOS9,2.5,A14,False,False,False,True,1807.1879941968778,2085.4356855174233,1.2400859198642777,False,False,OK,P1_t44,P1,43.71,up
1,15,0,,,1528.90053437635,351.76127391417754,YPL081W,2.5,A15,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
1,16,0,,,1618.7162917840017,349.9819746589071,YPL081W,2.5,A16,True,False,False,False,0.0,0.0,,False,False,MISS,P1_t44,P1,43.71,up
1,17,1916,1.0,,1731.7150313152401,361.28757828810024,YEH1,2.5,A17,False,False,False,True,1540.3371898533924,1528.1497622887182,0.9087007654172751,False,False,OK,P1_t44,P1,43.71,up
1,18,1830,1.0,,1816.9273224043716,364.2688524590164,COS111,2.5,A18,False,False,False,True,1721.2425609022253,1621.515588687614,0.9642199298383233,False,False,OK,P1_t44,P1,43.71,up
1,19,1369,1.0,,1906.8473338203069,366.91526661796934,ELC1,2.5,A19,False,False,False,True,1452.9249903204825,1337.5481141760654,0.7953611780260764,False,False,OK,P1_t44,P1,43.71,up
1,20,2461,1.0,,2009.5432750914263,372.2986590816741,YLR312C-B,2.5,A20,False,False,False,True,1793.1616475379246,1699.1581973513905,1.010389421640029,False,False,OK,P1_t44,P1,43.71,up
1,21,2417,1.0,,2088.4244931733556,369.0666115018618,YOS9,2.5,A21,False,False,False,True,1705.3081469966562,1587.9859188258474,0.9442818076598117,False,False,OK,P1_t44,P1,43.71,up
1,22,2202,1.0,,2185.1312443233423,369.1516802906449,BY4741,2.5,A22,False,False,False,True,1730.4641054357544,1611.4111911710304,0.9582114390581735,False,False,OK,P1_t44,P1,43.71,up
1,23,2363,1.0,,2265.5281421921286,372.33855268726194,ELC1,2.5,A23,False,False,False,True,1963.1330938538576,1882.220240008282,1.1192456492076897,False,False,OK,P1_t44,P1,43.71,up
