project,run_id,name,state,created_at,host,is_perturbation_subset,perturbation_subset_size,batch_size_per_gpu,devices,precision,max_epochs,go_min_genes,go_date_filter,use_auxiliary_losses,lr,num_go_terms,params_total,last_epoch,runtime_s,summary_val_pearson,full_build_run
torchcell_005-kuzmin2018-tmi_dcell,1fslgaim,run_M1-MV.local-42c51677-b259-4a17-9e7a-765e3a73edff_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,finished,2025-05-16T04:35:40Z,M1-MV.local-42c51677-b259-4a17-9e7a,True,100,2,1,32-true,500,4,,True,0.001,0.0,0.0,0.0,97.352757,,False
torchcell_005-kuzmin2018-tmi_dcell,raywdges,run_M1-MV.local-d310ac76-0c33-47b6-ad86-440c65446e6b_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,crashed,2025-05-16T04:38:17Z,M1-MV.local-d310ac76-0c33-47b6-ad86,True,100,2,1,32-true,500,4,,True,0.001,0.0,0.0,1.0,391.265857,NaN,False
torchcell_005-kuzmin2018-tmi_dcell,bucfi488,run_M1-MV.local-50318ddd-68de-4533-a95a-b996916cdca0_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,failed,2025-05-16T04:50:19Z,M1-MV.local-50318ddd-68de-4533-a95a,True,100,2,1,32-true,500,4,,True,0.001,0.0,0.0,,11.00731,,False
torchcell_005-kuzmin2018-tmi_dcell,0nvoehad,run_M1-MV.local-02cbd949-9fef-44f6-862a-695062dd09f3_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,failed,2025-05-16T04:51:47Z,M1-MV.local-02cbd949-9fef-44f6-862a,True,100,2,1,32-true,500,4,,True,0.001,0.0,0.0,,10.893283,,False
torchcell_005-kuzmin2018-tmi_dcell,y0em4ogu,run_M1-MV.local-0a19e325-7dc6-4178-9a76-819c6da55af0_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,failed,2025-05-16T05:02:56Z,M1-MV.local-0a19e325-7dc6-4178-9a76,True,100,2,1,32-true,500,4,,True,0.001,0.0,0.0,,11.755585,,False
torchcell_005-kuzmin2018-tmi_dcell,0rp8tdzh,run_M1-MV.local-3d183c64-8388-45d3-a27d-a6d4daedb7e8_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,finished,2025-05-16T05:03:54Z,M1-MV.local-3d183c64-8388-45d3-a27d,True,100,2,1,32-true,500,4,,True,0.001,0.0,0.0,0.0,103.656532,,False
torchcell_005-kuzmin2018-tmi_dcell,dlfydh09,run_M1-MV.local-bbb5b6c6-2d20-41a9-a171-ccb9ab28b23c_5d6b652b51c2be054750f2deaac5a1f8657fb8b58e094898bf4616976da972a9,finished,2025-05-16T05:06:05Z,M1-MV.local-bbb5b6c6-2d20-41a9-a171,True,100,2,1,32-true,500,4,,True,0.001,0.0,0.0,3.0,1065.890018,NaN,False
torchcell_005-kuzmin2018-tmi_dcell,zr9qsaby,run_M1-MV.local-a89434bd-7537-45d9-b33a-46d17e81d478_63dcb9453a3a4f3b3a2348747fdd15524189e1e141178c9bcce818f426fa92f1,finished,2025-05-20T19:12:04Z,M1-MV.local-a89434bd-7537-45d9-b33a,True,1000,32,1,32-true,500,4,,True,0.001,0.0,0.0,1.0,8847.058835,NaN,False
torchcell_005-kuzmin2018-tmi_dcell,zznd8bu9,run_M1-MV.local-b6848e22-b6eb-413b-85e2-3a416aee5012_1c9821a104a4a573332fd5ea28bd093c0e676d16c28cd3951a612c76351dba54,failed,2025-05-24T22:00:51Z,M1-MV.local-b6848e22-b6eb-413b-85e2,True,1000,64,1,32-true,100,4,,False,0.001,,,,,,False
torchcell_005-kuzmin2018-tmi_dcell,1i9h768x,run_M1-MV.local-b9028426-f671-4f48-a37e-0709d3813ad2_1c9821a104a4a573332fd5ea28bd093c0e676d16c28cd3951a612c76351dba54,failed,2025-05-24T22:06:48Z,M1-MV.local-b9028426-f671-4f48-a37e,True,1000,64,1,32-true,100,4,,False,0.001,2655.0,20613037.0,,16.496508,,False
torchcell_005-kuzmin2018-tmi_dcell,3olpdfha,run_M1-MV.local-8a7ef6b1-2874-4ca8-acbd-f8eb930710d7_f177234d91d9babeeb961ca87f7163d574191ca676f5628d8391bb8a34967496,failed,2025-05-24T22:29:31Z,M1-MV.local-8a7ef6b1-2874-4ca8-acbd,True,1000,64,1,32-true,100,4,,False,0.001,2655.0,20613037.0,,14.19443,,False
torchcell_005-kuzmin2018-tmi_dcell,zzdni4x7,run_M1-MV.local-5e6dea48-22c3-462b-a1db-56e1867529df_f177234d91d9babeeb961ca87f7163d574191ca676f5628d8391bb8a34967496,finished,2025-05-24T22:38:11Z,M1-MV.local-5e6dea48-22c3-462b-a1db,True,1000,64,1,32-true,100,4,,False,0.001,2655.0,20613037.0,99.0,78766.469525,0.05488689243793487,False
torchcell_005-kuzmin2018-tmi_dcell,4ipeq1qh,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:41:01Z,compute-5-7,False,1000,256,4,32-true,500,4,,False,0.001,2655.0,20613037.0,,2345630.370514872,,False
torchcell_005-kuzmin2018-tmi_dcell,biucpv7p,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:42:21Z,compute-5-7,False,1000,256,4,32-true,500,4,,False,0.001,2655.0,20613037.0,257.0,2522563.393449549,0.2261971086263657,True
torchcell_005-kuzmin2018-tmi_dcell,cy3j49sj,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:43:37Z,compute-5-7,False,1000,256,4,32-true,500,4,,False,0.001,2655.0,20613037.0,,2345631.048721277,,False
torchcell_005-kuzmin2018-tmi_dcell,dxa1fngh,run_compute-5-7-1811673_c1b27d525b9101d708ed35ae2cfe427571316818bc6eb6671d1dc8df1b48c570,finished,2025-06-13T04:44:54Z,compute-5-7,False,1000,256,4,32-true,500,4,,False,0.001,2655.0,20613037.0,,2345630.474479588,,False
