build,records,n,mean,sd,sem,min,max,run_ids,best_epochs
005,91050,1,0.2588725686073303,,,0.2588725686073303,0.2588725686073303,biucpv7p,227
006,332313,1,0.1732101738452911,,,0.1732101738452911,0.1732101738452911,eni948by,150
